Prospect OID,Prospect BMU Dist,<these prospects have no product mappings among specified products>
pr_001330971,0.000093,No Mappings With Chosen Products
pr_001179346,0.000094,No Mappings With Chosen Products
pr_001331934,0.000094,No Mappings With Chosen Products
us_000617307,0.807284,No Mappings With Chosen Products
pr_001291991,0.000094,No Mappings With Chosen Products
pr_001236216,0.000094,No Mappings With Chosen Products
us_000571771,1.278985,No Mappings With Chosen Products
pr_001327332,0.000450,No Mappings With Chosen Products
pr_001297010,0.000094,No Mappings With Chosen Products
pr_001206247,0.000198,No Mappings With Chosen Products
pr_001492633,0.000094,No Mappings With Chosen Products
pr_000559562,0.000321,No Mappings With Chosen Products
pr_001278442,0.000094,No Mappings With Chosen Products
pr_001265446,0.000094,No Mappings With Chosen Products
pr_001386414,0.000862,No Mappings With Chosen Products
us_000555141,0.475112,No Mappings With Chosen Products
us_000537802,0.000502,No Mappings With Chosen Products
pr_001379853,0.000094,No Mappings With Chosen Products
pr_000723616,0.000094,No Mappings With Chosen Products
pr_001181869,0.000094,No Mappings With Chosen Products
pr_001521707,0.000092,No Mappings With Chosen Products
us_000524596,0.000117,No Mappings With Chosen Products
pr_001311216,0.000194,No Mappings With Chosen Products
us_000548227,0.001550,No Mappings With Chosen Products
us_000485847,0.573205,No Mappings With Chosen Products
pr_001316757,0.000120,No Mappings With Chosen Products
pr_001262144,0.000092,No Mappings With Chosen Products
pr_001313021,0.000094,No Mappings With Chosen Products
us_000587051,1.014702,No Mappings With Chosen Products
pr_001327392,0.000094,No Mappings With Chosen Products
pr_001273640,0.000094,No Mappings With Chosen Products
us_000529387,0.000513,No Mappings With Chosen Products
pr_001378121,0.000094,No Mappings With Chosen Products
pr_001222252,0.000094,No Mappings With Chosen Products
pr_001299678,0.000136,No Mappings With Chosen Products
pr_001346159,0.000094,No Mappings With Chosen Products
pr_001295198,0.000192,No Mappings With Chosen Products
pr_001454002,0.000094,No Mappings With Chosen Products
pr_001198811,0.000944,No Mappings With Chosen Products
pr_001174761,0.000094,No Mappings With Chosen Products
pr_001531262,0.001042,No Mappings With Chosen Products
pr_001381750,0.000787,No Mappings With Chosen Products
pr_001330935,0.000093,No Mappings With Chosen Products
pr_001330135,0.000093,No Mappings With Chosen Products
pr_001215171,0.000109,No Mappings With Chosen Products
pr_001350264,0.000094,No Mappings With Chosen Products
us_000615966,2.929980,No Mappings With Chosen Products
pr_001177623,0.000094,No Mappings With Chosen Products
pr_001302051,0.000124,No Mappings With Chosen Products
pr_001531139,0.000094,No Mappings With Chosen Products
pr_001244270,0.000094,No Mappings With Chosen Products
pr_001309635,0.000093,No Mappings With Chosen Products
us_000482904,0.552735,No Mappings With Chosen Products
pr_001267500,0.000094,No Mappings With Chosen Products
pr_001297824,0.000135,No Mappings With Chosen Products
pr_001177878,0.000094,No Mappings With Chosen Products
pr_001172904,0.000094,No Mappings With Chosen Products
us_000511768,0.002548,No Mappings With Chosen Products
pr_001258857,0.000094,No Mappings With Chosen Products
pr_001278480,0.000094,No Mappings With Chosen Products
pr_001172643,0.000094,No Mappings With Chosen Products
pr_001350783,0.000116,No Mappings With Chosen Products
us_000595794,0.004779,No Mappings With Chosen Products
pr_001452157,0.000409,No Mappings With Chosen Products
pr_001288456,0.000094,No Mappings With Chosen Products
pr_001212109,0.000093,No Mappings With Chosen Products
pr_001190707,0.000131,No Mappings With Chosen Products
pr_001490909,0.000094,No Mappings With Chosen Products
us_000559908,0.430603,No Mappings With Chosen Products
us_000550153,1.011653,No Mappings With Chosen Products
pr_001246001,0.000094,No Mappings With Chosen Products
pr_001213554,0.000094,No Mappings With Chosen Products
pr_001290533,0.000093,No Mappings With Chosen Products
pr_001378753,0.000094,No Mappings With Chosen Products
pr_001177540,0.000094,No Mappings With Chosen Products
pr_001194288,0.000092,No Mappings With Chosen Products
pr_001248692,0.000138,No Mappings With Chosen Products
pr_001560881,0.000027,No Mappings With Chosen Products
us_000513643,1.023476,No Mappings With Chosen Products
pr_001376368,0.000093,No Mappings With Chosen Products
pr_001290642,0.000091,No Mappings With Chosen Products
pr_001355683,0.000104,No Mappings With Chosen Products
pr_001237070,0.000198,No Mappings With Chosen Products
pr_001219404,0.000094,No Mappings With Chosen Products
us_000614104,0.000150,No Mappings With Chosen Products
pr_001298435,0.000831,No Mappings With Chosen Products
pr_001324533,0.000115,No Mappings With Chosen Products
pr_001380532,0.000094,No Mappings With Chosen Products
pr_001332697,0.000094,No Mappings With Chosen Products
pr_001225435,0.000094,No Mappings With Chosen Products
us_000617355,0.404853,No Mappings With Chosen Products
pr_001334048,0.000093,No Mappings With Chosen Products
pr_001202946,0.000128,No Mappings With Chosen Products
pr_001215599,0.000094,No Mappings With Chosen Products
pr_001171111,0.000094,No Mappings With Chosen Products
pr_001572346,0.000027,No Mappings With Chosen Products
us_000540226,0.467149,No Mappings With Chosen Products
pr_001484238,0.000094,No Mappings With Chosen Products
pr_001197441,0.000198,No Mappings With Chosen Products
pr_001188489,0.000122,No Mappings With Chosen Products
pr_001363289,0.000094,No Mappings With Chosen Products
pr_001170215,0.000094,No Mappings With Chosen Products
us_000129321,1.100878,No Mappings With Chosen Products
us_000516223,0.073008,No Mappings With Chosen Products
pr_001432344,0.000094,No Mappings With Chosen Products
pr_001226020,0.000094,No Mappings With Chosen Products
