Product ID : 1037 JPs covered : 66 : Antitrust, 
OID,Confidence at Map Node,Error at Map Node
us_000522175,1.000000, 0.000000
us_000515297,1.000000, 0.000000
us_000551722,1.000000, 0.000000
us_000495970,1.000000, 0.000000
us_000496012,1.000000, 0.000000
us_000547733,1.000000, 0.000000
pr_001038143,1.000000, 0.000000
pr_000774383,1.000000, 0.000000
pr_001867016,1.000000, 0.000003
pr_001816025,1.000000, 0.000003
pr_000644376,1.000000, 0.000014
pr_000601524,1.000000, 0.000056
pr_000772990,1.000000, 0.000079
pr_000873220,1.000000, 0.000092
pr_000968224,1.000000, 0.000197
pr_000971882,1.000000, 0.000200
pr_001407555,1.000000, 0.000201
pr_000725653,1.000000, 0.000201
pr_000902032,1.000000, 0.000201
pr_000867924,1.000000, 0.000203
pr_000976177,1.000000, 0.000208
pr_000634895,1.000000, 0.000244
pr_001994140,1.000000, 0.000314
us_000545616,1.000000, 0.000394
pr_000971965,1.000000, 0.000553
pr_001013462,1.000000, 0.000601
pr_000376399,1.000000, 0.000804
pr_002190574,1.000000, 0.000807
pr_001012480,1.000000, 0.000870
pr_000852256,1.000000, 0.001154
pr_000630930,1.000000, 0.001288
pr_000580284,1.000000, 0.001745
pr_000736461,1.000000, 0.002141
pr_001011342,1.000000, 0.004628
us_000468771,1.000000, 0.018815
us_000201358,1.000000, 0.070785
us_000361749,1.000000, 0.080977
us_000281306,1.000000, 0.099825
us_000361017,1.000000, 0.102108
us_000343644,1.000000, 0.140417
us_000478324,1.000000, 0.163455
us_000460320,1.000000, 0.163827
us_000098331,1.000000, 0.205881
us_000458696,1.000000, 0.206264
us_000482546,1.000000, 0.206675
us_000091763,1.000000, 0.225399
us_000516696,1.000000, 0.232217
us_000168026,1.000000, 0.246434
us_000468682,1.000000, 0.256417
us_000148312,1.000000, 0.277698
us_000007116,1.000000, 0.289855
us_000531271,1.000000, 0.307427
us_000416085,1.000000, 0.322423
us_000465847,1.000000, 0.339647
us_000064165,1.000000, 0.368332
us_000459346,1.000000, 0.372963
us_000214727,1.000000, 0.378645
us_000127449,1.000000, 0.379869
us_000440469,1.000000, 0.396969
us_000480526,1.000000, 0.401730
us_000528740,1.000000, 0.404548
us_000314981,1.000000, 0.408263
us_000486141,1.000000, 0.415138
us_000091848,1.000000, 0.415554
us_000141891,1.000000, 0.419150
us_000465761,1.000000, 0.430368
us_000498150,1.000000, 0.430627
us_000545151,1.000000, 0.431185
us_000231187,1.000000, 0.431987
us_000230369,1.000000, 0.437891
us_000463420,1.000000, 0.437891
us_000463294,1.000000, 0.439731
us_000168832,1.000000, 0.440871
us_000208427,1.000000, 0.444696
us_000471742,1.000000, 0.445491
us_000460415,1.000000, 0.445491
us_000461729,1.000000, 0.445491
us_000464965,1.000000, 0.447560
us_000515665,1.000000, 0.447603
us_000482431,1.000000, 0.448793
us_000472106,1.000000, 0.448876
us_000544971,1.000000, 0.450786
us_000460140,1.000000, 0.453168
us_000459599,1.000000, 0.453168
us_000462212,1.000000, 0.453168
us_000460635,1.000000, 0.453168
us_000465497,1.000000, 0.453168
us_000468279,1.000000, 0.453168
us_000487924,1.000000, 0.453168
us_000505070,1.000000, 0.453723
us_000465478,1.000000, 0.458422
us_000474967,1.000000, 0.458722
us_000023870,1.000000, 0.460241
us_000481501,1.000000, 0.461747
us_000498000,1.000000, 0.463345
us_000479139,1.000000, 0.465386
us_000094482,1.000000, 0.477505
us_000031879,1.000000, 0.478123
us_000459580,1.000000, 0.486924
us_000469317,1.000000, 0.488768
us_000515969,1.000000, 0.493028
us_000545041,1.000000, 0.505481
us_000467113,1.000000, 0.521954
us_000492990,1.000000, 0.527331
