Product ID : 2086 JPs covered : 427 : Foreign Business, 
OID,Confidence at Map Node,Error at Map Node
pr_000891918,1.000000, 0.000000
pr_001048769,1.000000, 0.000000
pr_000255072,1.000000, 0.000000
pr_000621383,1.000000, 0.000000
pr_000475600,1.000000, 0.000003
pr_000970030,1.000000, 0.000003
us_000465062,1.000000, 0.000005
us_000520459,1.000000, 0.000005
pr_001025380,1.000000, 0.000009
us_000466712,1.000000, 0.000010
us_000461614,1.000000, 0.000010
pr_000785328,1.000000, 0.000012
pr_000292083,1.000000, 0.000015
pr_001922857,1.000000, 0.000019
pr_000752974,1.000000, 0.000023
pr_001107341,1.000000, 0.000044
pr_001927481,1.000000, 0.000074
pr_000902603,1.000000, 0.000106
pr_001619029,1.000000, 0.000124
pr_000651887,1.000000, 0.000135
pr_000840279,1.000000, 0.000182
pr_000790316,1.000000, 0.000197
pr_000829171,1.000000, 0.000231
us_000027474,1.000000, 0.000277
pr_000749361,1.000000, 0.000355
us_000574937,1.000000, 0.004120
us_000493228,1.000000, 0.010590
us_000487916,1.000000, 0.013164
us_000563523,1.000000, 0.029426
us_000084482,1.000000, 1.469930
us_000536340,1.000000, 2.606279
us_000536315,1.000000, 2.627717
us_000523222,1.000000, 2.727983
us_000085273,1.000000, 2.937751
pr_001141797,0.806967, 0.000000
pr_000195780,0.806967, 0.000000
pr_000005695,0.806967, 0.000000
pr_000821400,0.806967, 0.000003
pr_001954405,0.806967, 0.000005
pr_002194657,0.806967, 0.000005
pr_001955329,0.806967, 0.000031
pr_001082350,0.806967, 0.000038
pr_000868117,0.806967, 0.000178
us_000539741,0.806967, 0.000433
us_000487223,0.806967, 0.001993
us_000565111,0.806967, 0.006251
us_000561618,0.806967, 0.015073
us_000536331,0.806967, 0.377924
us_000484507,0.806967, 1.739734
us_000542861,0.806967, 1.960187
pr_001880504,0.175838, 0.000005
pr_001619476,0.175838, 0.000005
us_000592098,0.175838, 0.332402
us_000565061,0.175838, 0.334505
us_000579497,0.175838, 0.430427
us_000564336,0.175838, 0.443682
us_000573668,0.175838, 0.444546
us_000537713,0.175838, 0.450347
us_000528627,0.175838, 0.455799
us_000565078,0.175838, 0.465486
us_000579545,0.175838, 0.485110
us_000555514,0.175838, 0.535464
us_000585996,0.175838, 0.541924
us_000552217,0.175838, 0.566528
us_000580912,0.175838, 0.672173
us_000580873,0.175838, 0.680029
us_000585771,0.175838, 0.696413
us_000517689,0.175838, 0.700805
us_000517730,0.175838, 0.705049
us_000565975,0.175838, 0.708686
us_000597097,0.175838, 0.713822
us_000495264,0.175838, 0.717744
us_000482999,0.175838, 0.724920
us_000560203,0.175838, 0.725880
us_000585489,0.175838, 0.733923
us_000530150,0.175838, 0.737853
us_000471262,0.175838, 0.739508
us_000556986,0.175838, 0.740861
us_000592120,0.175838, 0.741415
us_000554093,0.175838, 0.763196
us_000466221,0.175838, 0.779082
us_000563231,0.175838, 0.887881
us_000562213,0.175838, 0.898444
us_000492588,0.175838, 0.922209
us_000519790,0.175838, 1.498927
us_000565878,0.175838, 1.507764
us_000532199,0.175838, 1.667538
pr_000724507,0.169268, 0.000002
pr_000635604,0.169268, 0.000002
pr_000630493,0.169268, 0.000002
pr_000697258,0.169268, 0.000002
pr_001041706,0.169268, 0.000002
pr_000922683,0.169268, 0.000002
pr_001043594,0.169268, 0.000002
pr_000993481,0.169268, 0.000002
pr_000745801,0.169268, 0.000002
pr_001582811,0.169268, 0.000002
pr_000649047,0.169268, 0.000002
pr_001040362,0.169268, 0.000002
pr_000697954,0.169268, 0.000002
pr_001041631,0.169268, 0.000002
pr_000652126,0.169268, 0.000002
pr_000886670,0.169268, 0.000002
pr_001041932,0.169268, 0.000002
pr_000717276,0.169268, 0.000002
pr_000723577,0.169268, 0.000002
pr_001066034,0.169268, 0.000002
pr_000827803,0.169268, 0.000002
pr_000652187,0.169268, 0.000002
pr_000817696,0.169268, 0.000002
pr_000905486,0.169268, 0.000002
pr_000921026,0.169268, 0.000002
pr_001049757,0.169268, 0.000002
pr_000512875,0.169268, 0.000002
pr_000776080,0.169268, 0.000002
pr_000721270,0.169268, 0.000002
pr_000560233,0.169268, 0.000002
pr_000561346,0.169268, 0.000003
pr_000652458,0.169268, 0.000003
us_000510729,0.169268, 0.000006
pr_000647176,0.169268, 0.000008
pr_001063270,0.169268, 0.000020
pr_001093827,0.169268, 0.000020
pr_001156650,0.169268, 0.000020
pr_001115806,0.169268, 0.000020
pr_001090801,0.169268, 0.000020
pr_001115735,0.169268, 0.000020
pr_001089566,0.169268, 0.000026
pr_000521913,0.169268, 0.000097
pr_001087595,0.169268, 0.000120
pr_000560834,0.169268, 0.000151
pr_001613456,0.169268, 0.000166
pr_000652227,0.169268, 0.000278
pr_000526130,0.169268, 0.000333
pr_001156871,0.169268, 0.000456
pr_000636901,0.169268, 0.000566
pr_000394404,0.169268, 0.000659
pr_000560093,0.169268, 0.001614
us_000481495,0.169268, 0.009146
us_000587125,0.169268, 0.019478
us_000580630,0.169268, 0.366612
us_000586319,0.169268, 0.606102
us_000484547,0.169268, 0.620184
us_000551298,0.169268, 0.672835
