Product ID : 2091 JPs covered : 58 : State Income, 
OID,Confidence at Map Node,Error at Map Node
pr_000891918,1.000000, 0.000000
pr_001048769,1.000000, 0.000000
pr_000255072,1.000000, 0.000000
pr_000621383,1.000000, 0.000000
pr_000475600,1.000000, 0.000003
pr_000970030,1.000000, 0.000003
us_000465062,1.000000, 0.000005
us_000520459,1.000000, 0.000005
pr_001025380,1.000000, 0.000009
us_000466712,1.000000, 0.000010
us_000461614,1.000000, 0.000010
pr_000785328,1.000000, 0.000012
pr_000292083,1.000000, 0.000015
pr_001922857,1.000000, 0.000019
pr_000752974,1.000000, 0.000023
pr_001107341,1.000000, 0.000044
pr_001927481,1.000000, 0.000074
pr_000902603,1.000000, 0.000106
pr_001619029,1.000000, 0.000124
pr_000651887,1.000000, 0.000135
pr_000840279,1.000000, 0.000182
pr_000790316,1.000000, 0.000197
pr_000829171,1.000000, 0.000231
us_000027474,1.000000, 0.000277
pr_000749361,1.000000, 0.000355
us_000574937,1.000000, 0.004120
us_000493228,1.000000, 0.010590
us_000487916,1.000000, 0.013164
us_000563523,1.000000, 0.029426
us_000084482,1.000000, 1.469930
us_000536340,1.000000, 2.606279
us_000536315,1.000000, 2.627717
us_000523222,1.000000, 2.727983
us_000085273,1.000000, 2.937751
us_000528481,0.985869, 0.000000
pr_001063302,0.985869, 0.000000
pr_001141648,0.985869, 0.000000
pr_001699444,0.985869, 0.000000
pr_001796222,0.985869, 0.000000
pr_000817872,0.985869, 0.000006
pr_001155277,0.985869, 0.000010
us_000547920,0.985869, 0.000067
pr_000729907,0.985869, 0.000089
pr_000700769,0.985869, 0.000143
pr_000712991,0.985869, 0.000154
us_000600216,0.985869, 0.000239
pr_000982273,0.985869, 0.000498
pr_000555556,0.985869, 0.001103
pr_001142250,0.985869, 0.001574
pr_000556745,0.985869, 0.003263
pr_000644964,0.985869, 0.007012
us_000598270,0.985869, 0.030607
us_000597760,0.985869, 0.084556
us_000467306,0.985869, 0.770982
us_000462194,0.985869, 1.214974
us_000466048,0.985869, 1.413274
us_000327696,0.985869, 1.413296
us_000466516,0.985869, 1.569079
us_000463707,0.985869, 1.611868
us_000469034,0.985869, 1.612575
us_000475833,0.985869, 1.619728
us_000459811,0.985869, 1.622212
us_000461592,0.985869, 1.663848
us_000462690,0.985869, 1.676778
us_000460589,0.985869, 1.688534
us_000461878,0.985869, 1.692430
us_000183367,0.985869, 1.752261
us_000463711,0.985869, 1.765738
us_000272393,0.985869, 1.793565
us_000470486,0.985869, 1.799583
us_000466075,0.985869, 1.810270
us_000465081,0.985869, 1.826386
us_000466111,0.985869, 1.833931
us_000173213,0.985869, 1.860645
us_000459159,0.985869, 1.886182
us_000408146,0.985869, 1.891862
us_000464187,0.985869, 1.936912
us_000328580,0.985869, 1.950012
us_000280579,0.985869, 1.968082
us_000535434,0.985869, 1.993668
us_000273762,0.985869, 1.994789
us_000470518,0.985869, 2.012130
us_000459450,0.985869, 2.037652
us_000459167,0.985869, 2.050788
us_000483427,0.985869, 2.058818
us_000460612,0.985869, 2.101273
us_000273423,0.985869, 2.115176
us_000459198,0.985869, 2.131250
us_000597683,0.985869, 2.141341
us_000470535,0.985869, 2.284355
us_000557882,0.985869, 2.293568
pr_000919648,0.981867, 0.000274
pr_000991609,0.981867, 0.000883
pr_000518723,0.981867, 0.001697
pr_000757497,0.981867, 0.002248
pr_000877258,0.981867, 0.002374
us_000366786,0.981867, 1.304437
us_000464601,0.981867, 1.625998
us_000470066,0.981867, 1.633452
us_000506155,0.981867, 1.685220
us_000473191,0.981867, 1.725974
us_000535363,0.981867, 1.732533
us_000463821,0.981867, 1.741480
us_000493430,0.981867, 1.755951
us_000505241,0.981867, 1.772859
us_000499423,0.981867, 1.783635
us_000459041,0.981867, 1.813816
us_000459064,0.981867, 1.923094
us_000384168,0.981867, 1.956023
pr_000185939,0.936414, 0.000000
pr_000006308,0.936414, 0.000000
pr_000905566,0.936414, 0.000000
pr_000574422,0.936414, 0.000000
pr_000102983,0.936414, 0.000000
pr_001147270,0.936414, 0.000000
pr_000952903,0.936414, 0.000000
pr_000730714,0.936414, 0.000004
pr_000817556,0.936414, 0.000006
pr_001635689,0.936414, 0.000006
pr_000965734,0.936414, 0.000006
pr_000641042,0.936414, 0.000011
pr_001008446,0.936414, 0.000011
pr_000555676,0.936414, 0.000011
pr_001059391,0.936414, 0.000011
pr_000517989,0.936414, 0.000016
pr_001033044,0.936414, 0.000027
pr_000633034,0.936414, 0.000027
pr_000748863,0.936414, 0.000077
pr_001010331,0.936414, 0.000101
pr_000628527,0.936414, 0.000134
pr_000842301,0.936414, 0.000247
pr_001014758,0.936414, 0.000344
us_000467311,0.936414, 0.015751
us_000579808,0.936414, 0.233689
us_000557983,0.936414, 0.242730
us_000472031,0.936414, 0.249705
us_000383674,0.936414, 0.271314
us_000383398,0.936414, 0.271810
us_000519812,0.936414, 0.274711
us_000477412,0.936414, 0.302044
us_000550526,0.936414, 0.313929
us_000529850,0.936414, 0.334141
us_000464044,0.936414, 0.346952
us_000554134,0.936414, 0.361629
us_000467571,0.936414, 0.373060
us_000556338,0.936414, 0.413000
us_000556242,0.936414, 0.413770
us_000509975,0.936414, 0.421599
us_000525278,0.936414, 0.436780
us_000577866,0.936414, 0.449830
us_000553915,0.936414, 0.458750
us_000464513,0.936414, 0.460718
us_000529955,0.936414, 0.465527
us_000533826,0.936414, 0.465739
us_000475570,0.936414, 0.467100
us_000475441,0.936414, 0.467419
us_000475457,0.936414, 0.467844
us_000486400,0.936414, 0.471303
us_000049401,0.936414, 0.471840
us_000562469,0.936414, 0.472023
us_000566860,0.936414, 0.472023
us_000368712,0.936414, 0.474544
us_000524838,0.936414, 0.491566
us_000096341,0.936414, 0.496936
us_000466587,0.936414, 0.502066
us_000054368,0.936414, 0.511713
us_000458702,0.936414, 0.515492
us_000469138,0.936414, 0.516614
us_000469078,0.936414, 0.517214
us_000469135,0.936414, 0.518042
us_000486037,0.936414, 0.519636
us_000542595,0.936414, 0.524452
us_000485466,0.936414, 0.525393
us_000485461,0.936414, 0.525393
us_000486721,0.936414, 0.527913
us_000544380,0.936414, 0.530241
us_000550894,0.936414, 0.530811
us_000499585,0.936414, 0.531182
us_000526760,0.936414, 0.531182
us_000576680,0.936414, 0.531182
us_000473358,0.936414, 0.540969
us_000526997,0.936414, 0.544590
us_000477827,0.936414, 0.545128
us_000472969,0.936414, 0.547562
us_000499222,0.936414, 0.547737
us_000546887,0.936414, 0.549154
us_000534182,0.936414, 0.549212
us_000546318,0.936414, 0.549686
us_000556813,0.936414, 0.551702
us_000476832,0.936414, 0.551812
us_000426465,0.936414, 0.552440
us_000562899,0.936414, 0.552961
us_000485526,0.936414, 0.557638
us_000458759,0.936414, 0.560619
us_000399653,0.936414, 0.561686
us_000517043,0.936414, 0.566604
us_000571314,0.936414, 0.568771
us_000461774,0.936414, 0.571014
us_000517550,0.936414, 0.571482
us_000536399,0.936414, 0.573446
us_000501783,0.936414, 0.575643
us_000467217,0.936414, 0.577908
us_000026758,0.936414, 0.578002
us_000468884,0.936414, 0.579632
us_000244726,0.936414, 0.579759
us_000054556,0.936414, 0.580630
us_000465941,0.936414, 0.580970
us_000556810,0.936414, 0.581710
us_000526759,0.936414, 0.581710
us_000536666,0.936414, 0.581710
us_000482381,0.936414, 0.581775
pr_000726690,0.936414, 0.582486
us_000240814,0.936414, 0.582509
us_000465908,0.936414, 0.582948
us_000542097,0.936414, 0.584260
us_000509287,0.936414, 0.584756
us_000493788,0.936414, 0.584979
us_000541596,0.936414, 0.585273
us_000516654,0.936414, 0.587809
us_000562663,0.936414, 0.587809
us_000586334,0.936414, 0.587809
us_000519391,0.936414, 0.587809
us_000477690,0.936414, 0.587809
us_000484703,0.936414, 0.587809
us_000556598,0.936414, 0.590201
us_000460651,0.936414, 0.590752
us_000479437,0.936414, 0.590829
us_000481264,0.936414, 0.590871
us_000532553,0.936414, 0.590871
us_000590344,0.936414, 0.590871
us_000466518,0.936414, 0.590871
us_000591771,0.936414, 0.590871
us_000461736,0.936414, 0.590871
us_000478496,0.936414, 0.590871
us_000479574,0.936414, 0.591366
us_000458572,0.936414, 0.592149
us_000576864,0.936414, 0.592745
us_000482994,0.936414, 0.593254
us_000479641,0.936414, 0.595935
us_000473238,0.936414, 0.597020
us_000487643,0.936414, 0.598175
us_000515904,0.936414, 0.598602
us_000586283,0.936414, 0.600106
us_000118102,0.936414, 0.600106
us_000517531,0.936414, 0.600106
us_000209566,0.936414, 0.602171
us_000467573,0.936414, 0.603201
us_000464170,0.936414, 0.604611
us_000472863,0.936414, 0.605337
us_000497976,0.936414, 0.605760
us_000483486,0.936414, 0.606304
us_000054180,0.936414, 0.608003
us_000506979,0.936414, 0.608721
us_000514015,0.936414, 0.609415
us_000485493,0.936414, 0.609473
