Product ID : 2093 JPs covered : 122 : Municipal Law/Eminent Domain, 
OID,Confidence at Map Node,Error at Map Node
pr_000882778,1.000000, 0.000000
pr_000469897,1.000000, 0.000000
pr_000873187,1.000000, 0.000000
pr_000602009,1.000000, 0.000000
pr_000851585,1.000000, 0.000000
pr_000015290,1.000000, 0.000000
us_000585375,1.000000, 1.004925
us_000580311,1.000000, 1.394313
us_000481401,1.000000, 1.426347
us_000473053,1.000000, 1.435768
us_000514754,1.000000, 1.443029
us_000484757,1.000000, 1.488345
us_000514600,1.000000, 1.492106
us_000484938,1.000000, 1.515759
us_000563752,1.000000, 1.573248
us_000550093,1.000000, 1.596722
us_000484990,1.000000, 1.614308
us_000596890,1.000000, 1.664336
us_000575527,1.000000, 1.687447
us_000483428,1.000000, 1.698847
us_000485018,1.000000, 1.705655
us_000485492,1.000000, 1.714813
us_000555878,1.000000, 1.745109
us_000532767,1.000000, 1.750621
us_000588131,1.000000, 1.770625
us_000484816,1.000000, 1.775838
us_000566390,1.000000, 1.811446
us_000492630,1.000000, 1.817718
us_000554854,1.000000, 1.845974
us_000481666,1.000000, 1.873263
us_000584759,1.000000, 1.899739
us_000484428,1.000000, 1.910941
us_000501096,1.000000, 1.913413
us_000486485,1.000000, 1.919843
us_000484053,1.000000, 1.921172
us_000534211,1.000000, 1.923863
us_000482019,1.000000, 1.928110
us_000484599,1.000000, 1.934506
us_000566806,1.000000, 1.935627
us_000486146,1.000000, 1.937871
us_000614979,1.000000, 1.939235
us_000585367,1.000000, 1.943440
us_000575456,1.000000, 1.944621
us_000527933,1.000000, 1.945466
us_000594463,1.000000, 1.945466
us_000592611,1.000000, 1.951589
us_000591909,1.000000, 1.958514
us_000586793,1.000000, 1.964658
us_000591103,1.000000, 1.968483
us_000575521,1.000000, 1.968483
us_000485000,1.000000, 1.975692
us_000588251,1.000000, 1.981457
us_000492955,1.000000, 1.982054
us_000486127,1.000000, 1.982054
us_000566417,1.000000, 1.991048
us_000544130,1.000000, 1.994540
us_000583842,1.000000, 2.009348
us_000560607,1.000000, 2.011622
us_000482214,1.000000, 2.016043
us_000528767,1.000000, 2.036861
us_000506730,1.000000, 2.041060
us_000473295,1.000000, 2.046486
us_000596754,1.000000, 2.046829
us_000528231,1.000000, 2.048975
us_000568821,1.000000, 2.048975
us_000569077,1.000000, 2.059935
us_000500857,1.000000, 2.072904
us_000499993,1.000000, 2.073108
us_000568893,1.000000, 2.073621
us_000564584,1.000000, 2.073621
us_000594395,1.000000, 2.087890
us_000550851,1.000000, 2.087890
us_000483884,1.000000, 2.088197
us_000583402,1.000000, 2.094145
us_000584858,1.000000, 2.094145
us_000495832,1.000000, 2.096119
us_000490898,1.000000, 2.096119
us_000595777,1.000000, 2.099103
us_000585455,1.000000, 2.102393
us_000592323,1.000000, 2.110806
us_000472537,1.000000, 2.113420
us_000614615,1.000000, 2.121568
us_000532149,1.000000, 2.121568
us_000554777,1.000000, 2.121568
us_000579646,1.000000, 2.126728
us_000592329,1.000000, 2.130146
us_000527935,1.000000, 2.132429
us_000582107,1.000000, 2.132429
us_000591074,1.000000, 2.132429
us_000603115,1.000000, 2.135436
us_000549117,1.000000, 2.137947
us_000592080,1.000000, 2.141007
us_000582469,1.000000, 2.141007
us_000579847,1.000000, 2.141007
us_000499917,1.000000, 2.142503
us_000566895,1.000000, 2.144689
us_000597469,1.000000, 2.151967
us_000584251,1.000000, 2.151967
us_000597856,1.000000, 2.151967
us_000581074,1.000000, 2.151967
us_000549736,1.000000, 2.151967
us_000615530,1.000000, 2.151967
us_000587326,1.000000, 2.151967
us_000582642,1.000000, 2.151967
us_000494833,1.000000, 2.151967
us_000584329,1.000000, 2.151967
us_000599119,1.000000, 2.151967
us_000598361,1.000000, 2.151967
