Product ID : 2121 JPs covered : 145 : White Collar Crime, 
OID,Confidence at Map Node,Error at Map Node
us_000290727,1.000000, 0.000000
us_000584785,1.000000, 0.000000
pr_001738310,1.000000, 0.000000
us_000463746,1.000000, 0.000000
us_000525188,1.000000, 0.000000
us_000517863,1.000000, 0.000000
us_000490602,1.000000, 0.000000
us_000470437,1.000000, 0.000000
us_000494500,1.000000, 0.000000
us_000465515,1.000000, 0.000000
us_000465493,1.000000, 0.000000
us_000462892,1.000000, 0.000000
us_000584284,1.000000, 0.000000
us_000466762,1.000000, 0.000001
pr_001707896,1.000000, 0.000011
us_000539384,1.000000, 0.000066
us_000559305,1.000000, 0.000075
us_000474547,1.000000, 0.000083
us_000462159,1.000000, 0.000096
us_000568489,1.000000, 0.000107
pr_001658455,1.000000, 0.000117
pr_001754783,1.000000, 0.000117
pr_001658131,1.000000, 0.000117
us_000579071,1.000000, 0.000121
us_000587522,1.000000, 0.000121
us_000500302,1.000000, 0.000122
us_000524410,1.000000, 0.000132
us_000484587,1.000000, 0.000132
us_000567975,1.000000, 0.000140
us_000479444,1.000000, 0.000141
us_000550314,1.000000, 0.000142
us_000574210,1.000000, 0.000143
us_000482321,1.000000, 0.000153
us_000566461,1.000000, 0.000163
us_000596098,1.000000, 0.000178
pr_001681471,1.000000, 0.000183
pr_002094601,1.000000, 0.000186
us_000579455,1.000000, 0.000199
pr_001908993,1.000000, 0.000201
us_000562962,1.000000, 0.000243
pr_001713648,1.000000, 0.000270
pr_001682555,1.000000, 0.000306
us_000518009,1.000000, 0.000319
us_000519842,1.000000, 0.000319
us_000579737,1.000000, 0.000567
us_000472128,1.000000, 0.000681
pr_000545154,1.000000, 0.000917
pr_001654858,1.000000, 0.000917
pr_000761371,1.000000, 0.001100
pr_002125720,1.000000, 0.001306
pr_002083282,1.000000, 0.001369
pr_000765110,1.000000, 0.001485
pr_000895900,1.000000, 0.001814
pr_000745108,1.000000, 0.001838
pr_001089591,1.000000, 0.002079
pr_000703747,1.000000, 0.002123
pr_001153086,1.000000, 0.002141
pr_002096239,1.000000, 0.002157
us_000574033,1.000000, 0.002444
pr_001129368,1.000000, 0.002451
pr_000654943,1.000000, 0.002923
pr_001664785,1.000000, 0.003671
pr_001683885,1.000000, 0.003894
pr_000870985,1.000000, 0.004159
pr_002084812,1.000000, 0.004707
pr_000655687,1.000000, 0.004724
pr_000833155,1.000000, 0.005261
us_000484342,1.000000, 0.005862
pr_000937494,1.000000, 0.006982
pr_001166058,1.000000, 0.007990
us_000503071,1.000000, 0.008510
pr_002113109,1.000000, 0.008559
pr_000864021,1.000000, 0.018194
pr_001880607,1.000000, 0.018383
us_000517996,1.000000, 0.027475
us_000597523,1.000000, 0.047288
us_000575897,1.000000, 0.052520
us_000543006,1.000000, 0.068715
us_000584485,1.000000, 0.088058
us_000506492,1.000000, 0.149090
us_000583023,1.000000, 0.168755
us_000483399,1.000000, 0.181044
us_000536445,1.000000, 0.188230
us_000507498,1.000000, 0.189740
us_000475995,1.000000, 0.190820
us_000572931,1.000000, 0.191601
us_000581796,1.000000, 0.196811
us_000542521,1.000000, 0.203111
us_000520004,1.000000, 0.203520
us_000601738,1.000000, 0.205699
us_000564633,1.000000, 0.205835
us_000568534,1.000000, 0.207322
us_000505968,1.000000, 0.207363
us_000523878,1.000000, 0.208579
us_000506534,1.000000, 0.208579
us_000508340,1.000000, 0.209782
us_000474829,1.000000, 0.211020
us_000504614,1.000000, 0.212361
us_000469627,1.000000, 0.212718
us_000580424,1.000000, 0.212858
us_000471701,1.000000, 0.217077
us_000525872,1.000000, 0.221727
us_000527559,1.000000, 0.222790
us_000507209,1.000000, 0.223044
us_000598340,1.000000, 0.224530
us_000582164,1.000000, 0.230121
us_000531561,1.000000, 0.231228
us_000520854,1.000000, 0.232909
us_000508564,1.000000, 0.235025
us_000549774,1.000000, 0.237600
us_000524711,1.000000, 0.249945
us_000224041,1.000000, 0.255703
us_000511264,1.000000, 0.258093
us_000471303,1.000000, 0.258475
us_000516850,1.000000, 0.271053
us_000544972,1.000000, 0.281240
us_000583199,1.000000, 0.281302
us_000524307,1.000000, 0.301880
us_000506467,1.000000, 0.303013
us_000507733,1.000000, 0.333722
us_000605001,1.000000, 0.384097
us_000572286,1.000000, 0.391359
us_000513320,1.000000, 0.407116
us_000506879,1.000000, 0.518957
us_000553264,1.000000, 0.564528
us_000475908,1.000000, 0.922177
us_000543179,1.000000, 1.207915
us_000534902,1.000000, 1.316672
pr_001074860,0.997030, 0.000000
pr_001757405,0.997030, 0.000000
pr_001614919,0.997030, 0.000000
us_000463248,0.997030, 0.000000
us_000464583,0.997030, 0.000000
us_000473627,0.997030, 0.000000
us_000464593,0.997030, 0.000000
us_000459247,0.997030, 0.000000
us_000459350,0.997030, 0.000000
us_000463507,0.997030, 0.000000
pr_001124694,0.997030, 0.000000
us_000463572,0.997030, 0.000002
us_000469536,0.997030, 0.000002
pr_000225525,0.997030, 0.000002
pr_000170017,0.997030, 0.000002
pr_001592403,0.997030, 0.000002
pr_000318177,0.997030, 0.000002
pr_000888588,0.997030, 0.000002
pr_000988751,0.997030, 0.000002
pr_000966585,0.997030, 0.000002
pr_000969013,0.997030, 0.000002
pr_000565614,0.997030, 0.000002
pr_000904062,0.997030, 0.000002
pr_001962663,0.997030, 0.000002
pr_000957793,0.997030, 0.000002
pr_002137001,0.997030, 0.000002
pr_000303464,0.997030, 0.000002
pr_002061226,0.997030, 0.000002
pr_000858312,0.997030, 0.000002
pr_000335591,0.997030, 0.000002
pr_001948485,0.997030, 0.000002
pr_000021611,0.997030, 0.000002
pr_000879431,0.997030, 0.000002
pr_001633091,0.997030, 0.000002
pr_000815242,0.997030, 0.000002
pr_001396527,0.997030, 0.000002
pr_001059619,0.997030, 0.000002
pr_000028118,0.997030, 0.000002
