Product ID : 2132 JPs covered : 332 : Bankruptcy-Reorganization, 
OID,Confidence at Map Node,Error at Map Node
pr_000777289,1.000000, 0.000090
us_000509618,1.000000, 0.002322
us_000536014,1.000000, 0.002322
us_000509201,1.000000, 0.002322
us_000510781,1.000000, 0.002322
us_000484899,1.000000, 0.058286
us_000502329,1.000000, 2.886946
pr_001117336,0.997669, 0.000001
us_000484740,0.997669, 0.038569
us_000463362,0.997669, 3.437291
us_000495614,0.997669, 3.733348
us_000494954,0.997669, 3.786176
us_000576951,0.997669, 3.922237
us_000540594,0.997669, 3.990994
us_000494794,0.997669, 4.018619
us_000522068,0.997669, 4.085480
us_000517137,0.997669, 4.113553
us_000516904,0.997669, 4.172709
us_000503228,0.997669, 4.174875
us_000487806,0.997669, 4.180322
us_000547172,0.997669, 4.217636
us_000515609,0.997669, 4.235786
us_000468498,0.997669, 4.322466
us_000484626,0.989232, 2.488626
us_000525818,0.989232, 2.625581
us_000484877,0.989232, 2.655477
us_000484887,0.989232, 2.686118
us_000517000,0.989232, 2.755987
us_000515610,0.989232, 2.914133
us_000536995,0.989232, 2.921868
us_000417009,0.920387, 0.000007
us_000597473,0.920387, 0.000846
us_000470281,0.920387, 2.683752
us_000478240,0.920387, 2.851102
us_000459982,0.920387, 2.879175
us_000590121,0.920387, 2.888430
us_000496432,0.920387, 2.919299
us_000195579,0.920387, 2.924352
us_000485343,0.920387, 2.950472
us_000478459,0.920387, 2.967795
us_000529916,0.920387, 2.974814
us_000533011,0.920387, 2.996585
us_000469221,0.920387, 3.027794
us_000496225,0.920387, 3.033553
us_000188777,0.920387, 3.079918
us_000478552,0.920387, 3.110730
us_000474504,0.920387, 3.123411
us_000489038,0.920387, 3.129719
us_000474650,0.920387, 3.156879
us_000535792,0.920387, 3.158768
us_000577522,0.920387, 3.169867
us_000483957,0.920387, 3.179739
us_000330823,0.920387, 3.191705
us_000607538,0.920387, 3.201358
us_000495048,0.920387, 3.201529
