Product ID : 988 JPs covered : 238 : Corp Finance Litigation, 
OID,Confidence at Map Node,Error at Map Node
pr_000729680,1.000000, 0.000000
pr_000877010,1.000000, 0.000024
us_000464440,1.000000, 0.002937
us_000574324,1.000000, 0.004011
us_000562996,0.999887, 0.000000
pr_001632974,0.999887, 0.000000
pr_001392838,0.999887, 0.000000
pr_001077530,0.999887, 0.000000
pr_001396893,0.999887, 0.000000
pr_001720138,0.999887, 0.000000
pr_001732366,0.999887, 0.000000
pr_000812276,0.999887, 0.000000
pr_000424041,0.999887, 0.000000
pr_000287049,0.999887, 0.000000
pr_001032733,0.999887, 0.000005
pr_000008867,0.999887, 0.000059
us_000476870,0.999887, 0.000278
us_000476807,0.999887, 0.000278
us_000478305,0.999887, 0.012496
us_000467523,0.999887, 0.092972
us_000467593,0.999887, 0.156615
us_000447127,0.999887, 0.482599
us_000486876,0.999887, 1.030967
us_000473400,0.999887, 1.030967
us_000489660,0.999887, 1.030967
us_000474460,0.999887, 1.030967
us_000486894,0.999887, 1.030967
us_000485842,0.999887, 1.030967
us_000478667,0.999887, 1.033335
us_000474029,0.999887, 1.033481
us_000489671,0.999887, 1.034081
us_000524594,0.999887, 1.034271
us_000485266,0.999887, 1.034271
us_000493851,0.999887, 1.034271
us_000479078,0.999887, 1.034271
us_000488933,0.999887, 1.034271
us_000479072,0.999887, 1.034271
us_000489571,0.999887, 1.034271
us_000485238,0.999887, 1.034271
us_000524726,0.999887, 1.034271
us_000529703,0.999887, 1.034271
us_000487784,0.999887, 1.034271
us_000540387,0.999887, 1.034271
us_000486802,0.999887, 1.034271
us_000525208,0.999887, 1.034271
us_000539043,0.999887, 1.034271
us_000523960,0.999887, 1.034271
us_000543561,0.999887, 1.034271
us_000479050,0.999887, 1.034271
us_000473833,0.999887, 1.034271
us_000478051,0.999887, 1.034271
us_000526859,0.999887, 1.034271
us_000521302,0.999887, 1.034271
us_000493145,0.999887, 1.034271
us_000610346,0.999887, 1.034271
us_000476748,0.999887, 1.034271
us_000526924,0.999887, 1.034271
us_000493022,0.999887, 1.034271
us_000475244,0.999887, 1.034271
us_000488864,0.999887, 1.034271
us_000524169,0.999887, 1.034271
us_000472726,0.999887, 1.034271
us_000586872,0.999887, 1.034271
us_000476065,0.999887, 1.034271
us_000529092,0.999887, 1.034271
us_000474421,0.999887, 1.034271
us_000530894,0.999887, 1.034271
us_000492880,0.999887, 1.034271
us_000485672,0.999887, 1.034271
us_000524052,0.999887, 1.034271
us_000604319,0.999887, 1.034271
us_000492928,0.999887, 1.034271
us_000523597,0.999887, 1.034271
us_000524057,0.999887, 1.034271
us_000522897,0.999887, 1.034271
us_000507120,0.999887, 1.034380
us_000474356,0.999887, 1.034978
us_000484232,0.999887, 1.035358
us_000604213,0.999887, 1.035926
us_000485212,0.999887, 1.036212
us_000465280,0.999887, 1.036406
us_000339345,0.999887, 1.036873
us_000474914,0.999887, 1.037139
us_000604969,0.999887, 1.037198
us_000495004,0.999887, 1.037366
us_000481584,0.999887, 1.037736
us_000474989,0.999887, 1.037736
us_000504717,0.999887, 1.037736
us_000615258,0.999887, 1.037736
us_000567351,0.999887, 1.037736
us_000483913,0.999887, 1.037736
us_000465964,0.999887, 1.037736
us_000475089,0.999887, 1.037736
us_000473176,0.999887, 1.037736
us_000536631,0.999887, 1.037736
us_000525379,0.999887, 1.037736
us_000607770,0.999887, 1.037736
us_000473925,0.999887, 1.037736
us_000586990,0.999887, 1.037736
us_000476826,0.999887, 1.037736
us_000538353,0.999887, 1.037736
us_000465865,0.999887, 1.037736
us_000472551,0.999887, 1.037736
us_000510700,0.999887, 1.037736
us_000586997,0.999887, 1.037736
us_000488338,0.999887, 1.037736
us_000602193,0.999887, 1.037736
us_000568093,0.999887, 1.037736
us_000482814,0.999887, 1.037736
us_000488957,0.999887, 1.037736
us_000543615,0.999887, 1.037736
us_000473805,0.999887, 1.037736
us_000477860,0.999887, 1.037736
us_000556692,0.999887, 1.037736
us_000476873,0.999887, 1.037736
us_000531154,0.999887, 1.037736
us_000477046,0.999887, 1.037736
us_000477885,0.999887, 1.037736
us_000475748,0.999887, 1.037736
us_000476809,0.999887, 1.037736
us_000484180,0.999887, 1.037736
us_000489924,0.999887, 1.037736
us_000498674,0.999887, 1.037736
us_000475972,0.999887, 1.037736
us_000498521,0.999887, 1.037736
us_000488355,0.999887, 1.037736
us_000609859,0.999887, 1.037736
us_000531705,0.999887, 1.037736
us_000477870,0.999887, 1.037736
us_000465391,0.999887, 1.037736
us_000529771,0.999887, 1.037736
us_000488460,0.999887, 1.037736
us_000474877,0.999887, 1.037736
us_000489122,0.999887, 1.037736
us_000563820,0.999887, 1.037736
us_000526660,0.999887, 1.037736
us_000476454,0.999887, 1.037736
us_000480214,0.999887, 1.037736
us_000477849,0.999887, 1.037736
us_000504481,0.999887, 1.037736
us_000567287,0.999887, 1.037736
us_000525622,0.999887, 1.037736
us_000465111,0.999887, 1.037736
us_000476905,0.999887, 1.037736
us_000488287,0.999887, 1.037736
us_000484563,0.999887, 1.037736
us_000564945,0.999887, 1.037736
us_000476941,0.999887, 1.037736
us_000526290,0.999887, 1.037736
us_000478342,0.999887, 1.037736
us_000530665,0.999887, 1.037736
us_000477182,0.999887, 1.037736
us_000484150,0.999887, 1.037736
us_000475810,0.999887, 1.037736
us_000477228,0.999887, 1.037736
us_000574675,0.999887, 1.037736
us_000612175,0.999887, 1.037736
us_000485544,0.999887, 1.037736
us_000476882,0.999887, 1.037736
us_000465810,0.999887, 1.037736
us_000482815,0.999887, 1.037736
us_000481652,0.999887, 1.037736
us_000476911,0.999887, 1.037736
us_000491950,0.999887, 1.037736
us_000479143,0.999887, 1.037736
us_000501595,0.999887, 1.037736
us_000563763,0.999887, 1.037736
us_000481643,0.999887, 1.037736
us_000543491,0.999887, 1.037736
us_000522569,0.999887, 1.037736
us_000488356,0.999887, 1.037736
us_000488293,0.999887, 1.037736
us_000525246,0.999887, 1.037736
us_000474360,0.999887, 1.037736
us_000488827,0.999887, 1.037745
us_000566049,0.999887, 1.037963
us_000492162,0.999887, 1.038131
us_000567341,0.999887, 1.038215
us_000511977,0.999887, 1.038374
us_000477634,0.999887, 1.038445
us_000526520,0.999887, 1.038788
us_000520508,0.999887, 1.038788
us_000547341,0.999887, 1.039294
us_000544567,0.999887, 1.039766
us_000468088,0.999887, 1.040173
us_000465100,0.999887, 1.040173
us_000615714,0.999887, 1.040270
us_000486779,0.999887, 1.040484
us_000493612,0.999887, 1.040528
us_000477979,0.999887, 1.040739
us_000476877,0.999887, 1.041211
us_000509001,0.999887, 1.041241
us_000605186,0.999887, 1.041259
us_000605877,0.999887, 1.041443
us_000555768,0.999887, 1.041819
us_000491817,0.999887, 1.042163
us_000481636,0.999887, 1.042437
us_000536248,0.999887, 1.043879
us_000475490,0.999887, 1.043879
us_000483989,0.999887, 1.044201
us_000550741,0.999887, 1.044201
us_000602503,0.999887, 1.045232
us_000472979,0.999887, 1.045440
us_000475693,0.999887, 1.045638
us_000469954,0.999887, 1.045917
us_000467600,0.999887, 1.046118
us_000500212,0.999887, 1.046424
us_000495969,0.999887, 1.047636
us_000472534,0.999887, 1.048505
us_000534032,0.999887, 1.048752
us_000476802,0.999887, 1.049904
us_000496091,0.999887, 1.058215
us_000477976,0.999887, 1.062648
us_000489620,0.999887, 1.062648
us_000537643,0.999887, 1.073778
us_000571769,0.999887, 1.092207
us_000035855,0.999887, 1.097455
us_000563217,0.999887, 1.108279
us_000477776,0.999887, 1.111611
us_000550771,0.999887, 1.216614
us_000222152,0.482192, 0.000000
pr_000662404,0.482192, 0.000000
us_000541162,0.482192, 0.000000
us_000537388,0.482192, 0.000000
us_000554698,0.482192, 0.000000
us_000555186,0.482192, 0.000000
us_000492791,0.482192, 0.000002
us_000593983,0.482192, 0.000011
us_000590296,0.482192, 0.000017
us_000595672,0.482192, 0.000017
us_000492591,0.482192, 0.000068
us_000188061,0.482192, 0.000103
us_000485262,0.482192, 0.000281
us_000494960,0.482192, 0.002716
us_000503872,0.482192, 0.004514
us_000581597,0.482192, 0.007296
us_000471161,0.482192, 0.014764
us_000349163,0.482192, 0.019207
us_000004157,0.482192, 0.171276
us_000541592,0.482192, 0.178474
us_000505693,0.482192, 0.435607
us_000600326,0.482192, 0.439913
us_000584864,0.482192, 0.449490
us_000500789,0.482192, 0.449901
us_000474390,0.482192, 0.450868
us_000586532,0.482192, 0.458136
us_000511679,0.482192, 0.459478
us_000483491,0.482192, 0.460386
us_000549807,0.482192, 0.461035
us_000546687,0.482192, 0.461486
us_000238122,0.482192, 0.462746
us_000461529,0.482192, 0.463435
us_000463466,0.482192, 0.463646
us_000229473,0.482192, 0.473663
us_000568488,0.482192, 0.477833
us_000549840,0.482192, 0.484349
us_000366073,0.482192, 0.491205
us_000568525,0.482192, 0.491466
us_000512996,0.482192, 0.508395
pr_000782891,0.391406, 0.000000
pr_000757160,0.391406, 0.000000
pr_000989922,0.391406, 0.000000
us_000562230,0.391406, 0.000001
us_000472609,0.391406, 0.009208
us_000484188,0.391406, 0.430353
us_000476789,0.391406, 0.435566
us_000476446,0.391406, 0.435566
us_000476778,0.391406, 0.435566
us_000474379,0.391406, 0.435566
us_000545177,0.391406, 0.435566
us_000483772,0.391406, 0.437927
us_000568212,0.391406, 0.440478
us_000484298,0.391406, 0.440942
us_000481318,0.391406, 0.440942
us_000567825,0.391406, 0.440942
us_000474266,0.391406, 0.440942
us_000464207,0.222564, 0.001291
us_000562811,0.222564, 0.027486
us_000466778,0.222564, 0.039541
us_000479202,0.222564, 0.095300
us_000478248,0.222564, 0.364559
us_000034039,0.222564, 0.369744
pr_001628646,0.175186, 0.000000
pr_000718061,0.175186, 0.000000
pr_000840423,0.175186, 0.000000
pr_001638605,0.175186, 0.000000
pr_001105682,0.175186, 0.000000
pr_001110572,0.175186, 0.000000
pr_001072815,0.175186, 0.000000
pr_001023205,0.175186, 0.000000
pr_001166378,0.175186, 0.000000
pr_001627464,0.175186, 0.000000
pr_000639839,0.175186, 0.000000
pr_000021892,0.175186, 0.000000
us_000557762,0.175186, 0.000000
us_000536161,0.175186, 0.000000
pr_000135447,0.175186, 0.000018
pr_000899708,0.175186, 0.000065
pr_000850568,0.175186, 0.000117
us_000583348,0.175186, 0.002056
us_000583357,0.175186, 0.002329
us_000550267,0.175186, 0.005618
us_000562619,0.175186, 0.007112
us_000568902,0.175186, 0.009032
us_000467703,0.175186, 0.009337
us_000526988,0.175186, 0.027133
us_000610553,0.175186, 0.581769
us_000524439,0.175186, 0.589331
us_000610655,0.175186, 0.589942
us_000565308,0.175186, 0.595144
us_000587209,0.175186, 0.617373
us_000113527,0.175186, 0.622789
us_000525057,0.175186, 0.625789
us_000592944,0.175186, 0.628698
us_000557235,0.175186, 0.629090
us_000558980,0.175186, 0.629090
us_000558986,0.175186, 0.629090
us_000560566,0.175186, 0.629090
us_000564876,0.175186, 0.629897
us_000525187,0.175186, 0.629897
us_000571345,0.175186, 0.629897
us_000559696,0.175186, 0.629897
us_000611421,0.175186, 0.629897
us_000537702,0.175186, 0.630928
us_000557655,0.175186, 0.633811
us_000589619,0.175186, 0.633948
us_000537712,0.175186, 0.634960
us_000538083,0.175186, 0.634960
us_000537703,0.175186, 0.634960
us_000580839,0.175186, 0.635101
us_000525119,0.175186, 0.636178
us_000567270,0.175186, 0.636178
us_000538087,0.175186, 0.637465
us_000538086,0.175186, 0.637465
us_000537749,0.175186, 0.645119
us_000537726,0.175186, 0.645119
us_000506704,0.175186, 0.648453
us_000539955,0.175186, 0.652376
us_000477580,0.175186, 0.654535
us_000576409,0.175186, 0.657119
us_000469026,0.175186, 0.660003
us_000549068,0.175186, 0.677947
us_000480157,0.175186, 0.681810
us_000613065,0.175186, 0.702429
us_000569967,0.175186, 0.719648
us_000559163,0.175186, 0.741106
us_000029258,0.175186, 0.771241
us_000606650,0.175186, 0.771418
us_000561614,0.175186, 0.815394
us_000483439,0.175186, 0.830674
us_000559276,0.175186, 0.848976
us_000477836,0.175186, 1.168420
us_000483330,0.175186, 1.337316
us_000492445,0.173660, 0.000000
us_000539878,0.173660, 0.000000
us_000566021,0.173660, 0.000000
us_000549635,0.173660, 0.000000
pr_001644757,0.173660, 0.000000
pr_001061743,0.173660, 0.000000
pr_001586819,0.173660, 0.000000
pr_000016682,0.173660, 0.000000
pr_001061106,0.173660, 0.000000
pr_001722615,0.173660, 0.000000
us_000533895,0.173660, 0.000003
pr_000783236,0.173660, 0.000013
pr_000337580,0.173660, 0.000036
us_000498704,0.173660, 0.000048
pr_001742904,0.173660, 0.000130
us_000588348,0.173660, 0.000166
us_000616898,0.173660, 0.000166
us_000574674,0.173660, 0.000216
us_000516685,0.173660, 0.000366
pr_001059629,0.173660, 0.000467
pr_000969377,0.173660, 0.001079
us_000576294,0.173660, 0.001957
us_000496241,0.173660, 0.007369
us_000501355,0.173660, 0.029609
us_000461922,0.173660, 0.485653
us_000589672,0.173660, 0.490371
us_000517490,0.173660, 0.529397
us_000309486,0.173660, 0.550495
us_000467008,0.173660, 0.552088
us_000569410,0.173660, 0.583992
us_000477945,0.173660, 0.586389
us_000512352,0.173660, 0.588337
us_000561003,0.173660, 0.588913
us_000584397,0.173660, 0.590549
us_000543544,0.173660, 0.590731
us_000473012,0.173660, 0.593141
us_000569993,0.173660, 0.594491
us_000579369,0.173660, 0.596063
us_000549699,0.173660, 0.597105
us_000572724,0.173660, 0.600052
us_000469289,0.173660, 0.601084
us_000524030,0.173660, 0.601231
us_000572647,0.173660, 0.602194
us_000567775,0.173660, 0.603904
us_000470953,0.173660, 0.604215
us_000559925,0.173660, 0.604968
us_000578868,0.173660, 0.606034
us_000494006,0.173660, 0.606333
us_000559227,0.173660, 0.607543
us_000558547,0.173660, 0.608346
us_000551053,0.173660, 0.608875
us_000578807,0.173660, 0.609428
us_000534023,0.173660, 0.609815
us_000534034,0.173660, 0.609835
us_000537797,0.173660, 0.612197
us_000560580,0.173660, 0.612197
us_000558978,0.173660, 0.612197
us_000534809,0.173660, 0.612197
us_000524443,0.173660, 0.612197
us_000562463,0.173660, 0.612197
us_000558974,0.173660, 0.612197
us_000563182,0.173660, 0.612197
us_000558976,0.173660, 0.612197
us_000534773,0.173660, 0.612197
us_000549620,0.173660, 0.612197
us_000549617,0.173660, 0.612197
us_000524458,0.173660, 0.612197
us_000524021,0.173660, 0.612197
us_000500655,0.173660, 0.612197
us_000549616,0.173660, 0.612197
us_000580854,0.173660, 0.612197
us_000558973,0.173660, 0.612197
us_000549614,0.173660, 0.612197
us_000536571,0.173660, 0.612931
us_000524640,0.173660, 0.613551
us_000501179,0.173660, 0.613551
us_000558390,0.173660, 0.613551
