Product ID : 990 JPs covered : 50 : Federal, 
OID,Confidence at Map Node,Error at Map Node
us_000528481,1.000000, 0.000000
pr_001063302,1.000000, 0.000000
pr_001141648,1.000000, 0.000000
pr_001699444,1.000000, 0.000000
pr_001796222,1.000000, 0.000000
pr_000817872,1.000000, 0.000006
pr_001155277,1.000000, 0.000010
us_000547920,1.000000, 0.000067
pr_000729907,1.000000, 0.000089
pr_000700769,1.000000, 0.000143
pr_000712991,1.000000, 0.000154
us_000600216,1.000000, 0.000239
pr_000982273,1.000000, 0.000498
pr_000555556,1.000000, 0.001103
pr_001142250,1.000000, 0.001574
pr_000556745,1.000000, 0.003263
pr_000644964,1.000000, 0.007012
us_000598270,1.000000, 0.030607
us_000597760,1.000000, 0.084556
us_000467306,1.000000, 0.770982
us_000462194,1.000000, 1.214974
us_000466048,1.000000, 1.413274
us_000327696,1.000000, 1.413296
us_000466516,1.000000, 1.569079
us_000463707,1.000000, 1.611868
us_000469034,1.000000, 1.612575
us_000475833,1.000000, 1.619728
us_000459811,1.000000, 1.622212
us_000461592,1.000000, 1.663848
us_000462690,1.000000, 1.676778
us_000460589,1.000000, 1.688534
us_000461878,1.000000, 1.692430
us_000183367,1.000000, 1.752261
us_000463711,1.000000, 1.765738
us_000272393,1.000000, 1.793565
us_000470486,1.000000, 1.799583
us_000466075,1.000000, 1.810270
us_000465081,1.000000, 1.826386
us_000466111,1.000000, 1.833931
us_000173213,1.000000, 1.860645
us_000459159,1.000000, 1.886182
us_000408146,1.000000, 1.891862
us_000464187,1.000000, 1.936912
us_000328580,1.000000, 1.950012
us_000280579,1.000000, 1.968082
us_000535434,1.000000, 1.993668
us_000273762,1.000000, 1.994789
us_000470518,1.000000, 2.012130
us_000459450,1.000000, 2.037652
us_000459167,1.000000, 2.050788
us_000483427,1.000000, 2.058818
us_000460612,1.000000, 2.101273
us_000273423,1.000000, 2.115176
us_000459198,1.000000, 2.131250
us_000597683,1.000000, 2.141341
us_000470535,1.000000, 2.284355
us_000557882,1.000000, 2.293568
pr_000919648,0.848901, 0.000274
pr_000991609,0.848901, 0.000883
pr_000518723,0.848901, 0.001697
pr_000757497,0.848901, 0.002248
pr_000877258,0.848901, 0.002374
us_000366786,0.848901, 1.304437
us_000464601,0.848901, 1.625998
us_000470066,0.848901, 1.633452
us_000506155,0.848901, 1.685220
us_000473191,0.848901, 1.725974
us_000535363,0.848901, 1.732533
us_000463821,0.848901, 1.741480
us_000493430,0.848901, 1.755951
us_000505241,0.848901, 1.772859
us_000499423,0.848901, 1.783635
us_000459041,0.848901, 1.813816
us_000459064,0.848901, 1.923094
us_000384168,0.848901, 1.956023
us_000580604,0.719286, 0.000000
us_000548125,0.719286, 0.000000
us_000531480,0.719286, 0.000019
us_000579827,0.719286, 0.000024
us_000595971,0.719286, 0.000024
us_000585986,0.719286, 0.001519
us_000476857,0.719286, 0.660420
us_000491326,0.719286, 0.762192
us_000472271,0.719286, 0.768916
us_000461629,0.719286, 0.786107
us_000459022,0.719286, 0.797189
us_000475662,0.719286, 0.804811
us_000485562,0.719286, 0.819145
us_000506070,0.719286, 0.835690
us_000508275,0.719286, 0.838750
us_000485770,0.719286, 0.847213
us_000468966,0.719286, 0.870881
us_000479850,0.719286, 0.895255
us_000487304,0.719286, 0.910561
pr_001198584,0.689894, 0.000000
pr_000814783,0.689894, 0.000000
us_000496114,0.689894, 0.000000
us_000573227,0.689894, 0.000000
us_000481137,0.689894, 0.000000
pr_001941589,0.689894, 0.000000
us_000577829,0.689894, 0.000001
pr_000513551,0.689894, 0.000001
pr_000614600,0.689894, 0.000001
pr_000551188,0.689894, 0.000001
pr_000631065,0.689894, 0.000001
pr_000526052,0.689894, 0.000001
pr_000714615,0.689894, 0.000001
pr_000513540,0.689894, 0.000001
pr_000545337,0.689894, 0.000001
pr_000655916,0.689894, 0.000001
pr_000697351,0.689894, 0.000001
pr_000660291,0.689894, 0.000001
pr_000655882,0.689894, 0.000001
pr_000654567,0.689894, 0.000001
pr_000553069,0.689894, 0.000001
us_000530242,0.689894, 0.000002
us_000547951,0.689894, 0.000002
us_000515737,0.689894, 0.000002
us_000529144,0.689894, 0.000002
us_000612709,0.689894, 0.000002
us_000591596,0.689894, 0.000002
us_000572551,0.689894, 0.000002
us_000560463,0.689894, 0.000002
us_000576830,0.689894, 0.000002
us_000530622,0.689894, 0.000002
us_000549007,0.689894, 0.000002
us_000530060,0.689894, 0.000002
us_000505450,0.689894, 0.000002
us_000601304,0.689894, 0.000002
us_000536461,0.689894, 0.000002
us_000504152,0.689894, 0.000002
us_000604155,0.689894, 0.000002
pr_001941219,0.689894, 0.000010
pr_000749982,0.689894, 0.000010
pr_001883997,0.689894, 0.000037
pr_000655520,0.689894, 0.000051
pr_000818477,0.689894, 0.000057
pr_001873355,0.689894, 0.000095
pr_002040546,0.689894, 0.000167
pr_002040369,0.689894, 0.000191
pr_001853319,0.689894, 0.000201
pr_002051454,0.689894, 0.000218
pr_002139481,0.689894, 0.000680
us_000563377,0.689894, 0.000709
pr_002134126,0.689894, 0.009957
us_000458554,0.689894, 0.330709
us_000466959,0.689894, 0.448249
us_000480403,0.689894, 0.503780
us_000458939,0.689894, 0.509733
us_000486228,0.689894, 0.521016
us_000466168,0.689894, 0.524782
us_000027616,0.689894, 0.537985
us_000463844,0.689894, 0.552159
us_000476874,0.689894, 0.557482
us_000296051,0.689894, 0.562023
us_000389219,0.689894, 0.562883
us_000458595,0.689894, 0.567827
us_000469033,0.689894, 0.569564
us_000505588,0.689894, 0.569709
us_000483459,0.689894, 0.569948
us_000463807,0.689894, 0.574508
us_000183996,0.689894, 0.574982
us_000478207,0.689894, 0.575554
us_000576267,0.689894, 0.575628
us_000136652,0.689894, 0.576363
us_000432327,0.689894, 0.576389
us_000100442,0.689894, 0.577565
us_000467908,0.689894, 0.581068
us_000506276,0.689894, 0.581475
us_000483450,0.689894, 0.583843
us_000485785,0.689894, 0.585980
us_000466182,0.689894, 0.589138
us_000486086,0.689894, 0.593114
us_000539130,0.689894, 0.593456
us_000461452,0.689894, 0.594986
us_000386905,0.689894, 0.595508
us_000461656,0.689894, 0.596101
us_000505350,0.689894, 0.598779
us_000505172,0.689894, 0.599708
us_000308951,0.689894, 0.600259
us_000485754,0.689894, 0.601836
