Product ID : 7753 # of JPs covered : 1 : 303 : Health Business M&A, 
OID,Confidence at Map Node,Error at Map Node
us_000572661,1.000000,0.331147
us_000509436,1.000000,0.406055
us_000575013,1.000000,0.447002
us_000132394,1.000000,0.509217
us_000518266,1.000000,0.513199
us_000520311,1.000000,0.513927
us_000543766,1.000000,0.634793
us_000589115,1.000000,0.669878
us_000599067,1.000000,0.677639
us_000599069,1.000000,0.687598
us_000481798,1.000000,0.689798
us_000565359,1.000000,0.690333
us_000565424,1.000000,0.704837
us_000572485,1.000000,0.707623
us_000582737,1.000000,0.713403
us_000590069,1.000000,0.714244
us_000589560,1.000000,0.714244
us_000591326,1.000000,0.714244
us_000554414,1.000000,0.903902
us_000277360,1.000000,0.912403
us_000487241,1.000000,0.913296
us_000525064,1.000000,0.917045
us_000536209,1.000000,0.920739
us_000586005,1.000000,0.922492
us_000575677,1.000000,0.923872
us_000581475,1.000000,0.927598
us_000585522,1.000000,0.931898
us_000544178,1.000000,0.932110
us_000586730,1.000000,0.938893
us_000583776,1.000000,0.941202
us_000613835,1.000000,0.941600
us_000573001,1.000000,0.943927
us_000555966,1.000000,0.945248
us_000549643,1.000000,0.945936
us_000587014,1.000000,0.946526
us_000500293,1.000000,0.946894
us_000599458,1.000000,0.947630
us_000485452,1.000000,0.948426
us_000480483,1.000000,0.950700
us_000375427,1.000000,0.951486
us_000592164,1.000000,0.951619
us_000592163,1.000000,0.952116
us_000539725,1.000000,0.954319
us_000589079,1.000000,0.954433
us_000502664,1.000000,0.955192
us_000529044,1.000000,0.955432
us_000578990,1.000000,0.956603
us_000528467,1.000000,0.959955
us_000574278,1.000000,0.960396
us_000501005,1.000000,0.960934
us_000583633,1.000000,0.963174
us_000574754,1.000000,0.963379
us_000501930,1.000000,0.963750
us_000584495,1.000000,0.964244
us_000514310,1.000000,0.965151
us_000568664,1.000000,0.965304
us_000571443,1.000000,0.965405
us_000582971,1.000000,0.966187
us_000592509,1.000000,0.967647
us_000608283,1.000000,0.969180
us_000585979,1.000000,0.969325
us_000592906,1.000000,0.969700
us_000591298,1.000000,0.970284
us_000573804,1.000000,0.970284
us_000598444,1.000000,0.970284
us_000598037,1.000000,0.971828
us_000574755,1.000000,0.972925
us_000593178,1.000000,0.972925
us_000593180,1.000000,0.972925
us_000617406,1.000000,0.974026
us_000593185,1.000000,0.974026
us_000585862,1.000000,0.974026
us_000617465,1.000000,0.974026
us_000593182,1.000000,0.974026
us_000588604,1.000000,0.974026
us_000585675,1.000000,0.975130
us_000610557,1.000000,0.975130
us_000610873,1.000000,0.975130
us_000586727,1.000000,0.975130
us_000590107,1.000000,0.975130
us_000586664,1.000000,0.975130
us_000557039,1.000000,0.978159
us_000572925,1.000000,0.986571
us_000608191,1.000000,0.998729
us_000611256,1.000000,0.999123
us_000552272,1.000000,1.002330
us_000512758,1.000000,1.008961
us_000605632,1.000000,1.011071
us_000079129,0.673474,0.841852
us_000572933,0.673474,0.888299
us_000496191,0.673474,1.134359
us_000527543,0.673474,1.190568
us_000488466,0.673474,1.250393
us_000585770,0.673474,1.469508
us_000516596,0.673474,1.704567
us_000538329,0.673474,1.718774
pr_000445596,0.485492,0.000011
us_000491039,0.485492,0.115710
us_000526592,0.485492,0.201633
us_000519592,0.485492,0.228184
us_000540448,0.485492,0.383414
us_000542450,0.485492,0.430709
us_000542128,0.485492,0.470663
us_000573080,0.485492,0.474170
us_000542636,0.485492,0.483668
us_000518338,0.485492,0.495418
us_000525817,0.485492,0.525996
us_000585454,0.485492,0.549435
us_000491497,0.485492,0.641262
us_000516391,0.485492,0.682882
us_000492199,0.485492,0.704413
us_000538365,0.485492,0.723560
us_000580538,0.485492,0.763815
us_000561161,0.485492,0.765380
us_000516570,0.485492,0.775229
us_000585980,0.485492,0.800160
us_000594429,0.485492,0.831717
us_000490642,0.485492,0.838423
us_000560629,0.485492,0.851777
us_000561851,0.485492,0.916604
us_000556426,0.485492,0.924939
us_000482422,0.485492,0.938893
us_000594496,0.485492,0.940020
us_000527691,0.485492,0.949242
us_000506029,0.485492,0.949729
us_000509861,0.485492,0.953222
us_000580902,0.485492,0.956152
us_000578237,0.485492,0.958690
us_000504612,0.485492,0.961228
us_000561424,0.485492,0.968304
us_000617259,0.485492,0.968518
us_000616687,0.485492,0.974286
us_000526609,0.485492,0.974505
us_000598974,0.485492,0.975584
us_000579241,0.485492,0.976519
us_000467421,0.485492,0.979309
us_000581101,0.485492,0.986448
us_000559994,0.485492,1.007211
us_000549135,0.485492,1.049376
us_000561686,0.485492,1.060383
us_000467382,0.426627,0.000273
us_000467308,0.426627,0.000273
us_000590274,0.426627,0.746441
us_000500519,0.426627,2.206436
us_000535970,0.426627,2.262697
us_000580333,0.426627,2.315945
us_000478085,0.426627,2.422504
us_000581920,0.426627,2.555549
us_000516024,0.426627,2.587815
us_000535984,0.426627,2.632328
us_000538082,0.426627,2.671212
us_000614443,0.426627,2.710948
us_000239257,0.426627,2.880627
us_000549889,0.228205,0.000029
us_000509361,0.228205,0.000029
us_000522650,0.228205,1.397569
us_000592680,0.228205,1.780992
us_000592673,0.228205,1.858198
us_000594070,0.228205,1.891714
us_000561669,0.228205,2.027883
us_000537263,0.228205,2.063172
us_000484081,0.228205,2.128169
us_000485008,0.228205,2.187827
us_000544020,0.228205,2.227948
us_000527504,0.228205,2.294690
us_000535789,0.228205,2.325907
us_000595348,0.228205,2.341877
us_000547759,0.228205,2.390194
us_000483181,0.228205,2.517861
pr_000871401,0.120546,0.000000
pr_000881152,0.120546,0.000071
us_000591112,0.120546,0.000142
us_000567883,0.120546,0.000156
us_000609301,0.120546,0.000211
pr_001690175,0.120546,0.000660
us_000489855,0.120546,0.000786
pr_000170110,0.120546,0.001112
pr_001687430,0.120546,0.001518
pr_001658032,0.120546,0.001624
us_000464767,0.120546,0.013400
us_000488485,0.120546,1.108380
us_000516597,0.120546,1.308005
us_000217019,0.120546,1.402696
us_000482601,0.120546,1.661724
us_000516367,0.120546,1.789856
us_000468596,0.120546,1.959848
us_000501637,0.120546,2.229444
us_000548893,0.120546,2.252475
us_000486265,0.120546,2.264685
us_000581698,0.120546,2.431772
us_000469453,0.120546,2.444049
us_000495294,0.120546,2.453921
us_000565889,0.120546,2.467686
us_000477865,0.120546,2.489479
us_000194274,0.120546,2.501434
us_000495376,0.120546,2.642992
us_000472441,0.120546,2.646743
us_000496574,0.120546,2.670195
