Product ID : 7834 # of JPs covered : 1 : 433 : Personal Injury-Trial-Strategies, 
OID,Confidence at Map Node,Error at Map Node
us_000577028,1.000000,0.000000
us_000609057,1.000000,0.000000
pr_002059420,1.000000,0.000012
pr_002102990,1.000000,0.000012
pr_001389495,1.000000,0.000012
pr_001900251,1.000000,0.000012
pr_000178657,1.000000,0.000012
pr_001397047,1.000000,0.000012
pr_000211708,1.000000,0.000049
pr_000591890,1.000000,0.000055
pr_000644144,1.000000,0.000102
pr_001021509,1.000000,0.000172
pr_000354810,1.000000,0.000178
pr_000980515,1.000000,0.000192
pr_001078655,1.000000,0.000257
pr_000914628,1.000000,0.000257
pr_001394876,1.000000,0.000257
pr_000916807,1.000000,0.000257
pr_001074948,1.000000,0.000257
pr_001656596,1.000000,0.000257
pr_000588458,1.000000,0.000257
pr_001723026,1.000000,0.000257
pr_001723014,1.000000,0.000257
pr_001583833,1.000000,0.000257
pr_001074433,1.000000,0.000261
pr_000912463,1.000000,0.000329
pr_001654998,1.000000,0.000382
pr_000162068,1.000000,0.000412
pr_000209499,1.000000,0.000863
us_000598421,1.000000,0.699926
us_000588059,1.000000,0.967385
us_000598426,1.000000,1.030940
us_000588075,1.000000,1.198617
us_000587838,1.000000,1.355938
us_000598617,1.000000,1.539967
us_000543546,1.000000,1.729078
us_000543522,1.000000,1.850532
pr_000929032,0.985467,0.000000
pr_001399159,0.985467,0.000000
pr_002198937,0.985467,0.000000
pr_000980391,0.985467,0.000000
pr_001083642,0.985467,0.000000
pr_000162196,0.985467,0.000000
pr_002064229,0.985467,0.000000
pr_001116238,0.985467,0.000000
pr_001078662,0.985467,0.000000
pr_000888360,0.985467,0.000000
pr_002123169,0.985467,0.000000
pr_001633699,0.985467,0.000000
pr_000607861,0.985467,0.000000
pr_001627959,0.985467,0.000000
pr_001048344,0.985467,0.000000
pr_002133007,0.985467,0.000000
pr_001080593,0.985467,0.000000
pr_000998116,0.985467,0.000000
pr_001119659,0.985467,0.000000
pr_002075765,0.985467,0.000000
pr_001116989,0.985467,0.000000
pr_002202487,0.985467,0.000000
pr_001954251,0.985467,0.000000
pr_000914757,0.985467,0.000000
pr_001893001,0.985467,0.000000
pr_001687973,0.985467,0.000000
pr_000756750,0.985467,0.000000
us_000502960,0.985467,0.000000
pr_000844612,0.985467,0.000001
pr_000185995,0.985467,0.000001
pr_000181348,0.985467,0.000006
us_000541311,0.985467,0.000012
pr_000212881,0.985467,0.000024
pr_000979097,0.985467,0.000049
us_000612210,0.985467,0.000082
us_000572579,0.985467,0.000112
us_000585071,0.985467,0.000112
us_000572584,0.985467,0.000112
us_000577884,0.985467,0.000156
us_000573304,0.985467,0.000209
us_000613810,0.985467,0.000209
us_000612833,0.985467,0.000209
us_000551021,0.985467,0.000284
pr_000359664,0.985467,0.000361
pr_001625358,0.985467,0.000459
pr_000335183,0.985467,0.000528
