Product ID : 1032 # of JPs covered : 1 : 205 : Real Estate Finance, 
OID,Confidence at Map Node,Error at Map Node
us_000497498,1.000000, 0.000000
us_000596238,1.000000, 0.000001
us_000591191,1.000000, 0.000010
us_000539678,1.000000, 0.000050
us_000466809,1.000000, 0.151500
us_000468763,1.000000, 0.292318
us_000464169,1.000000, 0.388129
us_000471546,1.000000, 0.390296
us_000477699,1.000000, 0.452497
us_000462601,1.000000, 0.459468
us_000488724,1.000000, 0.480296
us_000466890,1.000000, 0.480296
us_000470729,1.000000, 0.480296
us_000466888,1.000000, 0.480296
us_000490549,1.000000, 0.489092
us_000539568,1.000000, 0.489700
us_000085433,1.000000, 0.489947
us_000189842,1.000000, 0.489998
us_000314689,1.000000, 0.490888
us_000472424,1.000000, 0.490888
us_000492018,1.000000, 0.490888
us_000491447,1.000000, 0.490888
us_000470998,1.000000, 0.490888
us_000482123,1.000000, 0.490888
us_000163764,1.000000, 0.490888
us_000339027,1.000000, 0.567540
us_000467579,1.000000, 0.579882
us_000471304,1.000000, 0.579882
us_000487111,1.000000, 0.579882
us_000470728,1.000000, 0.590545
us_000127716,1.000000, 0.591539
us_000461531,1.000000, 0.591539
us_000585085,1.000000, 0.602231
us_000460914,1.000000, 0.602388
us_000585115,1.000000, 0.602510
us_000555752,1.000000, 0.603314
us_000552331,1.000000, 0.603314
us_000467355,1.000000, 0.603314
us_000486939,1.000000, 0.603314
us_000487146,1.000000, 0.603314
us_000424983,1.000000, 0.603314
us_000470943,1.000000, 0.603314
us_000467787,1.000000, 0.603314
us_000461926,1.000000, 0.603926
us_000489574,1.000000, 0.605142
us_000470969,1.000000, 0.620701
us_000148203,1.000000, 0.637481
us_000486556,1.000000, 0.651598
us_000497539,1.000000, 0.689053
us_000490695,1.000000, 0.696240
us_000488762,1.000000, 0.700263
us_000467731,1.000000, 0.700601
us_000480122,1.000000, 0.700835
us_000486323,1.000000, 0.700972
us_000468227,1.000000, 0.701696
us_000380964,1.000000, 0.701775
us_000488760,1.000000, 0.701775
us_000467529,1.000000, 0.701775
us_000488759,1.000000, 0.701775
us_000050154,1.000000, 0.701775
us_000471119,1.000000, 0.701775
us_000488761,1.000000, 0.701775
us_000467741,1.000000, 0.701775
us_000380535,1.000000, 0.701775
us_000247748,1.000000, 0.701775
us_000462431,1.000000, 0.701775
us_000477438,1.000000, 0.704585
us_000414293,1.000000, 0.712566
us_000482605,1.000000, 0.713441
us_000441282,1.000000, 0.713623
us_000466924,1.000000, 0.713623
us_000461541,1.000000, 0.713623
us_000481465,1.000000, 0.713623
us_000192920,1.000000, 0.713675
us_000485722,1.000000, 0.713690
us_000008713,1.000000, 0.713690
us_000488513,1.000000, 0.713812
us_000493295,1.000000, 0.714615
us_000466834,1.000000, 0.714615
us_000471955,1.000000, 0.714615
us_000486169,1.000000, 0.714615
us_000482592,1.000000, 0.714615
us_000472278,1.000000, 0.714615
us_000468083,1.000000, 0.714615
us_000472509,1.000000, 0.714615
us_000468194,1.000000, 0.714615
us_000470835,1.000000, 0.714615
us_000481506,1.000000, 0.714615
us_000466870,1.000000, 0.714615
us_000289339,1.000000, 0.714615
us_000485730,1.000000, 0.714615
us_000555302,1.000000, 0.714615
us_000464372,1.000000, 0.714615
us_000468184,1.000000, 0.714615
us_000491891,1.000000, 0.714615
us_000492204,1.000000, 0.714615
us_000492902,1.000000, 0.714615
us_000466885,1.000000, 0.714615
us_000492201,1.000000, 0.714615
us_000468185,1.000000, 0.714615
us_000482595,1.000000, 0.718283
us_000458827,1.000000, 0.718860
us_000481441,1.000000, 0.721740
us_000589841,1.000000, 0.725452
us_000586259,1.000000, 0.725459
us_000564537,1.000000, 0.725678
us_000489763,1.000000, 0.725775
us_000492324,1.000000, 0.725830
us_000496627,1.000000, 0.725845
us_000585190,1.000000, 0.726377
us_000552316,1.000000, 0.726386
us_000585308,1.000000, 0.726386
us_000482533,1.000000, 0.726400
us_000585730,1.000000, 0.726400
us_000507244,1.000000, 0.726400
us_000482464,1.000000, 0.726461
us_000481609,1.000000, 0.726578
us_000481549,1.000000, 0.726582
us_000475970,1.000000, 0.726582
us_000481608,1.000000, 0.726582
us_000480998,1.000000, 0.726582
us_000470440,1.000000, 0.726582
us_000551850,1.000000, 0.726582
us_000476267,1.000000, 0.726633
us_000460613,1.000000, 0.726648
us_000472557,1.000000, 0.726648
us_000460325,1.000000, 0.726648
us_000474701,1.000000, 0.726648
us_000491887,1.000000, 0.726670
us_000491760,1.000000, 0.726714
us_000497762,1.000000, 0.726771
us_000219035,1.000000, 0.726866
us_000476001,1.000000, 0.726899
us_000585878,1.000000, 0.726906
us_000486925,1.000000, 0.726955
us_000467782,1.000000, 0.727383
us_000466320,1.000000, 0.727574
us_000466407,1.000000, 0.727574
us_000492136,1.000000, 0.727574
us_000490613,1.000000, 0.727574
us_000472223,1.000000, 0.727574
us_000470415,1.000000, 0.727574
us_000466304,1.000000, 0.727574
us_000554639,1.000000, 0.727574
us_000205364,1.000000, 0.727574
us_000471049,1.000000, 0.727574
us_000487291,1.000000, 0.727574
us_000132405,1.000000, 0.727574
us_000326068,1.000000, 0.727574
us_000490609,1.000000, 0.727574
us_000466731,1.000000, 0.727574
us_000552859,1.000000, 0.727574
us_000461457,1.000000, 0.727574
us_000480938,1.000000, 0.727574
us_000487918,1.000000, 0.727574
us_000486858,1.000000, 0.727574
us_000472490,1.000000, 0.727574
us_000485718,1.000000, 0.727574
us_000471032,1.000000, 0.727574
us_000467499,1.000000, 0.727574
us_000461144,1.000000, 0.727574
us_000472138,1.000000, 0.727574
us_000498562,1.000000, 0.727574
us_000483841,1.000000, 0.727574
us_000491176,1.000000, 0.727574
us_000461641,1.000000, 0.727574
us_000467862,1.000000, 0.727574
us_000472533,1.000000, 0.727574
us_000485971,1.000000, 0.727574
us_000554682,1.000000, 0.727574
us_000554014,1.000000, 0.727574
us_000392137,1.000000, 0.727574
us_000482209,1.000000, 0.727574
us_000463502,1.000000, 0.727574
us_000484056,1.000000, 0.727574
us_000466378,1.000000, 0.727574
us_000480983,1.000000, 0.727574
us_000496287,1.000000, 0.727574
us_000484080,1.000000, 0.727574
us_000492078,1.000000, 0.727574
us_000466219,1.000000, 0.727574
us_000467498,1.000000, 0.727574
us_000490558,1.000000, 0.727574
us_000461130,1.000000, 0.727574
us_000313985,1.000000, 0.727574
us_000300655,1.000000, 0.727574
us_000471479,1.000000, 0.727574
us_000497421,1.000000, 0.727574
us_000468212,1.000000, 0.727574
us_000486542,1.000000, 0.727574
us_000210453,1.000000, 0.727746
us_000490617,1.000000, 0.727750
us_000470526,1.000000, 0.728701
us_000472177,1.000000, 0.729347
us_000525346,1.000000, 0.729514
us_000418458,1.000000, 0.730369
us_000478507,1.000000, 0.731214
us_000485543,1.000000, 0.731242
us_000467110,1.000000, 0.731595
us_000488549,1.000000, 0.733060
us_000466356,1.000000, 0.734050
us_000234265,1.000000, 0.734338
us_000297674,1.000000, 0.735837
us_000463570,1.000000, 0.737758
us_000465427,1.000000, 0.743328
us_000500615,1.000000, 0.743774
us_000480945,1.000000, 0.744961
us_000507758,1.000000, 0.745029
us_000495063,1.000000, 0.746124
us_000486032,1.000000, 0.748523
us_000489777,1.000000, 0.749378
us_000481095,1.000000, 0.759473
us_000488829,1.000000, 0.766451
us_000486562,1.000000, 0.780592
us_000469651,1.000000, 0.833332
us_000602962,1.000000, 0.833648
us_000502765,1.000000, 0.833708
us_000341319,1.000000, 0.833708
us_000467618,1.000000, 0.841326
pr_000344427,0.999209, 0.000000
us_000497124,0.999209, 0.000000
us_000461607,0.999209, 0.705439
us_000486121,0.999209, 0.778701
us_000486082,0.999209, 0.778701
us_000487125,0.999209, 0.792271
us_000482899,0.999209, 0.792271
us_000486838,0.999209, 0.792271
us_000060371,0.999209, 0.792271
us_000482931,0.999209, 0.792271
us_000467536,0.999209, 0.792271
us_000468229,0.999209, 0.792271
us_000467274,0.999209, 0.792271
us_000482869,0.999209, 0.792271
us_000470646,0.999209, 0.792271
us_000467737,0.999209, 0.792271
us_000467576,0.999209, 0.792271
us_000467518,0.999209, 0.792271
us_000487044,0.999209, 0.796250
us_000596120,0.826737, 0.000261
us_000612750,0.826737, 0.000261
us_000255458,0.826737, 0.000261
us_000475243,0.826737, 0.000261
us_000472785,0.826737, 0.000261
us_000516959,0.826737, 0.000261
us_000462054,0.826737, 0.000261
us_000459056,0.826737, 0.000261
us_000175736,0.826737, 0.000261
us_000546781,0.826737, 0.000261
us_000497448,0.826737, 0.000261
us_000563317,0.826737, 0.000261
us_000471550,0.826737, 0.000261
us_000612799,0.826737, 0.000261
us_000547169,0.826737, 0.000261
us_000612803,0.826737, 0.000261
us_000153375,0.826737, 0.000261
us_000546544,0.826737, 0.000261
us_000470290,0.826737, 0.000470
us_000474095,0.826737, 0.000470
us_000464982,0.826737, 0.000470
us_000472620,0.826737, 0.000470
us_000581124,0.826737, 0.000470
us_000520325,0.826737, 0.000491
us_000582483,0.826737, 0.000746
us_000525169,0.826737, 0.000796
us_000615013,0.826737, 0.001709
us_000550673,0.826737, 0.001789
us_000541850,0.826737, 0.002790
us_000374071,0.826737, 0.003868
us_000541874,0.826737, 0.011180
us_000522690,0.826737, 0.012841
us_000034875,0.826737, 0.041859
us_000468112,0.826737, 0.157855
us_000501954,0.826737, 0.372159
us_000609186,0.826737, 0.372234
us_000502076,0.826737, 0.372892
us_000495135,0.826737, 0.376858
us_000586424,0.826737, 0.377003
us_000466486,0.826737, 0.377694
us_000276708,0.826737, 0.377694
us_000468174,0.826737, 0.377694
us_000492515,0.826737, 0.377740
us_000555001,0.826737, 0.377818
us_000012299,0.826737, 0.378700
us_000095538,0.826737, 0.378700
us_000466930,0.826737, 0.378700
us_000467814,0.826737, 0.378700
us_000486201,0.826737, 0.378700
us_000491890,0.826737, 0.378700
us_000193425,0.826737, 0.378700
us_000468190,0.826737, 0.378700
us_000491215,0.826737, 0.378700
us_000489107,0.826737, 0.378700
us_000492208,0.826737, 0.378700
us_000481945,0.826737, 0.378700
us_000466481,0.826737, 0.378700
us_000472267,0.826737, 0.378700
us_000468118,0.826737, 0.378700
us_000484307,0.826737, 0.378700
us_000486170,0.826737, 0.378700
us_000466447,0.826737, 0.378700
us_000483656,0.826737, 0.378700
us_000567200,0.826737, 0.378700
us_000492804,0.826737, 0.378700
us_000466904,0.826737, 0.378700
us_000484142,0.826737, 0.378700
us_000468116,0.826737, 0.378700
us_000461536,0.826737, 0.378700
us_000487002,0.826737, 0.378700
us_000473500,0.826737, 0.378700
us_000469206,0.826737, 0.378700
us_000468129,0.826737, 0.378700
us_000486258,0.826737, 0.378700
us_000468115,0.826737, 0.381575
us_000467746,0.826737, 0.385301
us_000578369,0.826737, 0.386100
us_000540582,0.826737, 0.386196
us_000578947,0.826737, 0.386214
us_000458502,0.826737, 0.386218
us_000579596,0.826737, 0.386218
us_000506732,0.826737, 0.386262
us_000588528,0.826737, 0.386292
us_000561658,0.826737, 0.386733
us_000466029,0.826737, 0.386870
us_000468002,0.826737, 0.386872
us_000461970,0.826737, 0.386875
us_000465451,0.826737, 0.386875
us_000466370,0.826737, 0.386875
us_000470394,0.826737, 0.386875
us_000396900,0.826737, 0.386875
us_000450942,0.826737, 0.386875
us_000458835,0.826737, 0.386875
us_000464556,0.826737, 0.386875
us_000610033,0.826737, 0.386875
us_000474055,0.826737, 0.386876
us_000411511,0.826737, 0.386900
us_000459662,0.826737, 0.386922
us_000397477,0.826737, 0.386922
us_000461600,0.826737, 0.386922
us_000474316,0.826737, 0.386922
us_000469630,0.826737, 0.386936
us_000258808,0.826737, 0.386936
us_000183495,0.826737, 0.386936
us_000468479,0.826737, 0.386936
us_000582683,0.826737, 0.387000
us_000529026,0.826737, 0.387000
us_000543283,0.826737, 0.387001
us_000491294,0.826737, 0.387013
us_000489108,0.826737, 0.387105
us_000585178,0.826737, 0.387145
us_000585909,0.826737, 0.387145
us_000488434,0.826737, 0.387149
us_000577312,0.826737, 0.387183
us_000581654,0.826737, 0.387183
us_000216136,0.826737, 0.387208
us_000585767,0.826737, 0.387225
us_000584639,0.826737, 0.387225
us_000585790,0.826737, 0.387225
us_000582722,0.826737, 0.387225
us_000471587,0.826737, 0.387225
us_000583958,0.826737, 0.387225
us_000584889,0.826737, 0.387225
us_000585228,0.826737, 0.387225
us_000607993,0.826737, 0.387225
us_000471476,0.826737, 0.387225
us_000607397,0.826737, 0.387225
us_000584702,0.826737, 0.387225
us_000493155,0.826737, 0.387225
us_000351799,0.826737, 0.387302
us_000468419,0.826737, 0.387558
us_000471379,0.826737, 0.387611
us_000482740,0.826737, 0.387882
us_000458874,0.826737, 0.387882
us_000466372,0.826737, 0.387882
us_000494078,0.826737, 0.387882
us_000553856,0.826737, 0.387882
us_000472189,0.826737, 0.387882
us_000488284,0.826737, 0.387882
us_000461631,0.826737, 0.387882
us_000541468,0.826737, 0.387882
us_000471340,0.826737, 0.387882
us_000487173,0.826737, 0.387882
us_000488433,0.826737, 0.387882
us_000467439,0.826737, 0.387882
us_000467963,0.826737, 0.387882
us_000466287,0.826737, 0.387882
us_000486908,0.826737, 0.387882
us_000467496,0.826737, 0.387882
us_000468221,0.826737, 0.387882
us_000463765,0.826737, 0.387882
us_000609377,0.826737, 0.387882
us_000486125,0.826737, 0.387882
us_000491283,0.826737, 0.387882
us_000483824,0.826737, 0.387882
us_000153669,0.826737, 0.387882
us_000481522,0.826737, 0.387882
us_000467631,0.826737, 0.387882
us_000609191,0.826737, 0.387882
us_000487746,0.826737, 0.387882
us_000491345,0.826737, 0.387882
us_000307401,0.826737, 0.387882
us_000467939,0.826737, 0.387882
us_000498139,0.826737, 0.387882
us_000493270,0.826737, 0.387882
us_000450278,0.826737, 0.387882
us_000040271,0.826737, 0.387882
us_000490424,0.826737, 0.387882
us_000460841,0.826737, 0.387882
us_000459188,0.826737, 0.387882
us_000466993,0.826737, 0.387882
us_000471460,0.826737, 0.387882
us_000073484,0.826737, 0.387882
us_000491420,0.826737, 0.387882
us_000484049,0.826737, 0.387882
us_000148004,0.826737, 0.387882
us_000494048,0.826737, 0.387882
us_000458452,0.826737, 0.387882
us_000602844,0.826737, 0.387882
us_000467766,0.826737, 0.387882
us_000216190,0.826737, 0.387882
us_000459087,0.826737, 0.387882
us_000568241,0.826737, 0.387882
us_000461571,0.826737, 0.387882
us_000556424,0.826737, 0.387882
