Product ID : 1043 # of JPs covered : 1 : 229 : Environmental Litigation, 
OID,Confidence at Map Node,Error at Map Node
us_000531591,1.000000, 0.023144
us_000460156,1.000000, 0.143646
us_000458705,1.000000, 0.507684
us_000467868,1.000000, 0.587797
us_000478792,1.000000, 0.650324
us_000474694,1.000000, 0.772284
us_000474886,1.000000, 0.886182
us_000498963,1.000000, 0.886199
us_000521710,1.000000, 0.897151
us_000474632,1.000000, 0.968684
us_000502614,1.000000, 0.969509
us_000466608,1.000000, 0.983543
us_000438082,1.000000, 0.985000
us_000469344,1.000000, 0.993466
us_000526849,1.000000, 0.995556
us_000468613,1.000000, 1.024673
us_000502471,1.000000, 1.026554
us_000490881,1.000000, 1.027180
us_000502808,1.000000, 1.030281
us_000521709,1.000000, 1.046441
us_000463740,1.000000, 1.047458
us_000502639,1.000000, 1.047470
us_000503184,1.000000, 1.086635
us_000502858,1.000000, 1.135606
us_000559268,1.000000, 1.164609
us_000559264,1.000000, 1.167708
us_000488289,1.000000, 1.177342
us_000378221,1.000000, 1.191051
us_000431222,1.000000, 1.206206
us_000474907,1.000000, 1.292399
us_000460517,1.000000, 1.311872
us_000488339,1.000000, 1.322164
us_000434951,1.000000, 1.322528
us_000458712,1.000000, 1.322821
us_000463830,1.000000, 1.327225
us_000470413,1.000000, 1.329823
us_000474904,1.000000, 1.338907
us_000466715,1.000000, 1.343159
us_000502859,1.000000, 1.361219
us_000488353,1.000000, 1.373705
us_000469353,1.000000, 1.408428
us_000469445,1.000000, 1.410751
us_000533736,1.000000, 1.432327
us_000474730,1.000000, 1.432343
us_000493930,1.000000, 1.762308
pr_000728726,0.829663, 0.000000
pr_000001129,0.829663, 0.000138
us_000317920,0.829663, 0.000941
us_000531559,0.780619, 0.000043
pr_000617774,0.780619, 0.000261
us_000521579,0.780619, 0.355297
us_000521788,0.780619, 2.008287
us_000482393,0.682977, 0.000000
us_000489041,0.682977, 0.000000
pr_001408912,0.682977, 0.000000
pr_001015666,0.682977, 0.000000
us_000540344,0.682977, 0.000001
us_000549145,0.682977, 0.000001
pr_001951731,0.682977, 0.000002
pr_001038172,0.682977, 0.000002
pr_000993493,0.682977, 0.000002
pr_000714430,0.682977, 0.000002
pr_001974892,0.682977, 0.000002
pr_000693296,0.682977, 0.000002
pr_001990727,0.682977, 0.000002
pr_001923350,0.682977, 0.000002
pr_000980100,0.682977, 0.000002
pr_000592349,0.682977, 0.000002
pr_002151140,0.682977, 0.000002
pr_000718583,0.682977, 0.000002
pr_002214610,0.682977, 0.000002
pr_000576824,0.682977, 0.000032
pr_000881493,0.682977, 0.000035
pr_000378370,0.682977, 0.000038
pr_000710722,0.682977, 0.000071
us_000502662,0.682977, 0.000081
pr_000603708,0.682977, 0.000261
us_000583947,0.682977, 0.037344
us_000552592,0.682977, 0.085573
us_000562910,0.682977, 0.127926
us_000501264,0.673450, 0.000000
us_000536388,0.673450, 0.000004
us_000497225,0.673450, 0.204225
us_000594065,0.673450, 0.218744
us_000194961,0.673450, 0.239368
us_000507759,0.673450, 0.245181
us_000489538,0.673450, 0.262071
us_000477688,0.673450, 0.262454
us_000548999,0.673450, 0.268426
us_000472823,0.673450, 0.288764
us_000508213,0.673450, 0.291131
us_000498892,0.673450, 0.302441
us_000531356,0.673450, 0.306258
us_000546867,0.673450, 0.314899
us_000239867,0.673450, 0.317966
us_000575447,0.673450, 0.323068
us_000473840,0.673450, 0.329672
us_000016184,0.673450, 0.331230
us_000480558,0.673450, 0.332544
us_000507373,0.673450, 0.356893
us_000478480,0.673450, 0.363545
us_000153668,0.673450, 0.369619
us_000527538,0.673450, 0.375239
us_000494094,0.673450, 0.375996
us_000356006,0.673450, 0.376042
us_000486392,0.673450, 0.378791
us_000494400,0.673450, 0.384506
us_000554957,0.673450, 0.385517
us_000575377,0.673450, 0.386340
us_000555223,0.673450, 0.388627
us_000365615,0.673450, 0.389091
us_000414403,0.673450, 0.391919
us_000539023,0.673450, 0.398544
us_000554440,0.673450, 0.402222
us_000575475,0.673450, 0.405119
us_000539076,0.673450, 0.405401
us_000526139,0.673450, 0.405941
us_000560385,0.673450, 0.406602
us_000017359,0.673450, 0.407656
us_000549040,0.673450, 0.407710
