Product ID : 2066 # of JPs covered : 1 : 126 : Products Liability, 
OID,Confidence at Map Node,Error at Map Node
pr_000338681,1.000000, 0.000004
pr_000110488,1.000000, 0.000004
pr_000569477,1.000000, 0.000004
pr_000172148,1.000000, 0.000006
pr_000718291,1.000000, 0.000075
pr_001978282,1.000000, 0.000120
pr_000161073,1.000000, 0.000130
pr_000181123,1.000000, 0.000146
pr_000332030,1.000000, 0.000176
pr_000185724,1.000000, 0.000315
us_000487996,1.000000, 0.010543
us_000486474,1.000000, 0.063054
us_000551444,1.000000, 0.240765
us_000486496,1.000000, 0.256138
us_000487957,1.000000, 0.264804
us_000501185,1.000000, 0.283156
us_000488021,1.000000, 0.292476
us_000488815,1.000000, 0.301952
us_000522691,1.000000, 0.301952
us_000496323,1.000000, 0.311585
us_000500052,1.000000, 0.311585
us_000506161,1.000000, 0.311585
us_000523479,1.000000, 0.311585
pr_001066970,0.938482, 0.000000
pr_002175268,0.938482, 0.000000
pr_000981557,0.938482, 0.000000
pr_000909033,0.938482, 0.000000
pr_001055604,0.938482, 0.000000
pr_000667086,0.938482, 0.000000
pr_002057346,0.938482, 0.000000
pr_001396007,0.938482, 0.000000
pr_002191881,0.938482, 0.000000
pr_002069526,0.938482, 0.000000
pr_000447097,0.938482, 0.000000
pr_001067613,0.938482, 0.000000
pr_002069702,0.938482, 0.000000
pr_001764290,0.938482, 0.000000
pr_001952618,0.938482, 0.000000
pr_001132567,0.938482, 0.000000
pr_001067662,0.938482, 0.000000
pr_002068921,0.938482, 0.000000
pr_000856107,0.938482, 0.000000
pr_001914181,0.938482, 0.000000
pr_002051825,0.938482, 0.000000
pr_002069669,0.938482, 0.000000
pr_002071008,0.938482, 0.000000
pr_002069044,0.938482, 0.000000
pr_000438020,0.938482, 0.000002
pr_000447504,0.938482, 0.000002
pr_001830673,0.938482, 0.000002
us_000492672,0.938482, 0.000007
pr_000441284,0.938482, 0.000027
us_000487754,0.938482, 0.159036
us_000602805,0.938482, 0.173627
us_000551543,0.938482, 0.180552
us_000500975,0.938482, 0.180696
us_000574299,0.938482, 0.188038
us_000467732,0.938482, 0.193018
us_000552434,0.938482, 0.195680
us_000557812,0.938482, 0.195680
us_000552486,0.938482, 0.195680
us_000551199,0.938482, 0.203478
us_000579768,0.938482, 0.203478
us_000583839,0.938482, 0.203478
us_000552487,0.938482, 0.203478
us_000583814,0.938482, 0.203478
us_000589627,0.938482, 0.203478
us_000513528,0.938482, 0.203478
us_000499145,0.938482, 0.203478
us_000505191,0.938482, 0.203478
us_000606167,0.938482, 0.203478
us_000554033,0.938482, 0.203478
us_000552840,0.938482, 0.203478
us_000528611,0.938482, 0.203478
us_000540354,0.938482, 0.203478
us_000521806,0.938482, 0.203478
us_000505202,0.938482, 0.203478
us_000478019,0.938482, 0.203478
us_000605092,0.938482, 0.203478
us_000558205,0.938482, 0.203478
us_000553341,0.938482, 0.203478
us_000580285,0.938482, 0.203478
us_000496981,0.938482, 0.203478
us_000499143,0.938482, 0.203478
pr_000291104,0.925211, 0.000001
pr_000816745,0.925211, 0.000001
pr_000828088,0.925211, 0.000002
pr_000272120,0.925211, 0.000002
pr_000153424,0.925211, 0.000002
pr_000536018,0.925211, 0.000013
pr_000813643,0.925211, 0.000026
pr_000918126,0.925211, 0.000074
pr_000754874,0.925211, 0.000082
pr_000181107,0.925211, 0.000084
pr_000908677,0.925211, 0.000139
pr_000706858,0.925211, 0.000216
pr_000177065,0.925211, 0.000250
pr_000585474,0.925211, 0.000260
pr_000639837,0.925211, 0.000271
pr_000576501,0.925211, 0.000305
pr_000158130,0.925211, 0.000307
pr_000552606,0.925211, 0.000337
pr_000177841,0.925211, 0.000337
pr_000757874,0.925211, 0.000337
pr_000104328,0.925211, 0.000337
pr_000596588,0.925211, 0.000337
pr_001157595,0.925211, 0.000338
pr_000177932,0.925211, 0.000342
pr_000104830,0.925211, 0.000344
pr_000178071,0.925211, 0.000382
pr_000650234,0.925211, 0.000775
pr_000178781,0.925211, 0.001668
pr_000740812,0.925211, 0.003490
pr_000703530,0.925211, 0.003490
pr_000815428,0.925211, 0.003491
pr_000865438,0.925211, 0.003651
