Product ID : 2071 # of JPs covered : 1 : 403 : Tax Law-Foreign, 
OID,Confidence at Map Node,Error at Map Node
us_000561151,1.000000, 0.000000
us_000554871,1.000000, 0.000000
us_000539738,1.000000, 0.000000
us_000596108,1.000000, 0.000000
us_000597207,1.000000, 0.000000
pr_000585805,1.000000, 0.000098
pr_000133702,1.000000, 0.000112
pr_000184510,1.000000, 0.000125
pr_000594825,1.000000, 0.000182
pr_000101458,1.000000, 0.001905
pr_000083242,1.000000, 0.002184
us_000571039,1.000000, 0.002627
us_000509532,1.000000, 0.004697
us_000526839,1.000000, 0.006463
us_000543058,1.000000, 0.025804
us_000495292,1.000000, 4.614023
us_000459150,1.000000, 8.231779
pr_001661811,0.733281, 0.000000
pr_000111239,0.733281, 0.000000
pr_000873733,0.733281, 0.000000
pr_000348462,0.733281, 0.000000
us_000481532,0.733281, 0.000000
us_000487989,0.733281, 0.000000
us_000485040,0.733281, 0.000000
us_000309837,0.733281, 0.000000
us_000512263,0.733281, 0.000005
us_000537179,0.733281, 0.000006
pr_001037213,0.733281, 0.000010
us_000572015,0.733281, 0.000017
pr_001791220,0.733281, 0.000041
pr_001785966,0.733281, 0.000041
us_000595018,0.733281, 0.000072
us_000464136,0.733281, 0.000112
us_000573380,0.733281, 0.000418
us_000578439,0.733281, 0.000632
us_000487956,0.733281, 0.020095
us_000532878,0.733281, 0.166997
us_000488909,0.733281, 0.251005
us_000481296,0.602976, 0.000000
pr_000639260,0.602976, 0.000000
pr_000925287,0.602976, 0.000000
pr_000443157,0.602976, 0.000001
pr_000843086,0.602976, 0.000002
us_000481602,0.602976, 0.000002
us_000608882,0.602976, 0.000014
us_000469699,0.602976, 0.000047
pr_000726610,0.602976, 0.000094
us_000493325,0.602976, 0.000144
pr_000903851,0.602976, 0.000144
pr_000640146,0.602976, 0.000169
us_000487289,0.602976, 0.000355
us_000591444,0.602976, 0.030864
us_000614940,0.602976, 0.031810
us_000530669,0.602976, 0.031841
us_000614496,0.602976, 0.031895
us_000502245,0.602976, 0.040279
us_000513747,0.602976, 0.044444
us_000592357,0.602976, 0.047694
us_000594495,0.602976, 0.059972
us_000609077,0.602976, 0.322540
pr_001048769,0.485109, 0.000000
pr_000891918,0.485109, 0.000000
pr_000621383,0.485109, 0.000000
pr_000255072,0.485109, 0.000000
pr_000970030,0.485109, 0.000003
pr_000475600,0.485109, 0.000003
us_000520459,0.485109, 0.000005
us_000465062,0.485109, 0.000005
pr_001025380,0.485109, 0.000009
us_000461614,0.485109, 0.000010
us_000466712,0.485109, 0.000010
pr_000785328,0.485109, 0.000012
pr_000292083,0.485109, 0.000015
pr_001922857,0.485109, 0.000019
pr_000752974,0.485109, 0.000023
pr_001107341,0.485109, 0.000044
pr_001927481,0.485109, 0.000074
pr_000902603,0.485109, 0.000106
pr_001619029,0.485109, 0.000124
pr_000651887,0.485109, 0.000135
pr_000840279,0.485109, 0.000182
pr_000790316,0.485109, 0.000197
pr_000829171,0.485109, 0.000231
us_000027474,0.485109, 0.000277
pr_000749361,0.485109, 0.000355
us_000574937,0.485109, 0.004120
us_000493228,0.485109, 0.010590
us_000487916,0.485109, 0.013164
us_000563523,0.485109, 0.029426
us_000084482,0.485109, 1.469930
us_000536340,0.485109, 2.606279
us_000536315,0.485109, 2.627717
us_000523222,0.485109, 2.727983
us_000085273,0.485109, 2.937751
us_000536679,0.456482, 0.000000
us_000464667,0.456482, 0.000000
us_000467322,0.456482, 0.000000
us_000500846,0.456482, 0.000000
us_000461740,0.456482, 0.000000
us_000468333,0.456482, 0.000000
us_000501799,0.456482, 0.000000
us_000416100,0.456482, 0.000000
us_000609365,0.456482, 0.000000
us_000474544,0.456482, 0.000000
us_000498932,0.456482, 0.000000
us_000500695,0.456482, 0.000000
us_000462798,0.456482, 0.000000
us_000487155,0.456482, 0.000000
us_000588691,0.456482, 0.000001
us_000532224,0.456482, 0.000002
us_000491675,0.456482, 0.000002
us_000520003,0.456482, 0.000002
us_000536547,0.456482, 0.000002
us_000518218,0.456482, 0.000002
us_000555014,0.456482, 0.000002
us_000494134,0.456482, 0.000002
us_000507212,0.456482, 0.000002
us_000502591,0.456482, 0.000002
us_000539194,0.456482, 0.000002
us_000511228,0.456482, 0.000002
us_000520254,0.456482, 0.000002
us_000501974,0.456482, 0.000002
us_000579727,0.456482, 0.000002
us_000510873,0.456482, 0.000002
us_000512140,0.456482, 0.000002
us_000514333,0.456482, 0.000002
us_000528672,0.456482, 0.000002
us_000503537,0.456482, 0.000002
us_000538422,0.456482, 0.000002
us_000506853,0.456482, 0.000002
us_000578003,0.456482, 0.000002
