Product ID : 2079 # of JPs covered : 1 : 391 : Patent-Prosecution, 
OID,Confidence at Map Node,Error at Map Node
us_000487510,1.000000, 0.372995
us_000402635,1.000000, 0.841334
us_000464143,0.507933, 0.000000
us_000469979,0.507933, 0.000000
us_000470870,0.507933, 0.000000
pr_000755753,0.507933, 0.000000
pr_000904914,0.507933, 0.000000
us_000544555,0.507933, 0.000000
us_000529657,0.507933, 0.000001
us_000524032,0.507933, 0.000001
us_000515325,0.507933, 0.000001
us_000550596,0.507933, 0.000001
us_000518607,0.507933, 0.000001
us_000587374,0.507933, 0.000003
us_000612422,0.507933, 0.000004
us_000540214,0.507933, 0.000009
pr_000891919,0.507933, 0.000012
us_000587046,0.507933, 0.000015
us_000474921,0.507933, 0.000044
pr_001966302,0.507933, 0.000100
pr_001680645,0.507933, 0.000143
pr_000717967,0.507933, 0.000180
pr_000843326,0.507933, 0.000231
us_000551962,0.507933, 0.000344
us_000594653,0.507933, 0.000359
us_000615136,0.507933, 0.000376
us_000604801,0.507933, 0.000380
us_000188916,0.507933, 0.000636
us_000018297,0.507933, 0.000652
us_000580553,0.507933, 0.000659
us_000580549,0.507933, 0.000659
us_000492349,0.507933, 0.000713
us_000462998,0.507933, 0.000713
pr_000988753,0.507933, 0.000782
us_000556745,0.507933, 0.001005
us_000511878,0.507933, 0.001074
us_000609015,0.507933, 0.001162
us_000580552,0.507933, 0.001603
us_000532962,0.507933, 0.001673
us_000515865,0.507933, 0.002269
us_000510421,0.507933, 0.002897
us_000582562,0.507933, 0.003191
us_000522194,0.507933, 0.004967
us_000466905,0.507933, 0.005969
us_000544848,0.507933, 0.006184
us_000478493,0.507933, 0.008211
us_000580214,0.507933, 0.008385
us_000599358,0.507933, 0.009644
us_000483187,0.507933, 0.010976
us_000523846,0.507933, 0.011002
us_000465663,0.507933, 0.011660
us_000607949,0.507933, 0.012435
us_000481514,0.507933, 0.012447
us_000574050,0.507933, 0.012705
us_000463060,0.507933, 0.013028
us_000575679,0.507933, 0.019550
us_000536031,0.507933, 0.021246
us_000536332,0.507933, 0.022369
us_000547608,0.507933, 0.024668
us_000482363,0.507933, 0.027232
us_000475522,0.507933, 0.028480
us_000469422,0.507933, 0.029800
us_000103730,0.507933, 0.030832
us_000491611,0.507933, 0.035990
us_000479628,0.507933, 0.036183
us_000462028,0.507933, 0.038655
us_000557200,0.507933, 0.040854
us_000578936,0.507933, 0.042963
us_000616842,0.507933, 0.044720
us_000587968,0.507933, 0.047362
us_000534932,0.507933, 0.049621
us_000594982,0.507933, 0.062592
us_000521649,0.507933, 0.067461
us_000502052,0.507933, 0.071109
us_000541173,0.507933, 0.073995
us_000472184,0.507933, 0.093796
us_000599192,0.507933, 0.095175
us_000558207,0.507933, 0.098085
us_000535239,0.507933, 0.109734
us_000521559,0.507933, 0.124962
us_000487607,0.507933, 0.783015
us_000487472,0.507933, 1.167901
us_000534374,0.507933, 1.218816
us_000487270,0.507933, 1.827862
us_000535409,0.365453, 0.000000
us_000509377,0.365453, 0.000066
us_000561270,0.365453, 0.512376
us_000525413,0.365453, 0.616268
us_000508269,0.365453, 0.705035
us_000504039,0.365453, 0.742143
us_000586446,0.365453, 0.870494
us_000472843,0.365453, 0.978567
us_000534336,0.365453, 1.033813
us_000526216,0.365453, 1.294048
us_000560902,0.365453, 1.347474
us_000463788,0.365453, 1.387180
us_000513670,0.365453, 1.396358
us_000549241,0.365453, 1.622818
pr_000851804,0.362311, 0.000000
pr_000732878,0.362311, 0.000000
pr_001145099,0.362311, 0.000000
pr_001092265,0.023655, 0.000000
us_000460679,0.023655, 0.000000
us_000488681,0.023655, 0.000002
pr_001961812,0.023655, 0.000057
pr_002094060,0.023655, 0.000074
us_000577628,0.023655, 0.001694
us_000513914,0.023655, 0.001894
us_000602720,0.023655, 0.001979
us_000579462,0.023655, 0.003332
us_000529307,0.023655, 0.010280
us_000492775,0.023655, 0.014517
us_000469219,0.023655, 0.018214
us_000560316,0.023655, 0.020141
us_000471586,0.023655, 0.026386
us_000546972,0.023655, 0.033355
us_000497129,0.023655, 1.066658
us_000330350,0.023655, 2.452195
us_000484293,0.004442, 0.000000
pr_002082188,0.004442, 0.000001
pr_001932738,0.004442, 0.000001
pr_002172150,0.004442, 0.000001
pr_002082090,0.004442, 0.000001
pr_001089187,0.004442, 0.000007
pr_001606541,0.004442, 0.000015
pr_001394138,0.004442, 0.000017
pr_002112465,0.004442, 0.000017
pr_000968793,0.004442, 0.000031
pr_001085885,0.004442, 0.000031
us_000462722,0.004442, 0.000163
us_000614657,0.004442, 0.000334
us_000471706,0.004442, 0.000334
us_000471717,0.004442, 0.000334
us_000581909,0.004442, 0.000334
pr_000929264,0.004442, 0.000573
us_000466010,0.004442, 0.002018
us_000469720,0.004442, 0.003160
us_000529569,0.004442, 0.018168
us_000495162,0.004442, 0.065865
us_000497186,0.004442, 0.074368
us_000487499,0.004442, 0.986302
us_000484333,0.004442, 1.172160
us_000332177,0.004442, 1.267356
us_000477854,0.004442, 1.307923
us_000477704,0.004442, 1.359087
