Product ID : 2081 # of JPs covered : 1 : 243 : Family Law, 
OID,Confidence at Map Node,Error at Map Node
pr_001855710,1.000000, 0.000000
pr_001788613,1.000000, 0.000000
pr_000752365,1.000000, 0.000000
pr_001921263,1.000000, 0.000000
pr_000725295,1.000000, 0.000000
pr_000853781,1.000000, 0.000000
pr_000884015,1.000000, 0.000000
pr_000956891,1.000000, 0.000000
pr_001887585,1.000000, 0.000000
pr_001914949,1.000000, 0.000000
pr_000868668,1.000000, 0.000000
pr_001620232,1.000000, 0.000000
pr_000929550,1.000000, 0.000000
pr_001947693,1.000000, 0.000000
pr_000833330,1.000000, 0.000000
pr_001125257,1.000000, 0.000000
pr_000650014,1.000000, 0.000000
pr_000849731,1.000000, 0.000000
pr_000854251,1.000000, 0.000000
pr_000874458,1.000000, 0.000000
pr_000995137,1.000000, 0.000000
pr_001803548,1.000000, 0.000000
pr_000658586,1.000000, 0.000000
pr_000957415,1.000000, 0.000000
pr_001984330,1.000000, 0.000000
pr_000657456,1.000000, 0.000000
pr_002227062,1.000000, 0.000000
pr_002169187,1.000000, 0.000000
pr_001685975,1.000000, 0.000000
pr_002236946,1.000000, 0.000000
pr_000993613,1.000000, 0.000000
pr_001085166,1.000000, 0.000000
pr_002054718,1.000000, 0.000000
pr_000604225,1.000000, 0.000000
pr_002233247,1.000000, 0.000000
pr_001914930,1.000000, 0.000000
pr_001932308,1.000000, 0.000000
pr_000657989,1.000000, 0.000000
pr_002151420,1.000000, 0.000000
pr_000705571,1.000000, 0.000000
pr_000871815,1.000000, 0.000000
pr_001951517,1.000000, 0.000000
pr_000863494,1.000000, 0.000000
pr_002050588,1.000000, 0.000000
pr_000999800,1.000000, 0.000000
pr_001708012,1.000000, 0.000000
pr_000965207,1.000000, 0.000000
pr_002043246,1.000000, 0.000000
pr_000836369,1.000000, 0.000000
pr_000806567,1.000000, 0.000000
pr_001820083,1.000000, 0.000000
pr_000858867,1.000000, 0.000000
pr_000714526,1.000000, 0.000000
pr_000770431,1.000000, 0.000000
pr_001736676,1.000000, 0.000000
pr_001082322,1.000000, 0.000000
pr_002199435,1.000000, 0.000000
pr_001764219,1.000000, 0.000000
pr_000872706,1.000000, 0.000000
pr_000900019,1.000000, 0.000000
pr_000851013,1.000000, 0.000000
pr_000854474,1.000000, 0.000000
pr_000995766,1.000000, 0.000000
pr_000708422,1.000000, 0.000000
pr_000714265,1.000000, 0.000000
pr_000979359,1.000000, 0.000000
pr_000971318,1.000000, 0.000000
pr_000908216,1.000000, 0.000000
pr_000580852,1.000000, 0.000000
pr_001053476,1.000000, 0.000001
us_000560599,1.000000, 0.000007
us_000484065,1.000000, 0.000007
pr_000459720,1.000000, 0.000035
us_000566501,1.000000, 0.000098
us_000560774,1.000000, 0.000112
us_000571586,1.000000, 0.000165
us_000500226,1.000000, 0.040358
us_000496156,1.000000, 0.112112
us_000534779,1.000000, 0.132746
us_000491014,1.000000, 0.150537
us_000491048,1.000000, 0.152133
us_000485601,1.000000, 0.205894
us_000491556,1.000000, 0.226930
us_000489650,1.000000, 0.232664
us_000501092,1.000000, 0.235563
us_000495943,1.000000, 0.259513
us_000538366,1.000000, 0.273760
us_000488055,1.000000, 0.298474
us_000494220,1.000000, 0.304673
us_000505845,1.000000, 0.308056
us_000496889,1.000000, 0.308135
us_000498523,1.000000, 0.311461
us_000537431,1.000000, 0.325292
us_000499493,1.000000, 0.342955
us_000534469,1.000000, 0.370004
pr_000632668,0.982070, 0.000000
pr_001907797,0.982070, 0.000007
pr_001942710,0.982070, 0.000009
pr_002080749,0.982070, 0.000033
pr_000951484,0.982070, 0.000049
pr_001906025,0.982070, 0.000376
us_000482462,0.982070, 0.216008
us_000516111,0.982070, 0.224644
us_000502220,0.982070, 0.224644
us_000499663,0.982070, 0.231561
us_000501579,0.982070, 0.232744
us_000502716,0.982070, 0.235002
us_000494813,0.982070, 0.238744
us_000491466,0.982070, 0.239461
us_000487946,0.982070, 0.245535
us_000527685,0.982070, 0.245535
us_000484903,0.982070, 0.245535
us_000498171,0.982070, 0.273912
us_000497516,0.982070, 0.280450
us_000505596,0.982070, 0.282880
us_000499680,0.982070, 0.284945
us_000488669,0.982070, 0.287072
us_000471278,0.982070, 0.287102
us_000483558,0.982070, 0.293779
us_000489412,0.982070, 0.300527
us_000483736,0.982070, 0.300570
us_000501602,0.982070, 0.300570
us_000498455,0.982070, 0.307445
us_000571605,0.982070, 0.307445
us_000488674,0.982070, 0.307587
us_000479820,0.982070, 0.343837
us_000483701,0.982070, 0.358043
us_000497518,0.982070, 0.521146
us_000498456,0.982070, 0.741417
us_000484360,0.982070, 1.437425
pr_000818348,0.942517, 0.000000
pr_001149711,0.942517, 0.000000
pr_001710804,0.942517, 0.000000
pr_000856910,0.942517, 0.000000
pr_000089825,0.942517, 0.000000
us_000494379,0.942517, 0.000000
us_000536260,0.942517, 0.000000
us_000487097,0.942517, 0.000000
us_000521400,0.942517, 0.000013
us_000545532,0.942517, 0.000013
us_000500244,0.942517, 0.000013
us_000376839,0.942517, 0.000077
us_000484979,0.942517, 0.000143
us_000607117,0.942517, 0.000274
us_000615539,0.942517, 0.001710
us_000562191,0.942517, 0.002995
us_000543000,0.942517, 0.004344
us_000568689,0.942517, 0.005717
us_000563734,0.942517, 0.006547
us_000524835,0.942517, 0.006619
us_000611951,0.942517, 0.007078
us_000507943,0.942517, 0.007136
us_000478734,0.942517, 0.007519
us_000519936,0.942517, 0.009361
us_000593332,0.942517, 0.009726
us_000613350,0.942517, 0.011132
us_000559527,0.942517, 0.012383
us_000615605,0.942517, 0.012992
us_000583625,0.942517, 0.015076
us_000474841,0.942517, 0.015355
