Product ID : 2090 # of JPs covered : 1 : 380 : M&A-Structuring Deals, 
OID,Confidence at Map Node,Error at Map Node
us_000472338,1.000000, 0.000000
us_000471243,1.000000, 0.000000
us_000515758,1.000000, 0.000000
pr_000735974,1.000000, 0.000001
pr_002006777,1.000000, 0.000001
us_000525240,1.000000, 0.000001
us_000464409,1.000000, 0.000002
us_000539301,1.000000, 0.000002
us_000541449,1.000000, 0.000002
pr_000750203,1.000000, 0.000004
pr_001894874,1.000000, 0.000006
us_000537888,1.000000, 0.000009
pr_002066217,1.000000, 0.000014
us_000510426,1.000000, 0.000023
us_000518842,1.000000, 0.000030
pr_001963351,1.000000, 0.000036
pr_001930435,1.000000, 0.000036
us_000537897,1.000000, 0.000061
us_000537922,1.000000, 0.000061
pr_001884506,1.000000, 0.000087
us_000503686,1.000000, 0.000159
us_000519328,1.000000, 0.000248
us_000441576,1.000000, 0.000263
us_000508831,1.000000, 0.000349
us_000512067,1.000000, 0.000349
us_000508799,1.000000, 0.000349
pr_001021085,1.000000, 0.000371
us_000521577,1.000000, 0.000510
us_000550742,1.000000, 0.000547
pr_000791139,1.000000, 0.000562
pr_001089198,1.000000, 0.000562
pr_000822658,1.000000, 0.000562
pr_000744957,1.000000, 0.000610
us_000484930,1.000000, 0.000615
pr_000886452,1.000000, 0.000629
pr_000880013,1.000000, 0.000629
us_000463914,1.000000, 0.000642
pr_000274758,1.000000, 0.000660
us_000542656,1.000000, 0.000807
pr_000289167,1.000000, 0.000914
pr_001611410,1.000000, 0.000931
us_000466827,1.000000, 0.000948
us_000539375,1.000000, 0.000987
pr_000562899,1.000000, 0.001170
us_000467129,1.000000, 0.001461
us_000599052,1.000000, 0.002507
us_000509297,1.000000, 0.003076
us_000486085,1.000000, 0.003112
us_000520640,1.000000, 0.003294
us_000492918,1.000000, 0.003344
us_000543433,1.000000, 0.003416
pr_001018053,1.000000, 0.003455
us_000535835,1.000000, 0.003694
us_000537949,1.000000, 0.005143
