Product ID : 2097 # of JPs covered : 1 : 287 : Corp Law Operational, 
OID,Confidence at Map Node,Error at Map Node
us_000508106,1.000000, 0.029854
us_000550114,1.000000, 0.630670
us_000498686,1.000000, 0.650874
us_000532165,0.999009, 0.579936
us_000498827,0.999009, 0.698203
us_000533919,0.999009, 0.698203
us_000490461,0.999009, 0.723323
us_000498863,0.999009, 0.797638
us_000537246,0.999009, 0.836302
us_000550137,0.999009, 0.855401
us_000548928,0.999009, 0.855401
us_000521679,0.999009, 0.855401
us_000533536,0.999009, 0.855401
us_000499741,0.999009, 0.855401
us_000521687,0.999009, 0.855401
us_000533891,0.999009, 0.855401
us_000549933,0.999009, 0.855401
us_000533535,0.999009, 0.855401
us_000499739,0.999009, 0.855401
us_000500233,0.999009, 0.858531
us_000474052,0.999009, 0.866074
us_000471256,0.999009, 0.867611
us_000532643,0.999009, 0.873103
us_000521641,0.999009, 0.874908
us_000509089,0.999009, 0.874908
us_000532305,0.999009, 0.874908
us_000507725,0.999009, 0.874908
us_000533327,0.999009, 0.874908
us_000521005,0.999009, 0.874908
us_000507694,0.999009, 0.874908
us_000524194,0.999009, 0.874908
us_000521105,0.999009, 0.874908
us_000532264,0.999009, 0.874908
us_000533475,0.999009, 0.874908
us_000550277,0.999009, 0.874908
us_000507494,0.999009, 0.874908
us_000522103,0.999009, 0.874908
us_000533523,0.999009, 0.874908
us_000538221,0.999009, 0.874908
us_000538224,0.999009, 0.874908
us_000609834,0.999009, 0.874908
us_000497641,0.999009, 0.874908
us_000505574,0.999009, 0.875544
us_000498988,0.999009, 0.877845
us_000482905,0.999009, 0.878953
us_000532293,0.999009, 0.884384
us_000532307,0.999009, 0.892610
us_000531423,0.999009, 0.893723
us_000532915,0.999009, 0.898194
us_000585394,0.999009, 0.904682
us_000504991,0.999009, 0.907303
us_000551621,0.999009, 0.907401
us_000458618,0.999009, 0.911425
us_000500035,0.723015, 0.251463
us_000486955,0.723015, 0.281835
us_000494645,0.723015, 0.286789
us_000495396,0.723015, 0.290392
us_000493802,0.723015, 0.424815
us_000491153,0.723015, 0.429205
pr_001790791,0.575315, 0.000001
pr_000515888,0.575315, 0.000001
pr_000520101,0.575315, 0.000001
pr_001157207,0.575315, 0.000008
pr_000571027,0.575315, 0.000657
pr_000518725,0.575315, 0.001481
pr_000397727,0.575315, 0.001534
pr_001156027,0.575315, 0.001826
pr_001019868,0.575315, 0.001829
pr_000629364,0.575315, 0.002169
pr_000363750,0.575315, 0.002578
pr_000948119,0.575315, 0.002736
pr_001584490,0.575315, 0.002802
pr_001585124,0.575315, 0.002802
pr_000392069,0.575315, 0.002851
pr_001151282,0.575315, 0.003219
pr_000621461,0.575315, 0.003236
pr_000569277,0.575315, 0.003309
pr_001033847,0.575315, 0.003345
pr_000741900,0.575315, 0.003376
pr_000910370,0.575315, 0.003465
pr_000568561,0.575315, 0.004275
us_000499282,0.575315, 0.108410
us_000544801,0.575315, 0.126912
us_000501497,0.575315, 0.126912
us_000549873,0.575315, 0.126912
us_000536941,0.575315, 0.126912
us_000532501,0.575315, 0.126912
us_000499731,0.575315, 0.126912
us_000535375,0.575315, 0.126912
us_000532536,0.575315, 0.126912
us_000499935,0.575315, 0.126912
us_000561663,0.575315, 0.128358
us_000533911,0.575315, 0.136775
us_000536244,0.575315, 0.136775
us_000537807,0.575315, 0.136775
us_000522716,0.575315, 0.136775
us_000508682,0.575315, 0.136775
us_000499167,0.575315, 0.136775
us_000555507,0.575315, 0.136775
us_000476456,0.575315, 0.136775
us_000509752,0.575315, 0.136775
us_000537387,0.575315, 0.136775
us_000476741,0.575315, 0.136775
us_000555489,0.575315, 0.136775
us_000508458,0.575315, 0.136775
us_000532103,0.575315, 0.136775
us_000499097,0.575315, 0.138087
us_000504761,0.575315, 0.138181
us_000461056,0.575315, 0.140756
us_000500038,0.575315, 0.141695
us_000534198,0.575315, 0.145225
us_000524270,0.575315, 0.146230
us_000495367,0.575315, 0.186281
us_000478983,0.575315, 0.262018
us_000601777,0.303888, 0.000001
us_000525437,0.303888, 0.000001
us_000565386,0.303888, 0.000001
us_000540303,0.303888, 0.000001
us_000560842,0.303888, 0.000001
us_000515400,0.303888, 0.000001
us_000486641,0.303888, 0.010922
us_000487089,0.303888, 0.017428
us_000521727,0.150456, 0.000000
us_000601251,0.150456, 0.000000
us_000533963,0.150456, 0.000000
pr_000273516,0.150456, 0.000002
pr_000525713,0.150456, 0.000130
pr_000369524,0.150456, 0.000132
us_000533589,0.150456, 0.000195
us_000470600,0.150456, 0.008961
us_000521725,0.150456, 0.018418
