Product ID : 211 # of JPs covered : 1 : 214 : Insurance Litigation, 
OID,Confidence at Map Node,Error at Map Node
pr_000265264,1.000000, 0.000000
pr_000635699,1.000000, 0.000000
pr_000081620,1.000000, 0.000000
pr_000398520,1.000000, 0.000000
pr_000379477,1.000000, 0.000000
pr_000290643,1.000000, 0.000000
pr_000378647,1.000000, 0.000000
pr_000293036,1.000000, 0.000000
pr_000186191,1.000000, 0.000000
pr_001675138,1.000000, 0.000000
pr_000014465,1.000000, 0.000002
us_000587758,1.000000, 0.000011
us_000608319,1.000000, 0.000011
us_000600012,1.000000, 0.000011
us_000615873,1.000000, 0.000011
us_000590254,1.000000, 0.000011
us_000597471,1.000000, 0.000011
us_000584052,1.000000, 0.000011
us_000493655,1.000000, 0.000011
us_000615859,1.000000, 0.000011
us_000571562,1.000000, 0.000011
us_000592399,1.000000, 0.000011
us_000587445,1.000000, 0.000011
us_000582566,1.000000, 0.000011
us_000585560,1.000000, 0.000019
us_000584036,1.000000, 0.000019
us_000596887,1.000000, 0.000019
us_000548381,1.000000, 0.000019
us_000612349,1.000000, 0.000019
us_000579735,1.000000, 0.000019
us_000587796,1.000000, 0.000019
us_000569798,1.000000, 0.000019
us_000582798,1.000000, 0.000019
us_000614818,1.000000, 0.000019
us_000586018,1.000000, 0.000019
us_000579235,1.000000, 0.000039
us_000613604,1.000000, 0.000039
us_000614758,1.000000, 0.000039
us_000593243,1.000000, 0.000039
us_000615857,1.000000, 0.000039
us_000588842,1.000000, 0.000039
us_000572623,1.000000, 0.000129
us_000446563,1.000000, 0.524086
us_000589634,1.000000, 0.525537
us_000469601,1.000000, 0.545955
us_000469830,1.000000, 0.653083
us_000462091,1.000000, 0.720676
us_000045569,1.000000, 0.720676
us_000311996,1.000000, 0.728544
us_000532825,1.000000, 0.744635
us_000509285,1.000000, 0.787964
us_000583713,1.000000, 0.799013
us_000474442,1.000000, 0.804259
us_000330249,1.000000, 0.806356
us_000538064,1.000000, 0.810651
us_000476499,1.000000, 0.816214
us_000463491,1.000000, 0.818033
us_000545070,1.000000, 0.829111
us_000476443,1.000000, 0.831504
us_000328105,1.000000, 0.843725
us_000583309,1.000000, 0.852468
us_000520597,1.000000, 0.860881
us_000465759,1.000000, 0.870299
us_000329175,1.000000, 0.872058
us_000360210,1.000000, 0.873319
us_000563574,1.000000, 0.873418
us_000544717,1.000000, 0.873418
us_000569575,1.000000, 0.880902
us_000511978,1.000000, 0.884701
