Product ID : 2111 # of JPs covered : 1 : 190 : Accounting-Valuation Services, 
OID,Confidence at Map Node,Error at Map Node
pr_000608641,1.000000, 0.000306
us_000465833,1.000000, 0.002829
us_000593854,1.000000, 0.131275
us_000326069,1.000000, 0.330799
us_000320120,1.000000, 0.330799
us_000523250,1.000000, 0.348558
us_000461015,1.000000, 0.366862
us_000345943,1.000000, 0.376220
us_000471749,1.000000, 0.385714
us_000468027,1.000000, 0.385714
us_000361667,1.000000, 0.386547
us_000363195,1.000000, 0.417007
us_000313841,1.000000, 0.445546
us_000471908,1.000000, 0.477306
us_000459419,1.000000, 0.484132
us_000209452,1.000000, 0.487987
us_000468821,1.000000, 0.488166
us_000464092,1.000000, 0.488166
us_000468238,1.000000, 0.488166
us_000494229,1.000000, 0.488166
us_000469441,1.000000, 0.490130
us_000208763,1.000000, 0.493684
us_000471294,1.000000, 0.532971
us_000468857,1.000000, 0.544732
us_000471778,1.000000, 0.556194
us_000489291,1.000000, 0.564361
us_000466502,1.000000, 0.565602
us_000483293,1.000000, 0.566629
us_000482501,1.000000, 0.568010
us_000471827,1.000000, 0.569453
us_000466509,1.000000, 0.569469
us_000465185,1.000000, 0.569589
us_000472423,1.000000, 0.571364
us_000468782,1.000000, 0.571557
us_000142775,1.000000, 0.571770
us_000339054,1.000000, 0.571912
us_000481718,1.000000, 0.572236
us_000468341,1.000000, 0.572725
us_000468330,1.000000, 0.573159
us_000399976,1.000000, 0.575349
us_000493138,1.000000, 0.575351
us_000471209,1.000000, 0.575378
us_000264908,1.000000, 0.577628
us_000482487,1.000000, 0.577717
us_000466977,1.000000, 0.577717
us_000465152,1.000000, 0.578291
us_000338249,1.000000, 0.579963
us_000462168,1.000000, 0.579963
us_000468540,1.000000, 0.581210
us_000466678,1.000000, 0.581607
us_000440394,1.000000, 0.581679
us_000412266,1.000000, 0.581679
us_000461822,1.000000, 0.585418
us_000466705,1.000000, 0.585758
us_000523144,1.000000, 0.587265
us_000044466,1.000000, 0.589237
us_000472097,1.000000, 0.592052
us_000465325,1.000000, 0.592052
us_000308756,1.000000, 0.592052
us_000279925,1.000000, 0.592052
us_000485642,1.000000, 0.592052
us_000524538,1.000000, 0.592052
us_000463617,1.000000, 0.592052
us_000463575,1.000000, 0.592052
us_000465316,1.000000, 0.592052
us_000471320,1.000000, 0.592052
us_000462915,1.000000, 0.592052
us_000491529,1.000000, 0.592255
us_000232777,1.000000, 0.593395
us_000471486,1.000000, 0.593723
us_000244706,1.000000, 0.594647
us_000485102,1.000000, 0.597491
us_000463833,1.000000, 0.599720
us_000480815,1.000000, 0.600244
us_000471398,1.000000, 0.600244
us_000459305,1.000000, 0.600566
us_000038585,1.000000, 0.601510
us_000482050,1.000000, 0.602771
us_000186511,1.000000, 0.602771
us_000481565,1.000000, 0.604278
us_000464128,1.000000, 0.604278
us_000378860,1.000000, 0.604278
us_000485690,1.000000, 0.604278
us_000458710,1.000000, 0.604278
us_000469356,1.000000, 0.604278
us_000471202,1.000000, 0.604278
us_000524146,1.000000, 0.604278
us_000499499,1.000000, 0.604278
us_000148449,1.000000, 0.604278
us_000469256,1.000000, 0.604278
us_000235175,1.000000, 0.604278
us_000468167,1.000000, 0.604278
us_000469452,1.000000, 0.604278
us_000462988,1.000000, 0.604278
us_000482078,1.000000, 0.604278
us_000483168,1.000000, 0.604278
us_000518207,1.000000, 0.604278
us_000493140,1.000000, 0.604278
us_000471190,1.000000, 0.604278
us_000524221,1.000000, 0.604278
us_000463342,1.000000, 0.604278
us_000471802,1.000000, 0.604278
us_000469362,1.000000, 0.604278
us_000301301,1.000000, 0.604278
us_000468205,1.000000, 0.604278
us_000462267,1.000000, 0.604278
us_000464933,1.000000, 0.604278
us_000460607,1.000000, 0.604278
us_000482042,1.000000, 0.604278
us_000483382,1.000000, 0.604278
us_000469439,1.000000, 0.604278
us_000462966,1.000000, 0.604278
us_000523180,1.000000, 0.604278
us_000522818,1.000000, 0.604278
us_000463349,1.000000, 0.604278
us_000485689,1.000000, 0.604278
us_000482043,1.000000, 0.604278
us_000485691,1.000000, 0.604278
us_000459493,1.000000, 0.604278
us_000483403,1.000000, 0.604278
us_000459375,1.000000, 0.604278
us_000042706,1.000000, 0.604278
us_000481681,1.000000, 0.604278
us_000128037,1.000000, 0.604278
us_000471185,1.000000, 0.604278
us_000468550,1.000000, 0.604565
us_000047195,1.000000, 0.606470
us_000458591,1.000000, 0.616287
us_000466398,1.000000, 0.678838
us_000483111,1.000000, 0.688643
us_000501182,1.000000, 0.693684
us_000462931,1.000000, 0.693684
us_000482522,1.000000, 0.693684
us_000175298,1.000000, 0.693684
us_000493227,1.000000, 0.696700
us_000482308,1.000000, 0.698656
us_000059651,1.000000, 0.702900
us_000475474,1.000000, 0.705151
us_000500869,1.000000, 0.706185
us_000482164,1.000000, 0.707003
us_000371634,1.000000, 0.707290
us_000511413,1.000000, 0.708987
us_000473999,1.000000, 0.709222
us_000232479,1.000000, 0.710795
us_000475647,1.000000, 0.712213
us_000470926,1.000000, 0.716405
us_000465513,1.000000, 0.716405
us_000462918,1.000000, 0.716405
us_000420021,1.000000, 0.717720
us_000508338,1.000000, 0.719876
us_000014821,1.000000, 0.720458
us_000470847,1.000000, 0.720458
us_000471830,1.000000, 0.720458
us_000465310,1.000000, 0.720458
us_000468552,1.000000, 0.720458
us_000465413,1.000000, 0.720458
us_000470855,1.000000, 0.720458
us_000469829,1.000000, 0.724218
us_000502796,1.000000, 0.724243
us_000482144,1.000000, 0.727474
us_000469683,1.000000, 0.727740
us_000373666,1.000000, 0.728645
us_000470112,1.000000, 0.730017
us_000462047,1.000000, 0.734050
us_000500161,1.000000, 0.734050
us_000222622,1.000000, 0.734050
us_000467085,1.000000, 0.734050
us_000459409,1.000000, 0.734050
us_000482052,1.000000, 0.734050
us_000484148,1.000000, 0.734050
us_000494237,1.000000, 0.734050
us_000461959,1.000000, 0.734050
us_000469733,1.000000, 0.734050
us_000499990,1.000000, 0.734050
us_000459013,1.000000, 0.734050
us_000461329,1.000000, 0.734050
us_000188466,1.000000, 0.734050
us_000462023,1.000000, 0.734050
us_000470520,1.000000, 0.734050
us_000483463,1.000000, 0.734050
us_000246333,1.000000, 0.734050
us_000482145,1.000000, 0.734050
us_000468879,1.000000, 0.734050
