Product ID : 2142 # of JPs covered : 1 : 326 : Banking Lit-Consumer-Finance, 
OID,Confidence at Map Node,Error at Map Node
pr_000445459,1.000000, 0.000000
us_000474369,1.000000, 0.000001
us_000493601,1.000000, 0.000026
us_000507990,1.000000, 0.000026
us_000508354,1.000000, 0.000026
us_000494496,1.000000, 0.000026
pr_000243617,1.000000, 0.000124
us_000511416,1.000000, 0.000654
us_000494376,1.000000, 0.000989
us_000294245,1.000000, 0.016015
us_000523621,1.000000, 0.275249
us_000524235,1.000000, 0.291962
us_000502136,1.000000, 0.329066
us_000492289,1.000000, 0.341236
us_000475284,1.000000, 0.344068
us_000501960,1.000000, 0.364676
us_000496224,1.000000, 0.382530
us_000502135,1.000000, 0.395834
us_000494528,1.000000, 0.409509
us_000528162,1.000000, 0.410275
us_000501971,1.000000, 0.420876
us_000494534,1.000000, 0.427188
us_000522662,1.000000, 0.434763
us_000487075,1.000000, 0.448577
us_000493651,1.000000, 0.452464
us_000506357,1.000000, 0.472017
us_000545953,1.000000, 0.472017
us_000532586,1.000000, 0.473161
us_000502547,1.000000, 0.482065
us_000532339,1.000000, 0.486344
us_000522151,1.000000, 0.490067
us_000500803,1.000000, 0.493864
us_000478198,1.000000, 0.524513
us_000543780,1.000000, 0.525344
us_000536899,1.000000, 0.538672
us_000506981,1.000000, 0.547347
us_000523263,1.000000, 0.568413
us_000478944,1.000000, 0.585050
us_000502956,1.000000, 0.586929
us_000533474,1.000000, 0.589688
us_000502138,1.000000, 0.590544
us_000502137,1.000000, 0.594148
us_000485149,1.000000, 0.594668
us_000481308,1.000000, 0.595478
us_000523471,1.000000, 0.596965
us_000547490,1.000000, 0.598229
us_000547436,1.000000, 0.602745
us_000500467,1.000000, 0.612348
us_000514714,1.000000, 0.613984
us_000532914,1.000000, 0.613984
us_000502476,1.000000, 0.613984
us_000544521,1.000000, 0.614374
us_000479077,1.000000, 0.615743
us_000500773,1.000000, 0.618327
us_000476029,1.000000, 0.618995
us_000478452,1.000000, 0.619596
us_000490603,1.000000, 0.619992
us_000478450,1.000000, 0.665590
us_000549600,1.000000, 0.670701
us_000475689,1.000000, 0.671273
us_000465249,1.000000, 0.680517
us_000553906,1.000000, 0.682937
us_000536859,1.000000, 0.703623
us_000503982,1.000000, 0.711016
us_000520476,1.000000, 0.716154
us_000531103,1.000000, 0.729048
us_000547434,1.000000, 0.732652
