Product ID : 90 # of JPs covered : 1 : 215 : Accounting-Compilation & Review, 
OID,Confidence at Map Node,Error at Map Node
us_000546942,1.000000, 0.000000
pr_001612195,1.000000, 0.000002
pr_000382936,1.000000, 0.000053
pr_001147959,1.000000, 0.000076
pr_001611517,1.000000, 0.000111
pr_001148031,1.000000, 0.000111
pr_001613423,1.000000, 0.000111
pr_000628335,1.000000, 0.000122
pr_001146387,1.000000, 0.000157
pr_000384374,1.000000, 0.000162
pr_001001154,1.000000, 0.000168
pr_000990866,1.000000, 0.000171
pr_001599936,1.000000, 0.000192
pr_001623830,1.000000, 0.000193
pr_001149498,1.000000, 0.000196
pr_000914889,1.000000, 0.000207
pr_000362566,1.000000, 0.000236
pr_000656297,1.000000, 0.000250
pr_001673822,1.000000, 0.000250
pr_000375219,1.000000, 0.000264
pr_000371171,1.000000, 0.000265
pr_000518398,1.000000, 0.000346
pr_001146615,1.000000, 0.000357
pr_001156488,1.000000, 0.000378
pr_001147816,1.000000, 0.000772
pr_000370105,1.000000, 0.000774
pr_000910589,1.000000, 0.000849
pr_001068946,1.000000, 0.001744
us_000338566,1.000000, 0.354038
us_000459249,1.000000, 0.740877
us_000485528,1.000000, 0.758356
us_000057203,1.000000, 0.759889
us_000460286,1.000000, 0.776667
us_000010545,1.000000, 0.780062
us_000006135,1.000000, 0.788856
us_000023180,1.000000, 0.798432
us_000244290,1.000000, 0.839172
us_000251194,1.000000, 0.865271
us_000468437,1.000000, 0.866314
us_000017136,1.000000, 0.870509
us_000467749,1.000000, 0.877624
us_000464927,1.000000, 0.882554
us_000378951,1.000000, 0.885088
us_000013466,1.000000, 0.885302
us_000383137,1.000000, 0.935795
us_000334068,1.000000, 0.948709
us_000479064,1.000000, 0.957515
us_000211533,1.000000, 0.957515
us_000468953,1.000000, 0.969578
us_000467987,1.000000, 0.989104
us_000492669,1.000000, 1.003645
us_000263205,1.000000, 1.013305
us_000483097,1.000000, 1.014603
us_000469216,1.000000, 1.026393
us_000468577,1.000000, 1.045000
us_000488430,1.000000, 1.058891
us_000417328,1.000000, 1.061650
us_000468031,1.000000, 1.100551
us_000226708,1.000000, 1.131648
us_000468593,1.000000, 1.134178
us_000464483,1.000000, 1.140959
us_000465053,1.000000, 1.141341
us_000484207,1.000000, 1.150295
us_000224064,1.000000, 1.155048
us_000469329,1.000000, 1.189115
us_000492670,1.000000, 1.189115
us_000468809,1.000000, 1.189115
us_000466967,1.000000, 1.189820
us_000481515,1.000000, 1.198277
us_000468804,0.998177, 0.000005
us_000565672,0.998177, 0.000005
us_000507144,0.998177, 0.000039
us_000553141,0.998177, 0.000051
us_000549659,0.998177, 0.000051
us_000460690,0.998177, 0.000051
us_000488117,0.998177, 0.000145
us_000493216,0.998177, 0.000146
us_000580178,0.998177, 0.000146
us_000493008,0.998177, 0.008330
us_000468468,0.998177, 0.608848
us_000460338,0.998177, 0.628627
us_000464830,0.998177, 0.668720
us_000481528,0.998177, 0.679727
us_000464341,0.998177, 0.683474
us_000469127,0.998177, 0.745144
us_000317029,0.998177, 0.746590
us_000538097,0.998177, 0.803368
us_000501070,0.998177, 0.804404
us_000468518,0.998177, 0.823263
us_000539633,0.998177, 0.841846
us_000546974,0.998177, 0.861728
us_000464689,0.998177, 0.863248
us_000501065,0.998177, 0.868996
us_000531030,0.998177, 0.889964
us_000592928,0.998177, 0.893396
us_000525646,0.998177, 0.896110
us_000501416,0.998177, 0.900797
us_000516891,0.998177, 0.920062
us_000461651,0.998177, 0.950499
us_000517286,0.998177, 1.057276
us_000561899,0.998177, 1.113897
us_000577588,0.914582, 0.000000
us_000525372,0.914582, 0.000000
us_000517148,0.914582, 0.000000
us_000544969,0.914582, 0.000000
us_000577584,0.914582, 0.000000
us_000544258,0.914582, 0.000000
us_000546707,0.914582, 0.000000
us_000540549,0.914582, 0.000000
us_000478272,0.914582, 0.000001
us_000468619,0.914582, 0.000001
us_000526763,0.914582, 0.000001
us_000565687,0.914582, 0.000001
us_000544393,0.914582, 0.000001
us_000614921,0.914582, 0.000001
us_000536677,0.914582, 0.000001
us_000589956,0.914582, 0.000001
us_000577015,0.914582, 0.000001
us_000562026,0.914582, 0.000001
us_000484770,0.914582, 0.000001
us_000580657,0.914582, 0.000001
us_000604936,0.914582, 0.000001
us_000525136,0.914582, 0.000049
us_000485806,0.914582, 0.000067
us_000473897,0.914582, 0.000076
us_000470045,0.914582, 0.000077
us_000527481,0.914582, 0.000136
us_000539771,0.914582, 0.000146
us_000464566,0.914582, 0.000445
us_000322455,0.914582, 0.000488
us_000290244,0.914582, 0.000739
us_000459019,0.914582, 0.001075
us_000468698,0.914582, 0.001174
us_000511194,0.914582, 0.003687
us_000291223,0.914582, 0.004680
us_000532750,0.914582, 0.004905
us_000563088,0.914582, 0.005083
us_000581471,0.914582, 0.007363
us_000460549,0.914582, 0.018780
us_000513470,0.914582, 0.036922
us_000514588,0.914582, 0.095318
us_000589147,0.914582, 0.130133
us_000459124,0.914582, 0.476026
us_000537711,0.914582, 0.540469
us_000530797,0.914582, 0.572391
us_000203216,0.914582, 0.586535
us_000475025,0.914582, 0.590654
us_000464011,0.914582, 0.626818
us_000487680,0.914582, 0.665495
us_000492036,0.914582, 0.685867
us_000204953,0.914582, 0.731921
us_000603806,0.914582, 0.743422
us_000473078,0.914582, 0.763503
us_000473080,0.914582, 0.781799
us_000469328,0.914582, 0.784924
us_000500943,0.914582, 0.787689
us_000523558,0.914582, 0.791437
us_000606973,0.914582, 0.804666
us_000277326,0.914582, 0.805428
us_000493198,0.914582, 0.823179
us_000595110,0.914582, 0.828444
us_000531413,0.914582, 0.835840
us_000510206,0.914582, 0.850263
us_000493062,0.914582, 0.878983
us_000510550,0.914582, 0.881602
us_000492693,0.914582, 0.923875
us_000462461,0.914582, 0.927527
us_000501747,0.914582, 0.937082
us_000501022,0.914582, 0.937082
us_000462016,0.914582, 0.939979
us_000563991,0.914582, 0.953887
us_000470753,0.914582, 0.966614
us_000564602,0.914582, 0.968642
us_000470900,0.914582, 0.975049
us_000492129,0.914582, 0.976057
us_000472884,0.914582, 0.985014
us_000539592,0.914582, 0.989449
pr_001157907,0.521280, 0.000000
pr_000623133,0.521280, 0.000000
pr_000818609,0.521280, 0.000000
pr_001611626,0.521280, 0.000000
pr_001146204,0.521280, 0.000000
us_000461533,0.521280, 0.000001
pr_000371973,0.521280, 0.000001
pr_001149472,0.521280, 0.000056
pr_000507526,0.521280, 0.000244
pr_001148728,0.521280, 0.000291
pr_001034233,0.521280, 0.000346
pr_000817839,0.521280, 0.000382
pr_001033395,0.521280, 0.000393
pr_001684964,0.521280, 0.000435
pr_000617992,0.521280, 0.000463
pr_000825903,0.521280, 0.000472
pr_001025422,0.521280, 0.000541
pr_000626928,0.521280, 0.000583
pr_000911844,0.521280, 0.000713
pr_001146865,0.521280, 0.001168
us_000241174,0.521280, 0.005316
us_000482084,0.521280, 0.017914
us_000469407,0.521280, 0.018461
us_000482031,0.521280, 0.023791
us_000323666,0.521280, 0.031343
us_000387611,0.521280, 0.041674
us_000338315,0.521280, 0.049676
us_000485746,0.521280, 0.063536
us_000294561,0.521280, 0.080616
us_000468676,0.521280, 0.081928
us_000462184,0.521280, 0.097395
us_000463714,0.521280, 0.098750
us_000471699,0.521280, 0.111910
us_000286602,0.521280, 0.126112
us_000524567,0.521280, 0.156501
us_000605046,0.521280, 0.170748
us_000461824,0.521280, 0.171337
us_000471062,0.521280, 0.171337
us_000556567,0.521280, 0.172649
us_000497236,0.521280, 0.176686
us_000469223,0.521280, 0.178096
us_000538942,0.521280, 0.180191
us_000539839,0.521280, 0.184845
us_000523415,0.521280, 0.190336
us_000476593,0.521280, 0.190336
us_000469285,0.521280, 0.190336
us_000468001,0.521280, 0.190336
us_000469284,0.521280, 0.190336
us_000469142,0.521280, 0.190336
us_000469203,0.521280, 0.190336
us_000458509,0.521280, 0.190336
us_000503416,0.521280, 0.190336
us_000468798,0.521280, 0.190336
us_000469286,0.521280, 0.190336
pr_000631700,0.521280, 0.190962
us_000570305,0.521280, 0.222974
us_000027958,0.521280, 0.244226
us_000217766,0.521280, 0.369284
us_000481593,0.521280, 0.382784
us_000523247,0.521280, 1.140311
pr_001088075,0.479360, 0.000003
pr_000372592,0.479360, 0.000007
pr_000617535,0.479360, 0.000007
pr_000825685,0.479360, 0.000007
pr_001151222,0.479360, 0.000007
pr_000694877,0.479360, 0.000007
pr_001702760,0.479360, 0.000007
pr_001715289,0.479360, 0.000007
pr_001623360,0.479360, 0.000007
pr_000373147,0.479360, 0.000007
pr_001048171,0.479360, 0.000007
pr_001645656,0.479360, 0.000007
pr_000642289,0.479360, 0.000026
us_000477991,0.479360, 0.000555
us_000472762,0.479360, 0.012891
us_000473175,0.479360, 0.056173
us_000460361,0.479360, 0.108430
pr_000514026,0.479360, 0.152063
pr_001101589,0.479360, 0.221197
pr_001400294,0.407407, 0.000004
pr_000374404,0.407407, 0.000011
