Product ID : 929 # of JPs covered : 1 : 85 : Employment, 
OID,Confidence at Map Node,Error at Map Node
us_000500082,1.000000, 0.000000
us_000542064,1.000000, 0.000000
us_000562339,1.000000, 0.001302
us_000516803,1.000000, 0.003123
us_000568529,0.378254, 0.000000
us_000482838,0.378254, 0.000000
us_000469194,0.378254, 0.000000
us_000564278,0.378254, 0.000000
us_000478979,0.378254, 0.000000
us_000552054,0.378254, 0.000000
us_000496870,0.378254, 0.000000
us_000524981,0.378254, 0.000000
us_000566039,0.378254, 0.000000
us_000552280,0.378254, 0.000001
us_000511837,0.378254, 0.000001
us_000505889,0.378254, 0.000001
us_000510156,0.378254, 0.000001
us_000518379,0.378254, 0.000001
us_000498338,0.378254, 0.000009
us_000474057,0.378254, 0.000010
us_000512260,0.378254, 0.000010
us_000559551,0.378254, 0.000010
us_000560852,0.378254, 0.000010
us_000548063,0.378254, 0.000010
us_000518822,0.378254, 0.000010
us_000582284,0.378254, 0.000012
us_000612180,0.378254, 0.000012
us_000505149,0.378254, 0.000014
us_000549977,0.378254, 0.000014
us_000567312,0.378254, 0.000014
us_000555747,0.378254, 0.000014
us_000523549,0.378254, 0.000014
us_000496939,0.378254, 0.000014
us_000570312,0.378254, 0.000014
us_000560898,0.378254, 0.000014
us_000538335,0.378254, 0.000014
us_000498183,0.378254, 0.000014
us_000569415,0.378254, 0.000014
us_000568110,0.378254, 0.000014
us_000516424,0.378254, 0.000014
us_000515835,0.378254, 0.000014
us_000497744,0.378254, 0.000014
us_000568052,0.378254, 0.000014
us_000594846,0.378254, 0.000014
us_000525355,0.378254, 0.000014
us_000491645,0.378254, 0.000019
us_000461402,0.378254, 0.000025
us_000557389,0.378254, 0.000027
us_000474346,0.378254, 0.000031
us_000548803,0.378254, 0.000035
us_000516830,0.378254, 0.000035
us_000537401,0.378254, 0.000036
us_000520134,0.378254, 0.000043
us_000548775,0.378254, 0.000043
us_000474810,0.378254, 0.000067
us_000599222,0.378254, 0.000071
us_000488026,0.378254, 0.000073
us_000512481,0.378254, 0.000081
us_000466117,0.378254, 0.000085
us_000589363,0.378254, 0.000091
us_000569799,0.378254, 0.000178
us_000511361,0.378254, 0.000462
us_000469263,0.378254, 0.000487
us_000537157,0.378254, 0.000533
us_000556753,0.378254, 0.000801
pr_001974037,0.378254, 0.001370
pr_000741121,0.378254, 0.001370
pr_000600429,0.378254, 0.001370
us_000537745,0.378254, 0.001480
us_000566709,0.378254, 0.001480
us_000484606,0.378254, 0.001562
us_000537140,0.378254, 0.001608
us_000548736,0.378254, 0.001741
us_000050834,0.378254, 0.001868
us_000470234,0.378254, 0.002059
pr_001928879,0.378254, 0.002425
us_000566937,0.378254, 0.002583
us_000575920,0.378254, 0.003585
us_000572622,0.378254, 0.004814
us_000573827,0.378254, 0.004881
us_000599247,0.378254, 0.006473
us_000470950,0.378254, 0.075243
us_000529327,0.378254, 0.097868
us_000202119,0.378254, 0.132640
us_000471928,0.378254, 1.561923
us_000467527,0.378254, 2.246314
us_000470333,0.378254, 2.385781
us_000471402,0.378254, 2.481579
us_000468354,0.378254, 2.504752
us_000468517,0.378254, 2.526454
us_000468395,0.378254, 2.536890
us_000471233,0.378254, 2.584732
us_000470799,0.378254, 2.585885
us_000470800,0.378254, 2.625312
us_000468163,0.378254, 2.662053
us_000470147,0.378254, 2.703511
us_000471050,0.378254, 2.714867
us_000469229,0.378254, 2.774222
us_000470871,0.378254, 2.797317
us_000468288,0.378254, 2.802542
us_000468388,0.378254, 2.815550
us_000471992,0.378254, 2.854582
us_000468327,0.378254, 2.883763
us_000471011,0.378254, 3.076372
us_000469188,0.378254, 3.079023
us_000485824,0.292143, 0.000000
us_000552841,0.292143, 0.000000
us_000491340,0.292143, 0.000000
us_000514913,0.292143, 0.000000
us_000488717,0.292143, 0.000000
us_000533683,0.292143, 0.000000
us_000542562,0.292143, 0.000000
us_000554157,0.292143, 0.000000
pr_000868327,0.292143, 0.000000
pr_002229727,0.292143, 0.000000
pr_000991174,0.292143, 0.000000
pr_000874534,0.292143, 0.000000
pr_000896183,0.292143, 0.000000
pr_000982748,0.292143, 0.000000
pr_000868328,0.292143, 0.000000
pr_000434489,0.292143, 0.000000
pr_000991735,0.292143, 0.000000
pr_000846510,0.292143, 0.000000
pr_000963371,0.292143, 0.000000
pr_000188845,0.292143, 0.000000
pr_001717175,0.292143, 0.000000
pr_001078957,0.292143, 0.000000
pr_000835268,0.292143, 0.000000
pr_001724598,0.292143, 0.000000
pr_000348138,0.292143, 0.000000
pr_001716236,0.292143, 0.000000
pr_000407428,0.292143, 0.000000
us_000504799,0.292143, 0.000002
pr_000894557,0.292143, 0.000004
pr_000407686,0.292143, 0.000004
pr_002164758,0.292143, 0.000004
pr_001405565,0.292143, 0.000008
pr_001402794,0.292143, 0.000012
pr_002094058,0.292143, 0.000319
us_000467452,0.292143, 4.203446
pr_001092849,0.167202, 0.000000
pr_001658907,0.167202, 0.000000
us_000495998,0.167202, 0.000000
pr_000736744,0.167202, 0.000001
us_000604512,0.167202, 0.000001
us_000588714,0.167202, 0.000001
pr_001685121,0.167202, 0.000009
pr_001007686,0.167202, 0.000009
pr_000916209,0.167202, 0.000009
pr_001634397,0.167202, 0.000009
us_000611973,0.167202, 0.000010
pr_001017581,0.167202, 0.000020
pr_001695370,0.167202, 0.000021
pr_001089209,0.167202, 0.000023
pr_001627159,0.167202, 0.000025
pr_001766956,0.167202, 0.000026
pr_001013179,0.167202, 0.000026
pr_001680195,0.167202, 0.000032
pr_001686659,0.167202, 0.000034
pr_000889099,0.167202, 0.000034
pr_001689621,0.167202, 0.000034
pr_000954001,0.167202, 0.000037
pr_000880189,0.167202, 0.000037
pr_001819207,0.167202, 0.000037
pr_001001107,0.167202, 0.000037
pr_001023045,0.167202, 0.000053
pr_000909204,0.167202, 0.000055
pr_001412642,0.167202, 0.000080
pr_001688926,0.167202, 0.000080
pr_001654907,0.167202, 0.000096
pr_000898963,0.167202, 0.000108
pr_001626795,0.167202, 0.000119
pr_000973990,0.167202, 0.000120
pr_001014364,0.167202, 0.000120
pr_001024939,0.167202, 0.000120
pr_001023264,0.167202, 0.000120
pr_000941061,0.167202, 0.000139
pr_001694087,0.167202, 0.000169
pr_000347362,0.167202, 0.000209
pr_001680351,0.167202, 0.000215
