Product ID : 958 # of JPs covered : 1 : 69 : Class Action, 
OID,Confidence at Map Node,Error at Map Node
pr_000249973,1.000000, 0.000000
pr_000429493,1.000000, 0.000000
pr_001899278,1.000000, 0.000001
pr_000434096,1.000000, 0.000002
pr_000106359,1.000000, 0.000004
pr_000691730,1.000000, 0.000017
pr_000419023,1.000000, 0.000018
pr_000020274,1.000000, 0.000028
us_000471472,1.000000, 0.000036
pr_000936255,1.000000, 0.000049
pr_000434361,1.000000, 0.000051
pr_000079016,1.000000, 0.001073
us_000520171,1.000000, 0.002417
us_000547124,1.000000, 0.002428
us_000581992,1.000000, 0.002694
us_000472542,1.000000, 0.003185
us_000500063,1.000000, 0.003519
us_000542661,1.000000, 0.003984
us_000532464,1.000000, 0.006148
us_000090894,1.000000, 0.013274
us_000500087,1.000000, 0.017792
us_000346515,1.000000, 1.424634
us_000028432,1.000000, 2.551309
us_000493426,1.000000, 2.907660
us_000504184,1.000000, 2.942783
us_000493345,1.000000, 2.997959
us_000504265,1.000000, 3.241806
us_000458958,1.000000, 3.294319
us_000471957,1.000000, 3.307490
us_000470993,1.000000, 3.482639
us_000472388,1.000000, 3.516957
us_000468013,1.000000, 3.540037
us_000472349,1.000000, 3.564923
us_000473115,1.000000, 3.581062
us_000534517,1.000000, 3.612460
us_000472990,1.000000, 3.706937
us_000528825,1.000000, 3.716851
us_000527270,1.000000, 3.723246
us_000496290,1.000000, 3.733510
us_000534472,1.000000, 3.807944
us_000471150,1.000000, 4.029566
pr_000357042,0.998980, 0.000000
pr_000757234,0.998980, 0.000000
pr_001639462,0.998980, 0.000029
pr_001036566,0.998980, 0.000041
us_000597787,0.998980, 0.000098
us_000551361,0.998980, 0.000120
us_000474102,0.998980, 0.000206
us_000485804,0.998980, 0.000214
us_000582552,0.998980, 0.000286
us_000493214,0.998980, 0.000295
us_000557344,0.998980, 0.000413
us_000557886,0.998980, 0.000704
us_000573558,0.998980, 0.000785
us_000613209,0.998980, 0.000814
us_000588650,0.998980, 0.000928
us_000495386,0.998980, 0.000950
us_000495387,0.998980, 0.000950
us_000601574,0.998980, 0.001722
us_000563070,0.998980, 0.003282
us_000559729,0.998980, 0.004361
us_000572992,0.998980, 0.004546
us_000534962,0.998980, 0.005410
us_000584929,0.998980, 0.014031
us_000494040,0.998980, 0.017257
us_000550513,0.998980, 0.017521
us_000511983,0.998980, 0.027233
us_000546058,0.998980, 0.032636
us_000514620,0.998980, 0.038265
us_000360384,0.998980, 2.774311
us_000360429,0.998980, 3.167664
us_000365906,0.998980, 3.224485
us_000527575,0.998980, 3.341788
us_000363533,0.998980, 3.429086
us_000530358,0.998980, 3.555881
pr_001025396,0.989176, 0.000000
pr_000186936,0.989176, 0.000000
pr_001039340,0.989176, 0.000000
pr_001722511,0.989176, 0.000000
pr_001728898,0.989176, 0.000000
pr_001404627,0.989176, 0.000000
pr_000640742,0.989176, 0.000000
pr_000608590,0.989176, 0.000000
pr_000407793,0.989176, 0.000000
pr_000990641,0.989176, 0.000000
pr_000127746,0.989176, 0.000000
pr_001407736,0.989176, 0.000000
pr_001724090,0.989176, 0.000000
pr_001032801,0.989176, 0.000000
pr_000934857,0.989176, 0.000000
pr_000083983,0.989176, 0.000000
pr_001062230,0.989176, 0.000000
pr_001001071,0.989176, 0.000000
pr_000750275,0.989176, 0.000000
us_000565204,0.989176, 0.000000
us_000519697,0.989176, 0.000000
us_000533999,0.989176, 0.000000
pr_001079008,0.989176, 0.000001
pr_000585126,0.989176, 0.000001
us_000480738,0.989176, 0.000007
us_000528254,0.989176, 0.000023
us_000466934,0.989176, 0.000026
us_000558261,0.989176, 0.000040
us_000526292,0.989176, 0.000043
us_000539467,0.989176, 0.000043
us_000525559,0.989176, 0.000043
us_000576802,0.989176, 0.000058
us_000611482,0.989176, 0.000064
pr_001030138,0.989176, 0.000084
pr_001014111,0.989176, 0.000084
us_000552453,0.989176, 0.000097
pr_000857328,0.989176, 0.000125
pr_001079906,0.989176, 0.000141
pr_001037844,0.989176, 0.000145
pr_000639267,0.989176, 0.000180
pr_000637475,0.989176, 0.000189
