Prospect OID,Prospect BMU Dist,<these prospects have no product mappings among specified products>
pr_001668478,0.057015,No Mappings With Chosen Products
pr_000785895,0.012851,No Mappings With Chosen Products
pr_001203885,0.025845,No Mappings With Chosen Products
us_000538539,0.057576,No Mappings With Chosen Products
us_000496351,0.109693,No Mappings With Chosen Products
pr_001309971,0.000467,No Mappings With Chosen Products
pr_001139554,0.068378,No Mappings With Chosen Products
pr_001217117,1.005817,No Mappings With Chosen Products
pr_000813083,0.006580,No Mappings With Chosen Products
pr_001253527,0.000467,No Mappings With Chosen Products
us_000516831,0.013800,No Mappings With Chosen Products
pr_001712822,0.006844,No Mappings With Chosen Products
pr_001010104,0.006580,No Mappings With Chosen Products
pr_001232864,1.004961,No Mappings With Chosen Products
us_000505534,0.138538,No Mappings With Chosen Products
pr_001466092,0.002514,No Mappings With Chosen Products
pr_001197999,0.000467,No Mappings With Chosen Products
pr_001658545,0.057297,No Mappings With Chosen Products
pr_001568955,0.000078,No Mappings With Chosen Products
pr_001307697,0.000467,No Mappings With Chosen Products
pr_000404264,0.006580,No Mappings With Chosen Products
pr_000218801,0.021554,No Mappings With Chosen Products
pr_001167539,0.007303,No Mappings With Chosen Products
pr_000906135,0.000595,No Mappings With Chosen Products
pr_000981553,0.006743,No Mappings With Chosen Products
pr_001377997,0.002504,No Mappings With Chosen Products
us_000564730,0.010965,No Mappings With Chosen Products
pr_000896404,0.006580,No Mappings With Chosen Products
pr_001052959,0.032434,No Mappings With Chosen Products
pr_001496472,0.000467,No Mappings With Chosen Products
us_000484581,0.306194,No Mappings With Chosen Products
pr_000843235,0.006560,No Mappings With Chosen Products
pr_001234744,0.000467,No Mappings With Chosen Products
us_000560581,0.228742,No Mappings With Chosen Products
us_000610142,0.010373,No Mappings With Chosen Products
us_000547159,1.012243,No Mappings With Chosen Products
pr_001593065,0.006580,No Mappings With Chosen Products
pr_000789479,0.007990,No Mappings With Chosen Products
pr_001600826,0.009340,No Mappings With Chosen Products
us_000198539,0.636201,No Mappings With Chosen Products
pr_001075903,0.007303,No Mappings With Chosen Products
pr_000669390,0.013149,No Mappings With Chosen Products
pr_001215967,0.000467,No Mappings With Chosen Products
us_000593168,0.261417,No Mappings With Chosen Products
pr_000161100,0.012345,No Mappings With Chosen Products
pr_001064893,0.006704,No Mappings With Chosen Products
us_000462986,0.025168,No Mappings With Chosen Products
pr_000818862,0.006627,No Mappings With Chosen Products
pr_000434914,0.014429,No Mappings With Chosen Products
pr_000361972,0.006580,No Mappings With Chosen Products
pr_000769349,0.006342,No Mappings With Chosen Products
pr_001109894,0.000539,No Mappings With Chosen Products
pr_001168602,0.000467,No Mappings With Chosen Products
pr_000963321,0.006580,No Mappings With Chosen Products
pr_000938120,0.009444,No Mappings With Chosen Products
pr_000951398,0.032994,No Mappings With Chosen Products
pr_000659228,0.006731,No Mappings With Chosen Products
pr_001202225,0.000472,No Mappings With Chosen Products
us_000493978,0.016594,No Mappings With Chosen Products
us_000521527,0.102668,No Mappings With Chosen Products
us_000471937,0.015300,No Mappings With Chosen Products
pr_000006313,0.006961,No Mappings With Chosen Products
pr_000231193,0.021301,No Mappings With Chosen Products
pr_000596967,0.005793,No Mappings With Chosen Products
us_000497675,0.008586,No Mappings With Chosen Products
pr_002151303,0.005946,No Mappings With Chosen Products
us_000597658,0.007645,No Mappings With Chosen Products
pr_001847131,0.007136,No Mappings With Chosen Products
us_000470158,0.018217,No Mappings With Chosen Products
us_000399387,0.021202,No Mappings With Chosen Products
pr_000770775,0.007261,No Mappings With Chosen Products
us_000578358,0.130130,No Mappings With Chosen Products
us_000538636,0.037490,No Mappings With Chosen Products
us_000498301,0.051280,No Mappings With Chosen Products
us_000532843,0.010461,No Mappings With Chosen Products
us_000565219,0.050035,No Mappings With Chosen Products
pr_000678600,0.005793,No Mappings With Chosen Products
pr_001354476,1.005708,No Mappings With Chosen Products
us_000472728,0.013369,No Mappings With Chosen Products
pr_000557089,0.006580,No Mappings With Chosen Products
pr_001351313,0.005024,No Mappings With Chosen Products
pr_000139859,0.006580,No Mappings With Chosen Products
pr_000608139,0.006943,No Mappings With Chosen Products
pr_000610995,0.014171,No Mappings With Chosen Products
pr_001431784,0.001533,No Mappings With Chosen Products
us_000593778,0.188311,No Mappings With Chosen Products
pr_001273223,0.000467,No Mappings With Chosen Products
pr_000868064,0.015699,No Mappings With Chosen Products
pr_001310987,0.000467,No Mappings With Chosen Products
pr_001235310,1.006046,No Mappings With Chosen Products
pr_000740558,0.006435,No Mappings With Chosen Products
pr_002055718,0.079504,No Mappings With Chosen Products
pr_000938835,0.022498,No Mappings With Chosen Products
pr_001320083,0.004859,No Mappings With Chosen Products
us_000530932,0.041092,No Mappings With Chosen Products
us_000492150,0.107771,No Mappings With Chosen Products
pr_001308242,1.005288,No Mappings With Chosen Products
us_000585442,0.090610,No Mappings With Chosen Products
us_000475360,0.020772,No Mappings With Chosen Products
pr_001793345,0.007218,No Mappings With Chosen Products
pr_001085773,0.006580,No Mappings With Chosen Products
pr_000174679,0.005793,No Mappings With Chosen Products
us_000570479,0.014319,No Mappings With Chosen Products
pr_000660831,0.021301,No Mappings With Chosen Products
pr_001927474,0.006941,No Mappings With Chosen Products
pr_001356425,0.005223,No Mappings With Chosen Products
pr_001885030,0.006809,No Mappings With Chosen Products
pr_000917920,0.005651,No Mappings With Chosen Products
us_000553089,0.007597,No Mappings With Chosen Products
pr_000607658,0.006677,No Mappings With Chosen Products
us_000593655,0.034215,No Mappings With Chosen Products
us_000579257,0.282193,No Mappings With Chosen Products
pr_000015323,0.006637,No Mappings With Chosen Products
us_000470599,0.180230,No Mappings With Chosen Products
pr_000789334,0.006731,No Mappings With Chosen Products
pr_001235176,0.000103,No Mappings With Chosen Products
pr_001932210,0.019696,No Mappings With Chosen Products
us_000578293,0.076440,No Mappings With Chosen Products
pr_000708915,0.007002,No Mappings With Chosen Products
pr_000879864,0.005985,No Mappings With Chosen Products
pr_000885847,0.018820,No Mappings With Chosen Products
us_000565355,0.014458,No Mappings With Chosen Products
