Product ID : 7800 # of JPs covered : 1 : 90 : Environmental/Natural Resources, 
OID,Confidence at Map Node,Error at Map Node
us_000545209,1.000000,0.000000
pr_000296288,1.000000,0.000084
pr_000771918,1.000000,0.000086
pr_000879523,1.000000,0.000092
pr_000844194,1.000000,0.000092
pr_000824454,1.000000,0.000092
pr_000815925,1.000000,0.000092
pr_000665662,1.000000,0.000092
pr_001133161,1.000000,0.000298
pr_000226804,1.000000,0.000346
pr_000843405,1.000000,0.000402
pr_001089411,1.000000,0.000464
pr_000864895,1.000000,0.000536
pr_000756435,1.000000,0.000552
pr_000772284,1.000000,0.000552
pr_001596888,1.000000,0.000611
pr_000299469,1.000000,0.000613
pr_000887721,1.000000,0.000644
pr_000761302,1.000000,0.000730
pr_001135006,1.000000,0.000839
pr_000860817,1.000000,0.000929
pr_000838436,1.000000,0.001008
pr_000579249,1.000000,0.001107
pr_000597043,1.000000,0.001107
pr_000531286,1.000000,0.001107
pr_000595472,1.000000,0.001107
pr_000597534,1.000000,0.001107
pr_000996016,1.000000,0.001357
pr_000168608,1.000000,0.001551
pr_000552901,1.000000,0.001551
pr_000277884,1.000000,0.001581
pr_000657817,1.000000,0.001582
pr_000834935,1.000000,0.001896
pr_000883174,1.000000,0.002107
us_000487453,1.000000,0.002247
pr_000324603,1.000000,0.002282
pr_000864981,1.000000,0.002654
pr_001032117,1.000000,0.002710
pr_001646594,1.000000,0.003289
pr_001415946,1.000000,0.003294
pr_002155725,1.000000,0.003294
pr_001600744,1.000000,0.003294
pr_001006705,1.000000,0.003327
pr_001413532,1.000000,0.003581
pr_000818309,1.000000,0.004262
pr_001588615,1.000000,0.005020
pr_001410819,1.000000,0.005093
us_000218926,1.000000,0.005129
pr_001082066,1.000000,0.005318
pr_001405063,1.000000,0.005373
us_000520642,1.000000,0.005854
pr_001594675,1.000000,0.005946
pr_000512463,1.000000,0.006442
pr_000165053,1.000000,0.006491
pr_000167293,1.000000,0.006491
us_000102263,1.000000,0.007235
pr_000904345,1.000000,0.007774
