Product ID : 7842 # of JPs covered : 1 : 435 : Tax Prep-Pass-Through-Planning, 
OID,Confidence at Map Node,Error at Map Node
us_000585470,1.000000,2.878513
pr_001192546,0.994073,0.000000
pr_001280906,0.994073,0.000000
pr_002121424,0.994073,0.000000
pr_001885061,0.994073,0.000000
pr_001254618,0.994073,0.000000
pr_001796159,0.994073,0.000000
pr_001494409,0.994073,0.000000
pr_001785178,0.994073,0.000000
pr_001373685,0.994073,0.000000
pr_002006101,0.994073,0.000000
pr_002250011,0.994073,0.000000
pr_001204543,0.994073,0.000000
pr_001209007,0.994073,0.000000
pr_001356587,0.994073,0.000000
pr_001211440,0.994073,0.000000
pr_001259270,0.994073,0.000000
pr_001336863,0.994073,0.000000
pr_001275428,0.994073,0.000000
pr_001208363,0.994073,0.000000
pr_001892734,0.994073,0.000000
pr_001384874,0.994073,0.000000
pr_001894180,0.994073,0.000000
pr_000923390,0.994073,0.000000
pr_001775085,0.994073,0.000000
pr_001274602,0.994073,0.000000
pr_001282669,0.994073,0.000000
pr_001279289,0.994073,0.000000
pr_001277929,0.994073,0.000000
pr_001968881,0.994073,0.000000
us_000613150,0.994073,0.000000
us_000613590,0.994073,0.000001
us_000615511,0.994073,0.000122
us_000606847,0.994073,0.000312
us_000618497,0.994073,0.000373
us_000580799,0.994073,0.000978
us_000600241,0.994073,0.001229
pr_001344850,0.994073,0.001703
pr_001261734,0.994073,0.001860
pr_001367295,0.994073,0.002478
pr_001276549,0.994073,0.002478
pr_001358184,0.994073,0.002478
us_000506382,0.994073,0.003120
pr_001284391,0.994073,0.003556
pr_001442879,0.994073,0.003741
pr_001230687,0.994073,0.004262
pr_001273380,0.994073,0.004623
pr_001210525,0.994073,0.004623
pr_001234346,0.994073,0.004623
pr_001373807,0.994073,0.004623
pr_001205802,0.994073,0.004623
pr_001357009,0.994073,0.004623
pr_001313509,0.994073,0.004623
pr_001440467,0.994073,0.005314
pr_001201860,0.994073,0.006558
pr_001210511,0.994073,0.006558
pr_001275946,0.994073,0.008659
pr_001446821,0.994073,0.008851
us_000536940,0.994073,0.010998
us_000539536,0.994073,0.012692
pr_001361006,0.994073,0.016288
us_000513893,0.994073,0.018958
pr_001270596,0.994073,0.019384
pr_001433223,0.994073,0.019864
pr_001336210,0.994073,0.020911
pr_001311689,0.994073,0.020911
pr_001422483,0.994073,0.021222
us_000582567,0.994073,0.025685
us_000607511,0.994073,0.030051
pr_001482543,0.994073,0.030091
us_000612304,0.994073,0.289858
us_000546252,0.994073,0.350356
us_000612152,0.994073,0.385376
us_000611895,0.994073,0.397872
us_000540061,0.994073,0.417581
us_000585469,0.994073,0.444014
us_000567496,0.994073,0.452332
us_000561296,0.994073,0.466742
us_000554434,0.994073,0.488283
us_000612240,0.994073,0.647956
us_000621437,0.994073,0.679938
us_000532938,0.994073,0.683363
us_000561640,0.994073,0.690698
us_000511561,0.994073,0.701017
us_000563299,0.994073,0.703498
us_000532791,0.973653,0.000000
us_000553076,0.973653,0.000000
us_000553218,0.973653,0.000000
us_000552446,0.973653,0.000000
pr_000004371,0.973653,0.000084
pr_000588979,0.973653,0.005026
pr_000707841,0.973653,0.027004
us_000530867,0.973653,0.045990
us_000561303,0.973653,1.191219
us_000612887,0.973653,1.409157
us_000618647,0.973653,1.453889
us_000618635,0.973653,1.458924
us_000601033,0.973653,1.735845
pr_001174994,0.963622,0.000000
pr_001220737,0.963622,0.000000
us_000601215,0.963622,0.000000
pr_001892420,0.963622,0.000000
pr_000593273,0.963622,0.000000
pr_000600062,0.963622,0.000000
pr_001893948,0.963622,0.000000
pr_001702281,0.963622,0.000000
pr_000790693,0.963622,0.000003
pr_002158651,0.963622,0.000003
pr_001155449,0.963622,0.000003
pr_001328751,0.963622,0.000005
pr_001309987,0.963622,0.000014
us_000580761,0.963622,0.000240
pr_001422828,0.963622,0.016288
us_000554360,0.963622,0.295953
us_000615498,0.963622,0.371411
us_000535930,0.963622,0.379407
us_000511720,0.963622,0.385950
us_000561667,0.963622,0.414365
us_000613883,0.963622,0.416033
us_000561513,0.963622,0.420552
us_000613535,0.963622,0.430622
us_000610823,0.963622,0.434006
us_000562968,0.963622,0.512722
us_000612267,0.941154,0.469218
us_000585583,0.941154,0.519260
us_000567480,0.941154,0.531425
us_000567477,0.941154,0.565634
us_000553605,0.941154,0.624417
us_000579346,0.941154,0.645513
us_000555404,0.941154,0.681996
us_000589903,0.941154,0.685676
us_000573448,0.941154,0.700671
us_000580325,0.941154,0.722177
us_000579806,0.941154,0.727152
us_000562970,0.941154,0.731618
us_000575403,0.941154,0.741688
us_000602425,0.941154,0.748633
us_000521363,0.941154,0.749396
us_000603404,0.941154,0.758922
us_000614751,0.941154,0.763692
us_000536310,0.941154,0.768959
us_000556820,0.941154,0.772668
us_000563381,0.941154,0.778577
pr_002119904,0.941154,0.796651
us_000563010,0.941154,0.803638
us_000573661,0.941154,0.844190
us_000517641,0.941154,0.848256
us_000618976,0.941154,1.145780
pr_001577037,0.941154,1.791884
us_000556579,0.940815,0.000000
us_000557505,0.940815,0.000000
us_000545607,0.940815,0.000000
us_000567434,0.940815,0.000026
pr_001721086,0.940815,0.000102
pr_000485626,0.940815,0.000245
us_000615084,0.940815,0.000249
pr_000266781,0.940815,0.000355
us_000599472,0.940815,0.000367
us_000615734,0.940815,0.001674
us_000609877,0.940815,0.002744
us_000530628,0.940815,0.008164
us_000533134,0.940815,0.043212
us_000492826,0.940815,0.074704
us_000611882,0.940815,2.327627
us_000618901,0.940815,2.346603
us_000594945,0.936219,0.288885
us_000579837,0.936219,0.367670
us_000526641,0.936219,0.391712
us_000580297,0.936219,0.392352
us_000588313,0.936219,0.393308
us_000577343,0.936219,0.400693
us_000573870,0.936219,0.409170
us_000614452,0.936219,0.429585
us_000576297,0.936219,0.442190
us_000618617,0.936219,0.458665
us_000580314,0.936219,0.543037
us_000614692,0.936219,0.882322
us_000602085,0.936166,0.000000
us_000615788,0.936166,0.000002
us_000495552,0.936166,0.000003
pr_001541240,0.936166,0.000012
pr_001443391,0.936166,0.000042
pr_001357913,0.936166,0.000042
pr_001513981,0.936166,0.000042
pr_001238435,0.936166,0.000042
pr_001303466,0.936166,0.000042
pr_001359741,0.936166,0.000042
pr_000905991,0.936166,0.000042
pr_001421445,0.936166,0.000042
pr_001516389,0.936166,0.000042
us_000591381,0.936166,0.000105
us_000551888,0.936166,0.000315
us_000613800,0.936166,0.000842
us_000561505,0.936166,0.373713
us_000530913,0.936166,0.400895
us_000561504,0.936166,0.401079
us_000615195,0.936166,0.405343
us_000614470,0.936166,0.405399
us_000568377,0.936166,0.408280
us_000559545,0.936166,0.412276
us_000614307,0.936166,0.424626
us_000571630,0.931470,0.000000
pr_000013187,0.931470,0.000000
us_000579046,0.931470,0.000001
us_000496137,0.931470,0.000002
us_000492792,0.931470,0.014417
us_000503455,0.931470,0.100997
us_000612097,0.931470,0.167946
us_000621318,0.931470,0.173935
us_000585603,0.931470,0.189931
us_000612346,0.931470,0.209697
us_000594805,0.931470,0.244985
us_000594954,0.931470,0.254622
us_000561960,0.931470,0.301870
us_000579942,0.931470,0.318014
us_000579840,0.931470,0.351050
us_000561829,0.931470,0.353528
us_000580616,0.931470,0.375140
pr_001122537,0.931470,0.386186
us_000571551,0.931470,0.388518
us_000532035,0.931470,0.395344
us_000509652,0.931470,0.400167
us_000556923,0.931470,0.402029
us_000562658,0.931470,0.416803
us_000548784,0.931470,0.457170
us_000532606,0.931470,0.534890
us_000558701,0.925028,0.000000
us_000536483,0.925028,0.000000
us_000613501,0.925028,0.319351
us_000563372,0.925028,0.331754
us_000587649,0.925028,0.334804
us_000530837,0.925028,0.355421
us_000521477,0.925028,0.371134
us_000587579,0.925028,0.398547
us_000603754,0.925028,0.399214
us_000571600,0.925028,0.404884
us_000601466,0.925028,0.411860
us_000604749,0.925028,0.416984
us_000580645,0.925028,0.423032
us_000600266,0.925028,0.424498
us_000606083,0.925028,0.428463
us_000603506,0.925028,0.429255
us_000603919,0.925028,0.429321
us_000600946,0.925028,0.435401
us_000601687,0.925028,0.440273
us_000597302,0.925028,0.441403
us_000583543,0.925028,0.444256
us_000583754,0.925028,0.445686
us_000604157,0.925028,0.447027
us_000604630,0.925028,0.450439
us_000603627,0.925028,0.450852
us_000461461,0.925028,0.459148
us_000603573,0.925028,0.460468
us_000465617,0.925028,0.462753
us_000602036,0.925028,0.468961
us_000604921,0.925028,0.469129
us_000537766,0.925028,0.489202
us_000617233,0.925028,0.495219
us_000525266,0.925028,0.496895
us_000557246,0.925028,0.498675
us_000571531,0.925028,0.501305
us_000604935,0.925028,0.501499
us_000611748,0.925028,0.536416
us_000513999,0.925028,0.568843
us_000600396,0.925028,0.587141
us_000596882,0.925028,0.644211
us_000494177,0.925028,0.766447
us_000604626,0.925028,1.073992
us_000597981,0.925028,1.230062
us_000561948,0.884397,0.218748
us_000581416,0.884397,0.246393
us_000580238,0.884397,0.253117
us_000508552,0.884397,0.261840
us_000580151,0.884397,0.265612
us_000573711,0.884397,0.266047
us_000613715,0.884397,0.266073
us_000622579,0.884397,0.266524
us_000621549,0.884397,0.270235
us_000561344,0.884397,0.272863
us_000612864,0.884397,0.273562
us_000612966,0.884397,0.278759
