Product ID : 7800 # of JPs covered : 1 : 90 : Environmental/Natural Resources, 
OID,Confidence at Map Node,Error at Map Node
pr_001132553,1.000000,0.000000
us_000598226,1.000000,0.651208
us_000535040,1.000000,1.422427
us_000578101,1.000000,1.491580
us_000581628,1.000000,1.606736
us_000461189,1.000000,1.691256
us_000559264,1.000000,1.701676
us_000593451,1.000000,1.820358
us_000521710,1.000000,1.832446
us_000521788,1.000000,1.873912
us_000553301,1.000000,2.247330
us_000553681,1.000000,2.307338
us_000553785,1.000000,2.307647
pr_001076165,0.989749,0.000000
pr_000734411,0.989749,0.000000
pr_001031774,0.989749,0.000000
pr_000727641,0.989749,0.000000
pr_001101109,0.989749,0.000000
pr_001667800,0.989749,0.000000
pr_000875672,0.989749,0.000000
us_000431302,0.989749,0.011850
us_000568662,0.989749,0.988755
us_000598501,0.989749,1.501573
us_000465070,0.989749,1.523105
us_000568802,0.989749,1.548244
us_000559268,0.989749,1.555648
us_000622566,0.989749,1.564558
us_000599621,0.989749,1.609351
us_000502471,0.989749,1.630119
us_000502614,0.989749,1.647077
us_000575518,0.989749,1.699395
us_000594814,0.989749,1.756613
us_000502639,0.989749,1.777475
us_000502808,0.989749,1.816202
us_000502858,0.989749,1.825641
us_000503184,0.989749,1.831205
us_000612480,0.989749,1.853445
us_000594533,0.989749,1.867935
us_000575632,0.989749,1.880772
us_000502859,0.989749,1.963703
us_000561174,0.989749,1.982765
pr_001100556,0.976162,0.000000
pr_001044477,0.976162,0.000000
us_000556806,0.976162,0.000000
pr_001044870,0.976162,0.000000
pr_000839607,0.976162,0.000000
pr_001599610,0.976162,0.000000
pr_000852491,0.976162,0.000000
pr_001600158,0.976162,0.000000
pr_000849806,0.976162,0.000000
pr_000788755,0.976162,0.000000
pr_001717082,0.976162,0.000000
pr_001038596,0.976162,0.000000
pr_002121083,0.976162,0.000000
pr_001612616,0.976162,0.000000
us_000508840,0.976162,0.000000
pr_000899308,0.976162,0.000000
us_000586773,0.976162,0.000001
us_000485444,0.976162,0.000003
pr_002109567,0.976162,0.000006
us_000531123,0.976162,0.000011
pr_000779598,0.976162,0.000014
us_000464169,0.976162,0.000037
pr_000843634,0.976162,0.000064
us_000588036,0.976162,0.000066
us_000589998,0.976162,0.000075
pr_002017979,0.976162,0.000098
us_000581195,0.976162,0.000126
us_000589545,0.976162,0.000130
us_000527935,0.976162,0.000143
pr_000790834,0.976162,0.000163
us_000589481,0.976162,0.000222
pr_002223126,0.976162,0.000501
pr_000868662,0.976162,0.000508
pr_002130175,0.976162,0.000851
us_000598522,0.976162,0.000915
us_000547915,0.976162,0.001002
us_000558063,0.976162,0.001018
us_000590894,0.976162,0.001863
us_000562529,0.976162,0.025524
pr_000737096,0.851425,0.000000
pr_000919129,0.851425,0.000000
pr_001198403,0.851425,0.000000
pr_000345302,0.851425,0.000004
us_000605215,0.851425,0.000981
us_000485778,0.851425,0.577817
us_000592990,0.851425,0.594039
us_000621917,0.851425,0.625544
us_000622724,0.851425,0.637156
us_000485817,0.851425,0.638656
us_000549673,0.851425,0.650077
us_000153668,0.851425,0.661670
us_000505710,0.851425,0.679967
us_000618543,0.851425,0.700063
us_000620639,0.851425,0.751272
us_000620740,0.851425,0.759870
us_000556321,0.851425,0.783539
us_000615850,0.851425,0.784246
us_000619024,0.851425,0.792099
us_000575447,0.851425,0.819559
us_000586705,0.851425,0.838347
us_000622811,0.851425,0.845600
us_000622606,0.851425,0.845804
us_000611206,0.851425,0.848614
us_000549551,0.851425,0.883098
us_000620134,0.851425,0.888566
us_000618773,0.851425,0.897616
us_000548999,0.851425,0.912805
us_000596650,0.851425,0.921716
us_000621323,0.851425,0.921822
us_000610148,0.851425,0.927346
us_000575475,0.851425,0.929837
us_000514225,0.851425,0.932257
us_000620239,0.851425,0.941718
us_000575377,0.851425,0.944145
us_000581599,0.851425,0.950680
us_000559868,0.851425,0.966423
us_000577996,0.851425,0.968648
us_000586641,0.851425,0.969771
us_000575120,0.851425,0.972411
us_000586620,0.851425,0.979328
us_000594336,0.851425,0.979925
us_000613945,0.851425,0.980511
us_000598146,0.851425,0.987447
us_000559784,0.851425,0.992732
us_000586646,0.851425,0.993407
us_000622788,0.851425,0.997688
us_000562789,0.851425,0.998869
