Product ID : 7834 # of JPs covered : 1 : 433 : Personal Injury-Trial-Strategies, 
OID,Confidence at Map Node,Error at Map Node
us_000622670,1.000000,0.003269
us_000581441,1.000000,0.009589
pr_001815055,1.000000,0.031553
pr_001876655,1.000000,0.031995
us_000518744,1.000000,0.064728
us_000587693,1.000000,0.075763
us_000598426,1.000000,0.206983
us_000598421,1.000000,0.461792
us_000620991,1.000000,0.497269
us_000621269,1.000000,1.471620
us_000587838,1.000000,1.521146
us_000621058,1.000000,1.552088
us_000621128,1.000000,1.560634
us_000621145,1.000000,1.675802
pr_001583765,0.311060,0.000000
us_000523864,0.311060,0.000000
us_000488081,0.311060,0.000000
pr_000611793,0.311060,0.000000
pr_000105066,0.311060,0.000000
pr_000786958,0.311060,0.000001
pr_001097152,0.311060,0.000001
pr_000021892,0.311060,0.000002
us_000599713,0.311060,0.000002
pr_000666059,0.311060,0.000003
us_000514782,0.311060,0.000005
pr_001027162,0.311060,0.000010
us_000503036,0.311060,0.000042
us_000525895,0.311060,0.001646
us_000533687,0.311060,0.004513
us_000621887,0.311060,0.337484
us_000578098,0.311060,0.343778
us_000545881,0.311060,0.374138
us_000588159,0.311060,0.385145
us_000617847,0.311060,0.390933
us_000596846,0.311060,0.393020
us_000600903,0.311060,0.397044
us_000593619,0.311060,0.411564
us_000609592,0.311060,0.416014
us_000623000,0.311060,0.421714
us_000622215,0.311060,0.437368
us_000620842,0.311060,0.465101
us_000618624,0.311060,0.600357
us_000512554,0.311060,0.640352
us_000598617,0.311060,0.695031
us_000512645,0.311060,0.696673
us_000512599,0.311060,0.904393
us_000582219,0.311060,0.960210
us_000596752,0.311060,1.856466
us_000596755,0.311060,1.911518
us_000616425,0.258220,0.000031
pr_000297854,0.258220,0.000081
us_000560413,0.258220,0.000133
us_000614447,0.258220,0.000204
us_000620391,0.258220,0.000401
us_000610473,0.258220,0.000411
us_000610420,0.258220,0.000465
us_000598347,0.258220,0.000588
us_000485922,0.258220,0.000730
us_000493000,0.258220,0.000778
us_000598703,0.258220,0.001173
us_000607891,0.258220,0.001388
us_000616292,0.258220,0.001672
us_000621585,0.258220,0.001689
us_000606670,0.258220,0.002026
us_000617099,0.258220,0.003918
us_000571208,0.258220,0.004457
us_000563473,0.258220,0.011442
us_000592690,0.258220,0.017854
us_000615685,0.258220,0.190211
pr_000482629,0.193340,0.000000
us_000541464,0.193340,0.000002
us_000507476,0.193340,0.000003
pr_000730153,0.193340,0.000006
pr_001837724,0.193340,0.000058
us_000538092,0.193340,0.000123
us_000585023,0.193340,0.000173
us_000587635,0.193340,0.000283
