Product ID : 7875 # of JPs covered : 1 : 426 : Tax Prep-Foreign Individual, 
OID,Confidence at Map Node,Error at Map Node
pr_001400496,1.000000,0.000000
pr_000871794,1.000000,0.000000
pr_001027497,1.000000,0.000000
pr_001028026,1.000000,0.000000
pr_000642812,1.000000,0.000000
pr_001642622,1.000000,0.000000
us_000566656,1.000000,0.000000
us_000555369,1.000000,0.000000
us_000526691,1.000000,0.000000
pr_001683032,1.000000,0.000000
pr_001922240,1.000000,0.000000
pr_001665100,1.000000,0.000000
pr_001776664,1.000000,0.000000
pr_000751801,1.000000,0.000000
us_000497499,1.000000,0.000000
pr_001764495,1.000000,0.000000
pr_001661307,1.000000,0.000000
pr_000109405,1.000000,0.000000
us_000583231,1.000000,0.000001
us_000621668,1.000000,0.000001
us_000585089,1.000000,0.000002
us_000528448,1.000000,0.000002
pr_000864139,1.000000,0.000002
pr_000156580,1.000000,0.000002
us_000505469,1.000000,0.000003
us_000544352,1.000000,0.000003
us_000573735,1.000000,0.001085
us_000477508,1.000000,2.051138
us_000600412,1.000000,2.791668
us_000536315,1.000000,2.814671
us_000589469,1.000000,2.857789
us_000618236,1.000000,2.868987
us_000084482,1.000000,2.883373
us_000597758,1.000000,2.983519
us_000600102,1.000000,2.983843
us_000600136,1.000000,2.992660
us_000477650,1.000000,3.027460
us_000523222,1.000000,3.052693
us_000611802,1.000000,3.076946
us_000597097,1.000000,3.090694
us_000592098,1.000000,3.093616
us_000573486,1.000000,3.127271
us_000085273,1.000000,3.128792
us_000568924,1.000000,3.130729
us_000460589,1.000000,3.225384
us_000590004,1.000000,3.299508
us_000585996,1.000000,3.315474
us_000564336,1.000000,3.373247
us_000617709,1.000000,3.378829
us_000569434,1.000000,3.429750
us_000279350,1.000000,3.485741
us_000570107,1.000000,3.586501
us_000514385,1.000000,4.038141
pr_001350406,0.999935,0.000000
us_000558915,0.999935,0.000000
us_000594318,0.999935,0.000001
us_000602680,0.999935,0.000001
us_000622433,0.999935,0.000001
us_000464959,0.999935,0.000004
us_000514530,0.999935,0.000021
us_000460581,0.999935,0.000070
us_000594416,0.999935,0.000322
us_000525475,0.999935,0.000367
us_000526833,0.999935,0.000379
us_000508465,0.999935,0.000392
us_000539619,0.999935,1.442657
us_000514853,0.999935,1.731284
us_000569155,0.999935,1.780017
us_000539655,0.999935,1.785505
us_000579525,0.999935,1.812930
us_000508151,0.999935,2.143521
pr_000736520,0.999785,0.000000
pr_001689599,0.999785,0.000000
us_000620011,0.999785,0.000000
us_000506638,0.999785,0.000000
us_000610653,0.999785,0.000000
us_000538669,0.999785,0.000000
us_000562037,0.999785,0.000000
us_000538910,0.999785,0.000001
pr_002231327,0.999785,0.000356
us_000594954,0.999785,0.001469
us_000622144,0.999785,0.003146
us_000591113,0.999785,0.003647
us_000614457,0.999785,0.004860
us_000597414,0.999785,0.006018
us_000611079,0.999785,0.009658
us_000620767,0.999785,0.009694
us_000608890,0.999785,0.035120
us_000614987,0.999785,0.045597
us_000622746,0.999785,0.948306
us_000621020,0.999785,1.269885
us_000581964,0.999785,1.341174
us_000569056,0.999785,1.583490
us_000614591,0.999785,1.668240
us_000612221,0.999785,1.737329
us_000573488,0.999785,1.784719
us_000597708,0.999785,1.845859
us_000573551,0.999785,1.862591
us_000614778,0.999785,1.941593
us_000597619,0.999785,1.970169
us_000597724,0.999785,1.987256
us_000612887,0.999785,2.057305
us_000553031,0.999785,2.061859
us_000618864,0.999785,2.065279
us_000597525,0.999785,2.164349
us_000618078,0.999785,2.176131
us_000586105,0.999785,2.181334
us_000558651,0.999785,2.186673
us_000618647,0.999785,2.187036
us_000609291,0.999785,2.194160
us_000589379,0.999785,2.198288
us_000589377,0.999785,2.199299
us_000579158,0.999785,2.204239
us_000608785,0.999785,2.221072
us_000608591,0.999785,2.222345
us_000607639,0.999785,2.222755
us_000608820,0.999785,2.229893
us_000564102,0.999785,2.231071
us_000608019,0.999785,2.232854
us_000607650,0.999785,2.234097
us_000607851,0.999785,2.241397
us_000566380,0.999785,2.246971
us_000615152,0.999785,2.250988
us_000579124,0.999785,2.252891
us_000573810,0.999785,2.256828
us_000611456,0.999785,2.263428
us_000587125,0.999785,2.263520
us_000569044,0.999785,2.263914
us_000579069,0.999785,2.264666
us_000596248,0.999785,2.268601
us_000579154,0.999785,2.272800
us_000558605,0.999785,2.284178
us_000579217,0.999785,2.287967
us_000579121,0.999785,2.294854
us_000585815,0.999785,2.296255
us_000579066,0.999785,2.296556
us_000585696,0.999785,2.307794
us_000615012,0.999785,2.311675
us_000573240,0.999785,2.316345
us_000570677,0.999785,2.316567
us_000581610,0.999785,2.319858
us_000566644,0.999785,2.334335
us_000618673,0.999785,2.343104
us_000610789,0.999785,2.344091
us_000615362,0.999785,2.346114
us_000607516,0.999785,2.347327
us_000610639,0.999785,2.364254
us_000610332,0.999785,2.367417
us_000607946,0.999785,2.368499
us_000612456,0.999785,2.369813
us_000611606,0.999785,2.372107
us_000566630,0.999785,2.373169
us_000620556,0.999785,2.377557
us_000579479,0.999785,2.379990
us_000610503,0.999785,2.380180
us_000580081,0.999785,2.380632
us_000611047,0.999785,2.385454
us_000600039,0.999785,2.388910
us_000607607,0.999785,2.391022
us_000612563,0.999785,2.392469
us_000579413,0.999785,2.393048
us_000620015,0.999785,2.394597
us_000587141,0.999785,2.397063
us_000595942,0.999785,2.397799
us_000595963,0.999785,2.400623
us_000505069,0.999785,2.403902
us_000608064,0.999785,2.404831
us_000611303,0.999785,2.404861
us_000612890,0.999785,2.405126
us_000611566,0.999785,2.407940
us_000578631,0.999785,2.408019
us_000609158,0.999785,2.408649
us_000608839,0.999785,2.409296
us_000609625,0.999785,2.409982
us_000608993,0.999785,2.410981
us_000609027,0.999785,2.412440
us_000607901,0.999785,2.413148
us_000610217,0.999785,2.413436
us_000610181,0.999785,2.414171
us_000610832,0.999785,2.414232
us_000608600,0.999785,2.414475
us_000606744,0.999785,2.414477
us_000610220,0.999785,2.414574
us_000608124,0.999785,2.414750
us_000611690,0.999785,2.414803
us_000610948,0.999785,2.414869
us_000611533,0.999785,2.414886
us_000610257,0.999785,2.414892
us_000610693,0.999785,2.415049
us_000618558,0.999785,2.415661
us_000608251,0.999785,2.415686
us_000609596,0.999785,2.415781
us_000606491,0.999785,2.415801
us_000608233,0.999785,2.415973
us_000610357,0.999785,2.416028
us_000608617,0.999785,2.416227
us_000611214,0.999785,2.416721
us_000579412,0.999785,2.418705
us_000595971,0.999785,2.424902
us_000595941,0.999785,2.425738
us_000595972,0.999785,2.425801
us_000595965,0.999785,2.426753
us_000553409,0.999785,2.428678
us_000595757,0.999785,2.430790
us_000595975,0.999785,2.431095
us_000620284,0.999785,2.431377
us_000620097,0.999785,2.431789
us_000611680,0.999785,2.433956
us_000612404,0.999785,2.435814
us_000612412,0.999785,2.437260
us_000576385,0.999785,2.442553
us_000579483,0.999785,2.443017
us_000585321,0.999785,2.448368
us_000608678,0.999785,2.448649
us_000530837,0.999785,2.452511
us_000618130,0.999785,2.454761
us_000586345,0.999785,2.456031
us_000588659,0.999785,2.460065
us_000466049,0.999785,2.464206
us_000582127,0.999785,2.465163
us_000465617,0.999785,2.467243
us_000610495,0.999785,2.476260
us_000581583,0.999785,2.477328
us_000608597,0.999785,2.504765
us_000608412,0.999785,2.520313
us_000607465,0.999785,2.524203
us_000586848,0.999785,2.606321
us_000506835,0.999785,2.683030
us_000585080,0.999785,2.817694
us_000460883,0.999785,2.822083
us_000503517,0.960821,0.000000
us_000466098,0.960821,0.000000
pr_001143131,0.960821,0.000000
us_000539207,0.960821,0.000000
us_000537744,0.960821,0.000000
pr_001347915,0.960821,0.000000
pr_001363579,0.960821,0.000000
pr_001228816,0.960821,0.000000
pr_001218134,0.960821,0.000000
us_000529430,0.960821,0.000000
pr_001938481,0.960821,0.000001
us_000588782,0.960821,0.000012
pr_001351237,0.960821,0.000020
us_000563984,0.960821,0.000078
us_000513920,0.960821,0.000092
us_000549406,0.960821,0.000239
us_000510532,0.960821,0.000288
us_000520084,0.960821,0.000301
pr_001439403,0.960821,0.000386
us_000612932,0.960821,0.001285
us_000612622,0.960821,0.002325
us_000620535,0.960821,0.003375
us_000547846,0.960821,0.011449
us_000566370,0.960821,0.017463
us_000573438,0.960821,0.364564
us_000565914,0.960821,0.841130
us_000556377,0.960821,1.060381
us_000617136,0.960821,1.173508
us_000531344,0.960821,1.175714
us_000610438,0.960821,1.267376
us_000612304,0.960821,1.344138
us_000600267,0.960821,1.406486
us_000612240,0.960821,2.155171
pr_002098529,0.954102,0.000000
us_000614639,0.954102,0.000001
us_000574819,0.954102,0.000001
us_000598166,0.954102,0.000001
us_000617942,0.954102,0.000060
us_000513357,0.954102,0.008053
us_000579945,0.954102,0.128000
pr_001644353,0.948095,0.000000
pr_001657995,0.948095,0.000000
pr_001654868,0.948095,0.000000
pr_001738924,0.948095,0.000000
pr_000887603,0.948095,0.000000
pr_000764136,0.948095,0.000000
pr_001775708,0.948095,0.000000
pr_000376180,0.948095,0.000000
pr_000149367,0.948095,0.000000
us_000600303,0.948095,0.000000
pr_000785477,0.948095,0.000000
pr_001928406,0.948095,0.000000
