Product ID : 7792 # of JPs covered : 1 : 216 : Accounting-Non-Profit, 
OID,Confidence at Map Node,Error at Map Node
us_000503145,1.000000,0.000000
pr_000201641,1.000000,0.000034
us_000486655,1.000000,0.107892
pr_001044993,1.000000,0.145615
us_000489008,1.000000,0.173137
pr_001728896,1.000000,0.204288
us_000569426,1.000000,0.271358
us_000549761,1.000000,0.308657
us_000537204,1.000000,0.310307
pr_001127563,1.000000,0.311431
us_000569351,1.000000,0.322384
pr_000431145,1.000000,0.331520
us_000610090,1.000000,0.346023
us_000546262,1.000000,0.349527
us_000546310,1.000000,0.349541
us_000469966,1.000000,0.349580
us_000477066,1.000000,0.351542
us_000469917,1.000000,0.351580
us_000521231,1.000000,0.358258
us_000569344,1.000000,0.367279
us_000569354,1.000000,0.369296
us_000569349,1.000000,0.369384
us_000569405,1.000000,0.371493
pr_001130122,1.000000,0.373612
pr_000512026,1.000000,0.380203
us_000610490,1.000000,0.389012
us_000573502,1.000000,0.390848
us_000569400,1.000000,0.391258
us_000573303,1.000000,0.393241
us_000569525,1.000000,0.393423
pr_001126750,1.000000,0.395615
pr_001130469,1.000000,0.395615
pr_001126415,1.000000,0.395615
pr_001129006,1.000000,0.395615
pr_001142759,1.000000,0.395615
us_000617621,1.000000,0.401269
us_000522806,1.000000,0.413739
us_000555803,1.000000,0.414096
us_000558021,1.000000,0.414680
us_000558016,1.000000,0.414680
us_000552878,1.000000,0.414933
us_000461227,1.000000,0.417609
pr_001128200,1.000000,0.418255
pr_001075197,1.000000,0.418255
pr_001126880,1.000000,0.418255
us_000617846,1.000000,0.428332
us_000566135,1.000000,0.430989
us_000610057,1.000000,0.434551
us_000556956,1.000000,0.436120
us_000501656,1.000000,0.437352
us_000588559,1.000000,0.437400
us_000467959,1.000000,0.438410
us_000566154,1.000000,0.439399
us_000492022,1.000000,0.439762
us_000491964,1.000000,0.439764
us_000529566,1.000000,0.440304
us_000494904,1.000000,0.440623
us_000491945,1.000000,0.440648
pr_001075217,1.000000,0.441533
pr_001128747,1.000000,0.441533
pr_001126092,1.000000,0.441533
pr_001625006,1.000000,0.441533
pr_001128931,1.000000,0.441533
pr_001128483,1.000000,0.441533
pr_001130808,1.000000,0.441533
pr_001117884,1.000000,0.441533
pr_000723893,1.000000,0.441533
pr_000549531,1.000000,0.441811
us_000617857,1.000000,0.446681
us_000609884,1.000000,0.458277
us_000610898,1.000000,0.458277
us_000610595,1.000000,0.458277
us_000519671,1.000000,0.462018
us_000550123,1.000000,0.462107
us_000549855,1.000000,0.462123
us_000530866,1.000000,0.462897
us_000549877,1.000000,0.463784
us_000526631,1.000000,0.464219
us_000501039,1.000000,0.464468
pr_000553160,1.000000,0.465449
pr_000993622,1.000000,0.465449
pr_001126285,1.000000,0.465449
pr_001128613,1.000000,0.465449
pr_001129172,1.000000,0.465449
pr_001127732,1.000000,0.465449
pr_001124708,1.000000,0.465449
pr_001126235,1.000000,0.465449
pr_001127315,1.000000,0.465449
pr_001129017,1.000000,0.465449
pr_001130341,1.000000,0.465449
pr_000853331,1.000000,0.465449
pr_001128497,1.000000,0.465449
pr_001130501,1.000000,0.465449
pr_001618009,1.000000,0.465449
us_000555819,1.000000,0.471962
us_000499218,1.000000,0.474082
us_000596783,1.000000,0.476957
pr_000721298,1.000000,0.481309
us_000554236,1.000000,0.481992
us_000610009,1.000000,0.482642
us_000609722,1.000000,0.482642
us_000537967,1.000000,0.484869
us_000586150,1.000000,0.486067
us_000520073,1.000000,0.486195
us_000530876,1.000000,0.486271
us_000554423,1.000000,0.486335
us_000550262,1.000000,0.486562
pr_000699053,1.000000,0.487702
us_000507752,1.000000,0.487884
us_000497174,1.000000,0.488057
us_000496114,1.000000,0.488072
us_000491942,1.000000,0.488138
us_000500524,1.000000,0.489000
pr_001156910,1.000000,0.490002
pr_001142861,1.000000,0.490002
pr_001089755,1.000000,0.490002
pr_001128064,1.000000,0.490002
pr_001093090,1.000000,0.490002
pr_001126666,1.000000,0.490002
pr_001124680,1.000000,0.490002
pr_001014266,1.000000,0.490002
pr_000942218,1.000000,0.490002
pr_001130185,1.000000,0.490002
pr_001161916,1.000000,0.490002
pr_001126289,1.000000,0.490002
pr_001126863,1.000000,0.490002
pr_001128139,1.000000,0.490002
pr_001126575,1.000000,0.490002
pr_001130573,1.000000,0.490002
pr_001126441,1.000000,0.490002
pr_001124656,1.000000,0.490002
pr_000992561,1.000000,0.490002
pr_000722697,1.000000,0.490002
pr_001126434,1.000000,0.490002
pr_001129397,1.000000,0.490002
pr_001129144,1.000000,0.490002
pr_001142476,1.000000,0.490002
us_000512544,1.000000,0.493142
us_000601243,1.000000,0.496828
us_000519667,1.000000,0.497195
us_000595596,1.000000,0.502751
us_000591263,1.000000,0.503560
us_000498941,1.000000,0.506011
us_000595621,1.000000,0.506730
us_000576563,1.000000,0.509277
us_000593517,1.000000,0.509553
us_000555754,1.000000,0.510739
us_000561554,1.000000,0.510973
us_000522563,1.000000,0.512719
us_000501977,1.000000,0.513094
us_000498444,1.000000,0.513178
us_000555741,1.000000,0.513277
us_000491847,1.000000,0.513278
us_000496771,1.000000,0.513464
us_000464081,1.000000,0.513707
us_000463857,1.000000,0.513711
us_000513865,1.000000,0.514048
us_000511560,1.000000,0.514074
us_000511362,1.000000,0.514077
us_000502161,1.000000,0.514150
us_000502123,1.000000,0.514150
us_000502114,1.000000,0.514150
us_000501982,1.000000,0.514151
us_000501720,1.000000,0.514155
us_000500861,1.000000,0.514162
us_000498428,1.000000,0.514186
us_000491941,1.000000,0.514237
pr_001130707,1.000000,0.515194
pr_001127693,1.000000,0.515194
pr_002045310,1.000000,0.515194
pr_001127355,1.000000,0.515194
pr_001075215,1.000000,0.515194
pr_001127488,1.000000,0.515194
pr_001128910,1.000000,0.515194
pr_001121410,1.000000,0.515194
pr_001128760,1.000000,0.515194
pr_001126078,1.000000,0.515194
pr_001129360,1.000000,0.515194
pr_001126733,1.000000,0.515194
pr_000561038,1.000000,0.515194
pr_001128488,1.000000,0.515194
pr_001127012,1.000000,0.515194
pr_001129881,1.000000,0.515194
pr_001130793,1.000000,0.515194
pr_001142557,1.000000,0.515194
pr_000559003,1.000000,0.515194
pr_001127974,1.000000,0.515194
pr_001128290,1.000000,0.515194
pr_001127364,1.000000,0.515194
pr_001059350,1.000000,0.515194
pr_001112274,1.000000,0.515194
pr_000723873,1.000000,0.515194
pr_001127401,1.000000,0.515194
pr_001127280,1.000000,0.515194
pr_001142365,1.000000,0.515194
pr_000781599,1.000000,0.515194
pr_001128316,1.000000,0.515194
pr_001603816,1.000000,0.515194
pr_001127663,1.000000,0.515194
pr_002159529,1.000000,0.515194
pr_000718736,1.000000,0.517929
us_000586206,1.000000,0.518620
us_000387901,1.000000,0.519732
us_000617946,1.000000,0.520444
