Product ID : 7834 # of JPs covered : 1 : 433 : Personal Injury-Trial-Strategies, 
OID,Confidence at Map Node,Error at Map Node
pr_000582023,1.000000,0.000000
pr_001729288,1.000000,0.000000
pr_001403736,1.000000,0.000000
pr_000989147,1.000000,0.000000
pr_001006937,1.000000,0.000000
pr_000185004,1.000000,0.000000
pr_001406912,1.000000,0.000000
pr_000992120,1.000000,0.000000
pr_001404840,1.000000,0.000000
pr_001818207,1.000000,0.000000
pr_001121841,1.000000,0.000000
pr_001405250,1.000000,0.000000
pr_001825726,1.000000,0.000000
pr_000846676,1.000000,0.000000
pr_000885801,1.000000,0.000000
pr_001411033,1.000000,0.000000
pr_001658226,1.000000,0.000000
pr_001407735,1.000000,0.000000
pr_001714657,1.000000,0.000000
pr_001411303,1.000000,0.000000
pr_000786651,1.000000,0.000000
pr_000997523,1.000000,0.000000
pr_001406595,1.000000,0.000000
pr_001636509,1.000000,0.000000
pr_000583980,1.000000,0.000000
us_000565957,1.000000,0.000001
us_000602528,1.000000,0.000006
us_000606569,1.000000,0.000006
us_000597435,1.000000,0.000011
us_000491824,1.000000,0.000034
us_000583053,1.000000,0.000044
pr_001040359,1.000000,0.000106
pr_001087694,1.000000,0.000106
pr_000558108,1.000000,0.002298
us_000478717,1.000000,0.002992
pr_000849119,1.000000,0.003016
pr_000199391,0.753974,0.000000
us_000498537,0.753974,0.000101
pr_000736092,0.753974,0.000214
us_000477837,0.753974,0.000333
us_000581688,0.753974,0.001347
pr_000109327,0.753974,0.001857
pr_000268337,0.753974,0.002553
pr_000553828,0.753974,0.017310
us_000433420,0.753974,0.025618
us_000499643,0.753974,0.029369
pr_000668141,0.753974,0.051000
us_000500236,0.753974,0.065055
us_000482059,0.753974,0.098333
us_000495896,0.658128,0.000000
us_000524983,0.658128,0.000000
pr_001611157,0.658128,0.000000
us_000559899,0.658128,0.000001
us_000493274,0.658128,0.000038
us_000526136,0.658128,0.000047
us_000474376,0.658128,0.000061
us_000471636,0.658128,0.000061
us_000467886,0.658128,0.000068
us_000509327,0.658128,0.000069
pr_000572386,0.658128,0.000071
us_000489220,0.658128,0.000072
us_000476102,0.658128,0.000308
pr_000416664,0.658128,0.000365
pr_000406751,0.658128,0.000448
us_000587805,0.658128,0.000462
pr_000836101,0.658128,0.001354
pr_001683032,0.658128,0.001754
us_000562980,0.658128,0.003715
us_000578527,0.658128,0.005808
us_000474897,0.658128,0.007634
us_000479994,0.658128,0.009050
pr_000773057,0.658128,0.009531
us_000563904,0.658128,0.009593
pr_000603647,0.658128,0.012644
us_000582773,0.658128,0.018887
pr_000159369,0.658128,0.030847
us_000535504,0.658128,0.033082
pr_000852369,0.658128,0.034760
us_000529961,0.638582,0.000000
us_000601844,0.638582,0.000011
us_000174532,0.638582,0.000075
pr_000177426,0.638582,0.000192
us_000178390,0.638582,0.000249
us_000474924,0.638582,0.000351
us_000342987,0.638582,0.000366
pr_000192316,0.638582,0.000498
pr_002082750,0.638582,0.000513
pr_001655702,0.638582,0.000592
us_000610743,0.638582,0.000704
us_000555325,0.638582,0.000868
us_000595617,0.638582,0.001246
us_000572760,0.638582,0.001330
us_000576908,0.638582,0.001628
us_000618477,0.638582,0.002104
pr_002189686,0.638582,0.002298
us_000545914,0.638582,0.003037
us_000584772,0.638582,0.003084
us_000538199,0.638582,0.003124
us_000552965,0.638582,0.003980
us_000568762,0.638582,0.005433
us_000576506,0.638582,0.007900
us_000579397,0.638582,0.014499
us_000491570,0.638582,0.039387
us_000534018,0.638582,0.323019
us_000539675,0.638582,3.983027
pr_001669348,0.638582,4.146948
pr_000113068,0.638582,4.524121
pr_001946983,0.638582,5.119383
pr_001131801,0.638582,5.444917
