Product ID : 7842 # of JPs covered : 1 : 435 : Tax Prep-Pass-Through-Planning, 
OID,Confidence at Map Node,Error at Map Node
pr_001422828,1.000000,0.034538
us_000573659,1.000000,0.570662
us_000612304,1.000000,0.736144
us_000552748,1.000000,0.761349
pr_001278410,1.000000,0.806842
us_000537830,1.000000,1.135848
us_000546252,0.986047,0.042533
us_000513189,0.986047,0.250995
us_000573631,0.986047,0.366114
us_000588802,0.986047,0.381981
us_000573494,0.986047,0.398026
us_000589862,0.986047,0.398110
us_000560420,0.986047,0.401011
us_000525268,0.986047,0.432963
us_000621437,0.986047,0.437511
us_000621399,0.986047,0.444128
us_000520725,0.986047,0.450574
pr_001206418,0.986047,0.466536
pr_001199471,0.986047,0.467943
pr_001327101,0.986047,0.468373
us_000588172,0.986047,0.470979
us_000514081,0.986047,0.759721
us_000561062,0.898501,0.000002
pr_001281186,0.898501,0.000074
pr_001435150,0.898501,0.000074
pr_001351315,0.898501,0.000074
pr_001362946,0.898501,0.000074
pr_001800807,0.898501,0.000074
pr_001208516,0.898501,0.000074
pr_001172420,0.898501,0.000074
pr_001202293,0.898501,0.000074
pr_001213234,0.898501,0.000074
pr_001230771,0.898501,0.000074
pr_001344600,0.898501,0.000074
pr_001210174,0.898501,0.000074
pr_001204001,0.898501,0.000074
pr_001268650,0.898501,0.000074
pr_001352767,0.898501,0.000074
pr_001793981,0.898501,0.000074
pr_001792410,0.898501,0.000074
pr_001780700,0.898501,0.000074
pr_001349246,0.898501,0.000074
pr_001499915,0.898501,0.000074
pr_001323153,0.898501,0.000074
pr_001238415,0.898501,0.000074
pr_001376878,0.898501,0.000074
pr_001235123,0.898501,0.000074
pr_001332266,0.898501,0.000074
pr_001366547,0.898501,0.000074
pr_001309661,0.898501,0.000074
pr_001312219,0.898501,0.000074
pr_001230349,0.898501,0.000074
pr_001340010,0.898501,0.000074
pr_001785525,0.898501,0.000074
pr_000694542,0.898501,0.000074
pr_001278988,0.898501,0.000074
pr_001780955,0.898501,0.000074
pr_001280193,0.898501,0.000074
pr_002121505,0.898501,0.000074
pr_000824332,0.898501,0.000074
pr_001275131,0.898501,0.000074
pr_001204069,0.898501,0.000074
pr_001940881,0.898501,0.000074
pr_001338819,0.898501,0.000074
pr_002121615,0.898501,0.000074
pr_001774791,0.898501,0.000074
pr_001282147,0.898501,0.000074
pr_001212234,0.898501,0.000074
pr_001387252,0.898501,0.000074
pr_001350437,0.898501,0.000074
pr_001324136,0.898501,0.000074
pr_001256184,0.898501,0.000074
pr_001808367,0.898501,0.000074
pr_001311403,0.898501,0.000074
pr_001272649,0.898501,0.000074
pr_001309458,0.898501,0.000074
pr_001885180,0.898501,0.000074
pr_001792466,0.898501,0.000074
pr_001264382,0.898501,0.000074
pr_001257509,0.898501,0.000074
pr_001310870,0.898501,0.000074
pr_001236653,0.898501,0.000074
pr_000723722,0.898501,0.000074
pr_001359318,0.898501,0.000074
pr_001237971,0.898501,0.000074
pr_001364531,0.898501,0.000074
pr_001220040,0.898501,0.000074
pr_001172779,0.898501,0.000074
pr_001208187,0.898501,0.000074
pr_001232814,0.898501,0.000074
pr_001199254,0.898501,0.000074
pr_001373730,0.898501,0.000074
pr_001255089,0.898501,0.000074
pr_001342929,0.898501,0.000074
pr_001356283,0.898501,0.000074
pr_001350169,0.898501,0.000074
pr_001235161,0.898501,0.000074
pr_001513083,0.898501,0.000074
pr_001377497,0.898501,0.000074
pr_001379432,0.898501,0.000074
pr_001238233,0.898501,0.000074
pr_001344652,0.898501,0.000074
pr_001236057,0.898501,0.000074
pr_002168217,0.898501,0.000074
pr_001377809,0.898501,0.000074
pr_001340739,0.898501,0.000074
pr_001274944,0.898501,0.000074
pr_001168841,0.898501,0.000074
pr_002122373,0.898501,0.000074
pr_001200675,0.898501,0.000074
pr_001314020,0.898501,0.000074
pr_001939564,0.898501,0.000074
pr_001202093,0.898501,0.000074
pr_001363367,0.898501,0.000074
pr_001367567,0.898501,0.000074
pr_001334154,0.898501,0.000074
pr_001197518,0.898501,0.000074
pr_001284297,0.898501,0.000074
pr_001311092,0.898501,0.000074
pr_001286785,0.898501,0.000074
pr_001359761,0.898501,0.000074
pr_001379236,0.898501,0.000074
pr_001382721,0.898501,0.000074
pr_001266455,0.898501,0.000074
pr_001281525,0.898501,0.000074
pr_002168215,0.898501,0.000074
pr_001386650,0.898501,0.000074
pr_001266688,0.898501,0.000074
pr_001271585,0.898501,0.000074
pr_001338114,0.898501,0.000074
pr_001187750,0.898501,0.000074
pr_001365475,0.898501,0.000074
pr_001140923,0.898501,0.000074
pr_002122146,0.898501,0.000074
pr_001321562,0.898501,0.000074
pr_001180193,0.898501,0.000074
pr_001375951,0.898501,0.000074
pr_001318653,0.898501,0.000074
pr_001179691,0.898501,0.000074
pr_001342584,0.898501,0.000074
pr_001235902,0.898501,0.000074
pr_001280094,0.898501,0.000074
pr_001207012,0.898501,0.000074
pr_001380667,0.898501,0.000074
pr_001179026,0.898501,0.000074
pr_001315477,0.898501,0.000074
pr_001175932,0.898501,0.000074
pr_001792264,0.898501,0.000074
pr_001211920,0.898501,0.000074
pr_001883082,0.898501,0.000074
pr_001384264,0.898501,0.000074
pr_001192564,0.898501,0.000074
pr_001237346,0.898501,0.000074
pr_001273523,0.898501,0.000074
pr_001799172,0.898501,0.000074
pr_001212187,0.898501,0.000074
pr_001257013,0.898501,0.000074
pr_001375071,0.898501,0.000074
pr_001231526,0.898501,0.000074
pr_002120043,0.898501,0.000074
pr_001315112,0.898501,0.000074
pr_001347414,0.898501,0.000074
pr_001345126,0.898501,0.000074
pr_001940818,0.898501,0.000074
pr_001193667,0.898501,0.000074
pr_001255037,0.898501,0.000074
pr_001316985,0.898501,0.000074
pr_001887613,0.898501,0.000074
pr_001180859,0.898501,0.000074
pr_001332840,0.898501,0.000074
pr_001282425,0.898501,0.000074
pr_001941149,0.898501,0.000074
pr_001356733,0.898501,0.000074
pr_001218219,0.898501,0.000074
pr_001270829,0.898501,0.000074
pr_001233793,0.898501,0.000074
pr_001375267,0.898501,0.000074
pr_001312949,0.898501,0.000074
pr_001271365,0.898501,0.000074
pr_001268072,0.898501,0.000074
pr_001276603,0.898501,0.000074
pr_002028820,0.898501,0.000074
pr_001384474,0.898501,0.000074
pr_001384220,0.898501,0.000074
pr_001781009,0.898501,0.000074
pr_001194538,0.898501,0.000074
pr_001176430,0.898501,0.000074
pr_001208598,0.898501,0.000074
pr_001353224,0.898501,0.000074
pr_001322676,0.898501,0.000074
pr_001201562,0.898501,0.000074
pr_001321591,0.898501,0.000074
pr_001192410,0.898501,0.000074
pr_001369860,0.898501,0.000074
pr_001370316,0.898501,0.000074
pr_001365284,0.898501,0.000074
pr_001781443,0.898501,0.000074
pr_001182125,0.898501,0.000074
pr_001344262,0.898501,0.000074
pr_001206194,0.898501,0.000074
pr_000706483,0.898501,0.000074
pr_001380931,0.898501,0.000074
pr_001200260,0.898501,0.000074
pr_001774096,0.898501,0.000074
pr_001340941,0.898501,0.000074
pr_001189925,0.898501,0.000074
pr_001794273,0.898501,0.000074
pr_001308773,0.898501,0.000074
pr_001470912,0.898501,0.000074
pr_001854687,0.898501,0.000074
pr_001200261,0.898501,0.000074
pr_001347436,0.898501,0.000074
pr_001284391,0.898501,0.000074
pr_001366376,0.898501,0.000074
pr_001210894,0.898501,0.000074
pr_001373821,0.898501,0.000074
pr_001384236,0.898501,0.000074
pr_001365057,0.898501,0.000074
pr_001999109,0.898501,0.000074
pr_002001385,0.898501,0.000074
pr_001371219,0.898501,0.000074
pr_002171991,0.898501,0.000074
pr_001274530,0.898501,0.000074
pr_001230628,0.898501,0.000074
pr_001321609,0.898501,0.000074
pr_001885039,0.898501,0.000074
pr_001260438,0.898501,0.000074
pr_001140820,0.898501,0.000074
pr_001367196,0.898501,0.000074
pr_002121577,0.898501,0.000074
pr_001360202,0.898501,0.000074
pr_001212893,0.898501,0.000074
pr_001177345,0.898501,0.000074
pr_001179778,0.898501,0.000074
pr_001791630,0.898501,0.000074
pr_001318023,0.898501,0.000074
pr_001385548,0.898501,0.000074
pr_001256545,0.898501,0.000074
pr_001199865,0.898501,0.000074
pr_001237526,0.898501,0.000074
pr_001314305,0.898501,0.000074
pr_001171393,0.898501,0.000074
pr_001365985,0.898501,0.000074
pr_001269267,0.898501,0.000074
pr_001780926,0.898501,0.000074
pr_001265989,0.898501,0.000074
pr_001335940,0.898501,0.000074
pr_001267900,0.898501,0.000074
pr_001331476,0.898501,0.000074
pr_001200923,0.898501,0.000074
pr_001383563,0.898501,0.000074
pr_002046906,0.898501,0.000074
pr_001361642,0.898501,0.000074
pr_001434437,0.898501,0.000074
pr_001313420,0.898501,0.000074
