Product ID : 7753 # of JPs covered : 2 : 97 : Healthcare, 303 : Health Business M&A, 
OID,Confidence at Map Node,Error at Map Node
us_000554851,0.997415,0.225259
us_000540144,0.997415,0.228637
us_000540156,0.997415,0.231859
us_000537341,0.997415,0.233723
us_000560629,0.997415,0.236561
us_000594566,0.997415,0.241166
us_000545568,0.997415,0.242642
us_000566012,0.997415,0.243726
us_000542724,0.997415,0.244710
us_000485452,0.997415,0.248086
us_000561685,0.997415,0.252539
us_000523551,0.997415,0.253923
us_000561347,0.997415,0.254312
us_000590617,0.997415,0.256529
us_000540458,0.997415,0.256755
us_000510146,0.997415,0.258443
us_000542807,0.997415,0.260731
us_000510520,0.997415,0.261227
us_000542784,0.997415,0.261990
us_000485422,0.997415,0.262919
us_000542811,0.997415,0.263057
us_000510596,0.997415,0.263160
us_000510349,0.997415,0.263510
us_000537347,0.997415,0.264476
us_000523573,0.997415,0.264746
us_000545801,0.997415,0.265397
us_000495511,0.997415,0.266287
us_000545826,0.997415,0.266400
us_000523584,0.997415,0.267394
us_000542733,0.997415,0.267468
us_000560677,0.997415,0.268330
us_000509603,0.997415,0.268421
us_000542749,0.997415,0.270091
us_000554905,0.997415,0.270158
us_000540272,0.997415,0.270344
us_000585927,0.997415,0.271402
us_000554954,0.997415,0.272523
us_000545752,0.997415,0.274568
us_000495415,0.997415,0.275987
us_000545653,0.997415,0.276947
us_000523562,0.997415,0.285259
us_000537764,0.997415,0.288005
us_000501252,0.997415,0.288523
us_000561365,0.997415,0.289026
us_000554763,0.997415,0.294869
us_000542722,0.997415,0.297890
us_000485416,0.997415,0.299332
us_000545456,0.997415,0.300996
us_000580266,0.997415,0.307324
us_000523575,0.997415,0.307794
us_000281745,0.997415,0.308281
us_000592902,0.997415,0.330132
us_000510403,0.997415,0.346215
us_000545862,0.997415,0.364264
us_000589976,0.997415,0.485963
us_000501285,0.997415,0.504166
us_000561674,0.997415,0.514571
us_000545470,0.997415,0.516824
us_000549376,0.997415,0.534830
us_000597734,0.997415,0.553774
us_000569028,0.997415,0.556251
us_000540454,0.997415,0.631883
us_000620044,0.997415,0.637293
us_000555602,0.997415,0.770599
us_000537487,0.997415,0.783122
us_000595371,0.997415,0.822374
us_000575169,0.997415,0.847816
us_000620048,0.997415,0.922160
us_000510469,0.997415,0.966290
us_000537330,0.997415,1.049083
us_000566050,0.997415,1.059678
us_000561300,0.997415,1.190101
us_000510330,0.997415,1.248613
us_000597117,0.997415,1.275793
us_000561669,0.997415,1.300290
us_000537448,0.997415,2.232645
us_000561389,0.969343,0.135671
us_000488506,0.933282,0.717366
us_000565889,0.933282,0.987271
us_000516767,0.933282,1.050390
us_000488545,0.933282,1.055240
us_000565892,0.933282,1.065907
us_000488550,0.933282,1.101752
us_000516774,0.933282,1.111302
us_000516775,0.933282,1.124321
us_000516830,0.933282,1.131633
us_000516828,0.933282,1.132337
us_000516831,0.933282,1.146313
us_000516832,0.933282,1.158561
us_000590274,0.933282,1.213185
us_000516621,0.933282,1.232637
us_000516620,0.933282,1.241912
us_000516622,0.933282,1.242580
us_000516841,0.933282,1.265810
us_000581698,0.933282,1.280004
us_000488510,0.933282,1.456517
us_000516647,0.933282,1.743448
us_000614393,0.933282,2.748458
us_000585675,0.919500,0.051184
us_000565467,0.919500,0.057160
us_000548785,0.919500,0.057198
us_000550663,0.919500,0.059848
us_000577656,0.919500,0.062135
us_000584231,0.919500,0.066538
us_000620931,0.919500,0.066556
us_000621187,0.919500,0.066824
us_000600100,0.919500,0.067141
us_000480829,0.919500,0.067264
us_000618602,0.919500,0.067790
us_000618503,0.919500,0.067820
us_000269593,0.919500,0.070570
us_000588956,0.919500,0.076823
us_000538331,0.919500,0.104167
us_000584229,0.919500,0.115961
us_000591026,0.919500,0.131852
us_000511840,0.919500,0.315889
us_000599231,0.919500,0.356055
us_000503663,0.919500,0.395274
us_000503052,0.919500,0.762554
us_000619999,0.919500,1.395192
us_000516597,0.907688,0.626039
us_000217019,0.907688,0.684266
us_000561394,0.907688,1.168408
us_000615361,0.907688,1.440859
us_000615192,0.901227,0.355145
us_000571521,0.816020,0.018517
us_000550095,0.816020,0.020190
us_000601079,0.816020,0.020429
us_000578312,0.816020,0.021076
us_000575219,0.816020,0.021505
us_000542695,0.816020,0.022511
us_000576333,0.816020,0.022788
us_000579508,0.816020,0.023838
us_000482650,0.816020,0.025633
us_000593413,0.816020,0.026262
us_000505919,0.816020,0.026275
us_000577190,0.816020,0.026524
us_000528465,0.816020,0.027066
us_000586102,0.816020,0.027395
us_000517663,0.816020,0.027474
us_000587282,0.816020,0.027695
us_000536006,0.816020,0.027705
us_000553470,0.816020,0.027790
us_000586450,0.816020,0.028158
us_000583068,0.816020,0.028413
us_000574630,0.816020,0.028945
us_000543782,0.816020,0.029177
us_000517216,0.816020,0.029195
us_000539893,0.816020,0.029397
us_000502967,0.816020,0.029512
us_000548803,0.816020,0.029663
us_000542671,0.816020,0.029741
us_000555662,0.816020,0.029943
us_000552841,0.816020,0.029992
us_000487088,0.816020,0.030222
us_000568593,0.816020,0.030366
us_000574672,0.816020,0.030384
us_000539673,0.816020,0.031079
