Product ID : 7834 # of JPs covered : 1 : 433 : Personal Injury-Trial-Strategies, 
OID,Confidence at Map Node,Error at Map Node
us_000621047,0.986679,1.280709
us_000621269,0.986679,2.054087
us_000621145,0.986679,2.190683
us_000587838,0.986679,2.389323
us_000621128,0.986679,2.421557
us_000621058,0.986679,2.452692
us_000620991,0.986679,2.868948
us_000598426,0.978985,0.854135
us_000558877,0.958597,0.050732
us_000588766,0.958597,0.057787
us_000511781,0.958597,0.060860
us_000615942,0.958597,0.062406
us_000584338,0.958597,0.062472
us_000587949,0.958597,0.062627
us_000608952,0.958597,0.064595
us_000617147,0.958597,0.064864
us_000593619,0.958597,0.066198
us_000587937,0.958597,0.066208
us_000489584,0.958597,0.066261
us_000616037,0.958597,0.067962
us_000592416,0.958597,0.068683
us_000592314,0.958597,0.069774
us_000618463,0.958597,0.073228
us_000574999,0.958597,0.073348
us_000578144,0.958597,0.073438
us_000619069,0.958597,0.073808
us_000575876,0.958597,0.074569
us_000618324,0.958597,0.074903
us_000615913,0.958597,0.075053
us_000600906,0.958597,0.076370
us_000616680,0.958597,0.076959
us_000614569,0.958597,0.076989
us_000622999,0.958597,0.077028
us_000596763,0.958597,0.078014
us_000616166,0.958597,0.078695
us_000533484,0.958597,0.079909
us_000486970,0.958597,0.080203
us_000595376,0.958597,0.080372
us_000579148,0.958597,0.080885
us_000619337,0.958597,0.081197
us_000575874,0.958597,0.081243
us_000608954,0.958597,0.081782
us_000574610,0.958597,0.083038
us_000615849,0.958597,0.084958
us_000575109,0.958597,0.085559
us_000486629,0.958597,0.087991
us_000489990,0.958597,0.089006
us_000475056,0.958597,0.090570
us_000574137,0.958597,0.091688
us_000598272,0.958597,0.092763
us_000618491,0.958597,0.104369
us_000592411,0.958597,0.109702
us_000591025,0.958597,0.124401
us_000615670,0.958597,0.134438
us_000573250,0.958597,0.137959
us_000512554,0.958597,0.139716
us_000620842,0.958597,0.146801
us_000489527,0.958597,0.168206
us_000619735,0.958597,0.180602
us_000616401,0.958597,0.197833
us_000616774,0.958597,0.202581
us_000588385,0.958597,0.212215
us_000616620,0.958597,0.214917
us_000512645,0.958597,0.275417
us_000485516,0.958597,0.305070
us_000615804,0.958597,0.328593
us_000614518,0.958597,0.340002
us_000600903,0.958597,0.363354
us_000599300,0.958597,0.397120
us_000544540,0.958597,0.464305
us_000595286,0.958597,0.464923
us_000614553,0.958597,0.514319
us_000598617,0.958597,0.693056
us_000620260,0.958597,0.714719
us_000487312,0.958597,0.721039
us_000582219,0.958597,0.854853
us_000596755,0.958597,1.311239
us_000596752,0.958597,2.028608
us_000594642,0.748215,0.088406
us_000588265,0.748215,0.092663
us_000613408,0.748215,0.100484
us_000589988,0.748215,0.102177
us_000574686,0.748215,0.102800
us_000554992,0.748215,0.104706
us_000555008,0.748215,0.105129
us_000623000,0.748215,0.105572
us_000585967,0.748215,0.107893
us_000612722,0.748215,0.108370
us_000614757,0.748215,0.112055
us_000593623,0.748215,0.115072
us_000612729,0.748215,0.116945
us_000620949,0.748215,0.122240
us_000620857,0.748215,0.170242
us_000555422,0.615300,0.034784
us_000622985,0.615300,0.034802
us_000563421,0.615300,0.034886
us_000557192,0.615300,0.036011
us_000562753,0.615300,0.036258
us_000562407,0.615300,0.036277
us_000600567,0.615300,0.046676
us_000562339,0.615300,0.049446
us_000593441,0.615300,0.051173
us_000552337,0.615300,0.054007
us_000552342,0.615300,0.054040
us_000585122,0.615300,0.054867
us_000553802,0.615300,0.057842
us_000591241,0.615300,0.062890
us_000615944,0.615300,0.063097
us_000600845,0.615300,0.070548
us_000567868,0.615300,0.070900
us_000567931,0.615300,0.072703
us_000599860,0.615300,0.181496
us_000600557,0.615300,0.662458
us_000566768,0.267103,0.013869
