Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 2 | Banking (jpg:2,idx:1)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.8980263,1.0,(15|21)
0.8026316,3.0,(14|24)
0.7821782,4.0,(12|24)
0.7777778,2.0,(15|24)
0.7338129,1.0,(16|22)
0.7197106,2.0,(11|22)
0.6900000,5.0,(13|24)
0.6516854,3.0,(14|22)
0.6250000,2.0,(11|26)
0.6078432,2.0,(11|25)
0.5890411,5.0,(13|23)
0.5888325,2.0,(14|25)
0.5858268,1.0,(12|27)
0.5813953,6.0,(21|23)
0.5362319,4.0,(12|23)
0.5357143,2.0,(10|22)
0.5268292,2.0,(13|25)
0.5043478,2.0,(12|21)
0.4797297,3.0,(13|22)
0.4718310,3.0,(11|23)
0.4623656,4.0,(15|23)
0.4486692,4.0,(10|23)
0.4076433,1.0,(15|22)
0.4000000,1.0,(12|26)
0.3838384,1.0,(11|28)
0.3750000,4.0,(11|24)
0.3487085,1.0,(14|27)
0.3371429,4.0,(11|27)
0.3333333,1.0,(14|26)
0.2800000,1.0,(12|28)
0.2619048,1.0,(11|21)
0.2619048,1.0,(12|22)
0.2542373,2.0,(9|23)
0.2500000,3.0,(10|26)
0.2396694,4.0,(7|44)
0.2307692,2.0,(14|0)
0.1923077,2.0,(11|48)
0.1875000,1.0,(16|47)
0.1875000,1.0,(16|48)
0.1750000,4.0,(12|25)
0.1621622,2.0,(10|25)
0.1594203,3.0,(16|23)
0.1428571,1.0,(13|27)
0.1428571,1.0,(21|24)
0.1406250,1.0,(15|27)
0.1388889,1.0,(9|26)
0.1363636,2.0,(13|26)
0.1308901,2.0,(10|27)
0.1260504,1.0,(10|24)
0.1250000,2.0,(10|43)
0.1176471,3.0,(14|23)
0.1047619,4.0,(9|46)
0.09941521,1.0,(15|26)
0.09523810,2.0,(11|29)
0.09189189,2.0,(16|26)
0.08750000,2.0,(9|21)
0.08695652,1.0,(14|28)
0.08333334,2.0,(11|37)
0.07901908,4.0,(24|27)
0.07692308,1.0,(9|28)
0.07142857,1.0,(10|40)
0.06666667,1.0,(12|12)
0.06547619,1.0,(13|28)
0.06382979,2.0,(31|48)
0.05825243,4.0,(9|34)
0.05555556,2.0,(6|45)
0.05555556,1.0,(7|14)
0.05555556,1.0,(9|14)
0.05263158,1.0,(11|32)
0.05263158,1.0,(28|6)
0.05263158,1.0,(28|10)
0.05172414,2.0,(9|20)
0.05000000,2.0,(22|0)
0.04761905,1.0,(13|2)
0.04663213,2.0,(17|48)
0.04629629,3.0,(7|45)
0.04615385,2.0,(13|30)
0.04255319,1.0,(9|30)
0.04123711,3.0,(7|42)
0.04123711,3.0,(7|43)
0.04123711,2.0,(8|49)
0.04109589,3.0,(17|37)
0.04000000,3.0,(4|43)
0.04000000,3.0,(5|44)
0.03947368,1.0,(10|28)
0.03937008,2.0,(10|21)
0.03809524,2.0,(10|33)
0.03703704,2.0,(4|19)
0.03703704,1.0,(9|11)
0.03488372,1.0,(19|4)
0.03448276,3.0,(10|35)
0.03325416,3.0,(21|33)
0.03225806,1.0,(21|17)
0.03174603,2.0,(5|18)
0.03157895,1.0,(16|49)
0.03086420,2.0,(9|37)
0.03086420,2.0,(10|37)
0.03053435,2.0,(8|41)
0.02985075,2.0,(5|43)
0.02972028,3.0,(8|42)
0.02777778,1.0,(9|33)
0.02727273,2.0,(12|31)
0.02710843,2.0,(12|1)
0.02710843,2.0,(13|49)
0.02673797,2.0,(18|0)
0.02649007,1.0,(10|12)
0.02622951,3.0,(10|13)
0.02577320,3.0,(11|49)
0.02564103,2.0,(21|5)
0.02525252,1.0,(12|41)
0.02479339,2.0,(17|27)
0.02348337,5.0,(27|5)
0.02255639,2.0,(24|30)
0.02202643,1.0,(9|40)
0.02179177,3.0,(15|48)
0.02173913,2.0,(45|24)
0.02173913,2.0,(45|25)
0.02150538,2.0,(12|49)
0.02127660,1.0,(8|26)
0.02127660,1.0,(11|0)
0.02083333,1.0,(9|36)
0.02083333,2.0,(18|1)
0.01904762,1.0,(11|4)
0.01895735,2.0,(13|40)
0.01892745,1.0,(18|7)
0.01886792,1.0,(7|33)
0.01869159,2.0,(1|32)
0.01869159,2.0,(18|2)
0.01843318,2.0,(48|29)
0.01818182,2.0,(10|45)
0.01818182,1.0,(17|0)
0.01807229,1.0,(23|23)
0.01805869,2.0,(8|14)
0.01801802,2.0,(8|21)
0.01785714,4.0,(28|2)
0.01754386,1.0,(2|17)
0.01739130,1.0,(8|46)
0.01724138,1.0,(9|25)
0.01694915,2.0,(16|39)
0.01639344,1.0,(22|4)
0.01612903,1.0,(14|30)
0.01587302,1.0,(10|32)
0.01572327,2.0,(27|15)
0.01562500,3.0,(9|13)
0.01533742,1.0,(13|38)
0.01498127,2.0,(8|16)
0.01498127,2.0,(9|16)
0.01492537,1.0,(7|49)
0.01492537,3.0,(21|1)
0.01470588,1.0,(10|36)
0.01459854,3.0,(11|15)
0.01435407,2.0,(6|38)
0.01428571,1.0,(16|2)
0.01388889,1.0,(30|48)
0.01369863,1.0,(1|7)
0.01369863,1.0,(7|20)
0.01333333,1.0,(12|32)
0.01333333,1.0,(46|31)
0.01324503,2.0,(30|3)
0.01315789,2.0,(9|48)
0.01298701,1.0,(17|3)
0.01293103,2.0,(26|11)
0.01285347,3.0,(26|27)
0.01282051,1.0,(5|13)
0.01282051,2.0,(12|33)
0.01255230,1.0,(11|41)
0.01255230,2.0,(34|48)
0.01212121,3.0,(12|35)
0.01204819,2.0,(17|28)
0.01200000,1.0,(15|33)
0.01186944,2.0,(25|31)
0.01176471,4.0,(22|12)
0.01162791,1.0,(11|47)
0.01162791,1.0,(12|48)
0.01162791,2.0,(14|49)
0.01149425,1.0,(0|16)
0.01149425,2.0,(6|40)
0.01149425,2.0,(7|40)
0.01149425,2.0,(7|41)
0.01098901,3.0,(15|2)
0.01092896,1.0,(10|18)
0.01084011,2.0,(27|7)
0.01083033,1.0,(29|4)
0.01081081,1.0,(15|38)
0.01069519,2.0,(28|9)
0.01063830,1.0,(5|32)
0.01063830,1.0,(30|47)
0.01025641,1.0,(19|0)
0.01010101,1.0,(16|40)
0.009900990,1.0,(8|32)
0.009803922,2.0,(19|24)
0.009708738,1.0,(10|49)
0.009523810,1.0,(10|2)
0.009259259,1.0,(10|5)
0.009202454,3.0,(26|31)
0.009174312,1.0,(13|31)
0.009090909,1.0,(16|28)
0.009009009,1.0,(8|1)
0.008968610,2.0,(26|7)
0.008771930,1.0,(48|6)
0.008733625,2.0,(11|33)
0.008620690,1.0,(37|5)
0.008583691,1.0,(27|47)
0.008547009,1.0,(9|38)
0.008547009,2.0,(29|48)
0.008474576,1.0,(2|24)
0.008298756,1.0,(41|15)
0.008264462,2.0,(13|39)
0.008196721,1.0,(42|12)
0.008064516,1.0,(15|37)
0.008064516,1.0,(26|48)
0.007915568,2.0,(25|11)
0.007751938,1.0,(14|2)
0.007751938,1.0,(46|28)
0.007692308,1.0,(6|22)
0.007547170,1.0,(25|49)
0.007407407,1.0,(43|4)
0.007352941,1.0,(19|10)
0.007317073,2.0,(36|19)
0.007299270,1.0,(26|8)
0.007246377,1.0,(4|18)
0.007246377,2.0,(13|35)
0.006944444,1.0,(26|12)
0.006896552,1.0,(16|29)
0.006849315,2.0,(31|16)
0.006802721,1.0,(13|3)
0.006578947,2.0,(13|37)
0.006535948,1.0,(9|32)
0.006451613,3.0,(5|20)
0.006451613,3.0,(6|19)
0.006451613,1.0,(20|35)
0.006410256,1.0,(27|48)
0.006289308,1.0,(18|38)
0.006211180,1.0,(30|4)
0.006172840,2.0,(46|17)
0.006024096,1.0,(25|30)
0.005882353,1.0,(23|14)
0.005780347,1.0,(21|32)
0.005639098,2.0,(21|35)
0.005586592,1.0,(5|22)
0.005586592,1.0,(8|45)
0.005586592,1.0,(9|45)
0.005571031,2.0,(12|46)
0.005504587,2.0,(29|5)
0.005494506,1.0,(24|3)
0.005464481,1.0,(7|27)
0.005434783,1.0,(8|24)
0.005434783,1.0,(37|6)
0.005319149,1.0,(11|5)
0.005181347,1.0,(22|30)
0.005128205,1.0,(46|25)
0.005063291,2.0,(9|3)
0.004901961,1.0,(15|29)
0.004608295,1.0,(30|20)
0.004555809,2.0,(24|37)
0.004494382,2.0,(49|33)
0.004405286,1.0,(24|31)
0.004405286,1.0,(24|49)
0.004329004,1.0,(4|31)
0.004310345,1.0,(12|40)
0.004210526,2.0,(18|18)
0.004201681,1.0,(10|11)
0.004149378,1.0,(23|13)
0.004098360,1.0,(3|31)
0.004098360,1.0,(5|34)
0.004065040,1.0,(9|41)
0.004000000,1.0,(8|28)
0.003952569,1.0,(32|12)
0.003906250,1.0,(28|40)
0.003875969,2.0,(15|30)
0.003802281,1.0,(7|46)
0.003731343,1.0,(5|36)
0.003724395,2.0,(25|28)
0.003703704,1.0,(8|23)
0.003610108,2.0,(19|36)
0.003597122,1.0,(24|22)
0.003597122,2.0,(46|34)
0.003584229,1.0,(13|36)
0.003539823,2.0,(15|32)
0.003484321,1.0,(16|9)
0.003472222,1.0,(8|19)
0.003322259,1.0,(43|7)
0.003289474,1.0,(22|25)
0.003257329,1.0,(7|21)
0.003225806,1.0,(25|48)
0.003154574,1.0,(35|4)
0.003134796,1.0,(27|27)
0.003021148,1.0,(27|36)
0.002967359,1.0,(30|43)
0.002949852,1.0,(28|13)
0.002941177,1.0,(19|34)
0.002898551,1.0,(12|10)
0.002832861,1.0,(26|30)
0.002824859,1.0,(10|30)
0.002812939,1.0,(32|9)
0.002717391,1.0,(21|0)
0.002713704,1.0,(20|23)
0.002702703,1.0,(17|26)
0.002702703,1.0,(18|16)
0.002631579,1.0,(25|47)
0.002631579,1.0,(46|24)
0.002583979,1.0,(17|8)
0.002544529,2.0,(6|46)
0.002531646,1.0,(31|44)
0.002475247,1.0,(1|10)
0.002409639,1.0,(17|40)
0.002372479,1.0,(14|3)
0.002341920,1.0,(23|32)
0.002242153,2.0,(28|48)
0.002053388,1.0,(27|19)
0.002020202,1.0,(20|38)
0.001972387,1.0,(40|17)
0.001901141,1.0,(19|28)
0.001876173,1.0,(10|6)
0.001872659,1.0,(23|3)
0.001872659,1.0,(23|4)
0.001869159,1.0,(18|11)
0.001848429,1.0,(16|20)
0.001785714,1.0,(20|26)
0.001754386,1.0,(15|34)
0.001529052,1.0,(31|21)
0.001410437,1.0,(19|31)
0.001162791,1.0,(16|32)
0.0009425071,1.0,(25|12)
