Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 9 | Corporate Law (jpg:9,idx:7)
Catgory Probability,Ex Count at BMU,BMU Map Loc
1.000000,2.0,(12|44)
0.9250842,1.0,(29|24)
0.8750000,3.0,(23|29)
0.8009050,2.0,(25|26)
0.7476038,3.0,(22|28)
0.7429578,5.0,(20|33)
0.7284403,4.0,(25|27)
0.7243948,7.0,(25|28)
0.7180451,3.0,(24|30)
0.6956522,1.0,(28|24)
0.6848485,5.0,(24|29)
0.6730769,3.0,(23|27)
0.6730769,3.0,(24|26)
0.6473988,4.0,(21|28)
0.5795796,5.0,(22|29)
0.5059382,4.0,(21|33)
0.5000000,1.0,(14|21)
0.5000000,1.0,(29|23)
0.5000000,1.0,(29|30)
0.5000000,2.0,(31|20)
0.4285714,2.0,(21|34)
0.4172185,3.0,(22|33)
0.4042553,5.0,(24|28)
0.4000000,3.0,(26|28)
0.3750000,3.0,(9|47)
0.3693694,11.0,(17|39)
0.3636364,2.0,(22|32)
0.3333333,1.0,(14|26)
0.3333333,1.0,(18|5)
0.3333333,1.0,(19|6)
0.3333333,1.0,(44|13)
0.3214286,1.0,(24|25)
0.3007335,2.0,(29|28)
0.2857143,1.0,(23|28)
0.2658960,4.0,(21|32)
0.2435897,4.0,(21|27)
0.2272727,3.0,(29|11)
0.2033898,3.0,(29|43)
0.2000000,2.0,(4|23)
0.1825397,4.0,(21|29)
0.1818182,2.0,(13|26)
0.1754386,6.0,(4|11)
0.1750000,1.0,(6|21)
0.1728395,2.0,(27|45)
0.1666667,1.0,(10|10)
0.1582734,2.0,(26|32)
0.1475410,1.0,(28|3)
0.1475410,1.0,(29|2)
0.1428571,3.0,(10|24)
0.1428571,1.0,(32|21)
0.1398964,3.0,(22|30)
0.1365639,4.0,(24|31)
0.1323529,2.0,(13|1)
0.1276596,5.0,(31|48)
0.1250000,1.0,(3|36)
0.1250000,1.0,(3|39)
0.1250000,1.0,(35|7)
0.1224490,2.0,(20|2)
0.1219512,2.0,(22|27)
0.1203704,4.0,(17|38)
0.1200000,4.0,(5|11)
0.1176471,3.0,(3|12)
0.1150000,3.0,(21|26)
0.1150000,3.0,(23|26)
0.1142857,1.0,(25|36)
0.1126761,5.0,(4|13)
0.1092437,1.0,(17|23)
0.1071429,2.0,(25|0)
0.1052632,2.0,(27|49)
0.1038961,3.0,(13|44)
0.1025641,2.0,(1|22)
0.1000000,1.0,(23|0)
0.09900990,4.0,(11|16)
0.09845288,2.0,(30|24)
0.09734514,2.0,(19|30)
0.09677419,2.0,(26|48)
0.09433962,1.0,(10|1)
0.08874172,1.0,(21|25)
0.08874172,1.0,(23|25)
0.08791209,4.0,(3|11)
0.08695652,2.0,(14|11)
0.08536585,4.0,(48|22)
0.08333334,6.0,(28|2)
0.08108108,2.0,(48|10)
0.08080808,2.0,(11|28)
0.07692308,1.0,(0|12)
0.07500000,1.0,(9|21)
0.07476635,2.0,(15|35)
0.07462686,4.0,(5|43)
0.07453416,5.0,(2|13)
0.07407407,2.0,(10|16)
0.07407407,2.0,(49|11)
0.07189543,5.0,(21|30)
0.07142857,2.0,(19|49)
0.07142857,4.0,(27|3)
0.06918239,4.0,(18|38)
0.06896552,2.0,(8|43)
0.06666667,1.0,(22|14)
0.06493507,2.0,(25|29)
0.06410257,4.0,(20|34)
0.06382979,4.0,(30|47)
0.06349207,1.0,(11|29)
0.06349207,2.0,(12|2)
0.06306306,2.0,(8|21)
0.06250000,1.0,(1|9)
0.06232294,5.0,(26|30)
0.06185567,2.0,(12|9)
0.06153846,3.0,(8|48)
0.06122449,1.0,(13|21)
0.06060606,2.0,(13|48)
0.06060606,2.0,(22|1)
0.05925926,4.0,(30|44)
0.05882353,2.0,(33|19)
0.05882353,1.0,(34|14)
0.05786350,7.0,(25|31)
0.05714286,2.0,(4|20)
0.05714286,2.0,(30|49)
0.05673759,5.0,(29|44)
0.05642633,4.0,(27|27)
0.05579399,2.0,(27|47)
0.05555556,1.0,(7|14)
0.05555556,1.0,(9|14)
0.05555556,2.0,(9|33)
0.05494506,3.0,(22|31)
0.05494506,3.0,(24|3)
0.05449591,5.0,(24|27)
0.05405406,3.0,(1|14)
0.05405406,3.0,(24|1)
0.05405406,2.0,(49|21)
0.05263158,2.0,(9|24)
0.05240175,4.0,(10|17)
0.05098039,3.0,(31|46)
0.05050505,1.0,(45|11)
0.04938272,2.0,(42|19)
0.04838710,3.0,(25|48)
0.04761905,2.0,(1|6)
0.04761905,2.0,(8|44)
0.04761905,3.0,(9|46)
0.04761905,2.0,(11|21)
0.04761905,2.0,(11|40)
0.04761905,2.0,(12|22)
0.04761905,2.0,(13|28)
0.04761905,2.0,(18|37)
0.04705882,2.0,(3|37)
0.04687500,2.0,(4|22)
0.04615385,3.0,(26|49)
0.04605263,2.0,(22|25)
0.04597701,4.0,(6|40)
0.04597701,4.0,(7|40)
0.04597701,4.0,(7|41)
0.04597701,1.0,(24|48)
0.04566210,2.0,(23|1)
0.04558405,1.0,(29|48)
0.04487180,1.0,(27|48)
0.04484305,4.0,(8|12)
0.04444445,3.0,(6|45)
0.04444445,2.0,(11|8)
