Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 10 | Healthcare Business (jpg:10,idx:8)
Catgory Probability,Ex Count at BMU,BMU Map Loc
1.000000,1.0,(11|2)
1.000000,1.0,(26|3)
1.000000,1.0,(27|4)
1.000000,2.0,(35|21)
1.000000,1.0,(45|21)
0.9820789,7.0,(44|16)
0.9802371,4.0,(46|19)
0.9745042,1.0,(46|20)
0.9743590,1.0,(33|22)
0.9741848,1.0,(43|20)
0.9711246,2.0,(44|19)
0.9703704,2.0,(45|19)
0.9589510,2.0,(34|21)
0.9558824,1.0,(47|20)
0.9530202,2.0,(47|18)
0.9507042,3.0,(48|19)
0.9354839,3.0,(44|18)
0.9341317,2.0,(47|19)
0.9263158,3.0,(46|18)
0.9256410,8.0,(35|19)
0.9256410,8.0,(35|20)
0.9253731,2.0,(49|19)
0.9125000,1.0,(45|20)
0.9074074,1.0,(43|19)
0.9043478,10.0,(5|14)
0.9032258,3.0,(34|19)
0.8894601,9.0,(45|16)
0.8814229,1.0,(48|20)
0.8684211,6.0,(1|12)
0.8666667,5.0,(6|15)
0.8633093,1.0,(33|21)
0.8617021,8.0,(2|12)
0.8591549,1.0,(44|20)
0.8550724,8.0,(3|21)
0.8529412,7.0,(45|17)
0.8414634,4.0,(45|18)
0.8409091,9.0,(5|16)
0.8372093,6.0,(3|14)
0.8367347,3.0,(0|19)
0.8333333,5.0,(7|13)
0.8233533,6.0,(6|12)
0.8231707,3.0,(49|18)
0.8220339,4.0,(2|19)
0.8217054,2.0,(49|20)
0.8086420,8.0,(46|17)
0.8041237,7.0,(46|16)
0.8035714,2.0,(2|18)
0.8000000,1.0,(42|20)
0.7993311,2.0,(48|17)
0.7906977,5.0,(1|18)
0.7878788,9.0,(6|14)
0.7638484,2.0,(34|20)
0.7500000,3.0,(47|17)
0.7484277,2.0,(48|18)
0.7472924,10.0,(4|14)
0.7377049,7.0,(4|16)
0.7297297,6.0,(3|16)
0.7297297,3.0,(49|21)
0.7259259,10.0,(5|15)
0.7200000,4.0,(0|18)
0.6944444,7.0,(1|13)
0.6923077,3.0,(2|21)
0.6842105,4.0,(2|17)
0.6811594,4.0,(4|18)
0.6778523,4.0,(2|20)
0.6696035,2.0,(47|16)
0.6666667,4.0,(6|16)
0.6666667,2.0,(15|0)
0.6545961,9.0,(5|12)
0.6545961,9.0,(6|13)
0.6257485,2.0,(49|16)
0.6250000,3.0,(46|15)
0.6237624,2.0,(3|19)
0.6211180,7.0,(2|13)
0.6206896,6.0,(44|17)
0.6140351,7.0,(4|21)
0.6111111,10.0,(4|15)
0.6047904,3.0,(0|17)
0.5915493,2.0,(48|16)
0.5851064,2.0,(1|16)
0.5689655,6.0,(2|16)
0.5588235,4.0,(1|19)
0.5533981,7.0,(10|49)
0.5500000,2.0,(1|20)
0.5348837,3.0,(49|17)
0.5193799,3.0,(1|17)
0.5116279,8.0,(3|13)
0.5000000,1.0,(42|4)
0.4748603,8.0,(2|15)
0.4629630,2.0,(4|19)
0.4502618,6.0,(45|15)
0.4411765,5.0,(3|12)
0.4402421,1.0,(45|13)
0.4324324,4.0,(1|14)
0.4285714,2.0,(6|17)
0.4230769,3.0,(3|22)
0.4201183,6.0,(3|15)
0.3976378,1.0,(46|13)
0.3924051,6.0,(0|20)
0.3907285,6.0,(5|17)
0.3902439,2.0,(44|14)
0.3875000,8.0,(30|1)
0.3837209,4.0,(24|47)
0.3684210,3.0,(44|15)
0.3680556,6.0,(2|14)
0.3678161,4.0,(0|16)
0.3655914,6.0,(4|17)
0.3636364,1.0,(43|21)
0.3459119,2.0,(0|15)
0.3378378,8.0,(4|12)
0.3333333,2.0,(5|21)
0.3291925,1.0,(46|14)
0.3216374,5.0,(3|20)
0.3166667,2.0,(3|18)
0.3164557,1.0,(47|13)
0.3108108,2.0,(47|14)
