Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 12 | Insurance Non-Litigation (jpg:12,idx:9)
Catgory Probability,Ex Count at BMU,BMU Map Loc
1.000000,1.0,(18|4)
1.000000,1.0,(30|22)
0.9754386,3.0,(25|16)
0.9714674,2.0,(25|15)
0.9564831,2.0,(24|16)
0.9090909,3.0,(29|22)
0.8761062,1.0,(28|22)
0.8380282,2.0,(23|16)
0.8235294,2.0,(24|15)
0.7962382,3.0,(15|7)
0.7578948,2.0,(16|6)
0.7411765,3.0,(24|17)
0.7398374,2.0,(16|5)
0.7391304,2.0,(23|15)
0.7096774,2.0,(24|14)
0.6258503,2.0,(24|18)
0.6258503,2.0,(25|17)
0.6232877,3.0,(14|6)
0.6013986,2.0,(14|5)
0.5625000,3.0,(17|5)
0.5391849,2.0,(15|6)
0.5039370,2.0,(18|3)
0.5000000,1.0,(29|23)
0.4666667,2.0,(12|7)
0.4651163,2.0,(19|3)
0.4648829,2.0,(15|4)
0.4418605,3.0,(18|6)
0.4277457,3.0,(16|4)
0.4133333,2.0,(17|4)
0.4045307,2.0,(14|4)
0.4000000,1.0,(6|20)
0.3925234,2.0,(18|2)
0.3894737,2.0,(14|7)
0.3604651,1.0,(19|4)
0.3513514,1.0,(19|5)
0.3489933,2.0,(15|5)
0.3454545,2.0,(17|2)
0.3364929,2.0,(24|12)
0.3333333,2.0,(13|2)
0.3333333,1.0,(33|14)
0.3260870,1.0,(20|4)
0.3260870,1.0,(20|5)
0.3200000,3.0,(29|21)
0.3161034,1.0,(24|19)
0.3161034,1.0,(25|19)
0.3150685,3.0,(7|20)
0.3076923,2.0,(16|7)
0.3030303,2.0,(17|6)
0.2768362,2.0,(16|3)
0.2727273,2.0,(17|3)
0.2695652,2.0,(15|8)
0.2692308,1.0,(13|7)
0.2608696,2.0,(15|1)
0.2534562,2.0,(30|20)
0.2500000,2.0,(7|14)
0.2500000,2.0,(9|14)
0.2500000,1.0,(26|18)
0.2380383,1.0,(13|6)
0.2276423,2.0,(15|3)
0.2139037,3.0,(14|8)
0.2000000,1.0,(18|5)
0.2000000,1.0,(19|6)
0.2000000,2.0,(23|14)
0.2000000,2.0,(26|19)
0.2000000,2.0,(28|15)
0.2000000,1.0,(28|21)
0.1985816,2.0,(14|9)
0.1935484,2.0,(5|2)
0.1897436,3.0,(13|8)
0.1785714,2.0,(16|30)
0.1755319,2.0,(8|47)
0.1736842,2.0,(17|7)
0.1704545,2.0,(18|9)
0.1666667,2.0,(16|8)
0.1627907,1.0,(14|2)
0.1617647,2.0,(13|1)
0.1612903,2.0,(12|3)
0.1612447,2.0,(25|18)
0.1587302,2.0,(12|2)
0.1575092,2.0,(15|2)
0.1555556,2.0,(19|2)
0.1546961,2.0,(13|9)
0.1523810,3.0,(11|4)
0.1505376,2.0,(17|1)
0.1495327,2.0,(20|3)
0.1481481,2.0,(12|4)
0.1428571,2.0,(16|2)
0.1372549,2.0,(18|19)
0.1333333,2.0,(11|8)
0.1330798,2.0,(20|6)
0.1324503,3.0,(10|12)
0.1309091,2.0,(12|5)
0.1304348,2.0,(14|11)
0.1237113,2.0,(8|49)
0.1195652,2.0,(14|48)
0.1176471,1.0,(13|47)
0.1176471,2.0,(23|5)
0.1147541,1.0,(28|3)
0.1147541,1.0,(29|2)
0.1134021,2.0,(12|9)
0.1095890,2.0,(30|21)
0.1092437,2.0,(10|11)
0.1071429,2.0,(10|26)
0.1071429,2.0,(14|12)
0.1052632,1.0,(13|5)
0.1025641,2.0,(23|12)
0.1022727,2.0,(13|17)
0.1000000,2.0,(7|48)
0.09883721,2.0,(14|49)
0.09498680,2.0,(25|11)
0.09090909,1.0,(29|11)
0.08771930,2.0,(5|21)
0.08759124,2.0,(26|8)
0.08695652,1.0,(22|13)
0.08695652,2.0,(26|16)
0.08333334,2.0,(17|31)
0.08333334,2.0,(18|30)
0.08176101,2.0,(13|12)
0.08000000,1.0,(18|8)
0.07861635,2.0,(27|15)
0.07857143,2.0,(11|3)
0.07692308,1.0,(0|12)
0.07692308,1.0,(14|0)
0.07692308,2.0,(17|9)
0.07303371,2.0,(13|13)
0.07142857,2.0,(14|10)
0.07142857,1.0,(16|14)
0.06629834,2.0,(6|47)
0.06481481,2.0,(10|5)
0.06481481,2.0,(22|5)
0.06382979,2.0,(24|5)
0.06276151,2.0,(13|4)
0.06250000,1.0,(4|22)
0.06153846,2.0,(8|48)
0.06060606,2.0,(22|1)
0.05882353,1.0,(17|10)
0.05797102,2.0,(12|10)
0.05722071,2.0,(24|27)
0.05714286,1.0,(29|3)
0.05691057,2.0,(9|41)
0.05544148,2.0,(27|19)
0.05511811,2.0,(13|15)
0.05405406,1.0,(4|5)
0.05286344,2.0,(7|0)
0.05286344,2.0,(7|1)
0.05263158,2.0,(16|49)
0.05167959,2.0,(17|8)
0.05133690,2.0,(25|14)
0.05128205,1.0,(21|7)
0.05084746,1.0,(6|48)
0.05063291,3.0,(11|7)
0.05063291,2.0,(23|37)
0.05054152,2.0,(18|13)
0.05000000,1.0,(11|24)
0.05000000,1.0,(15|9)
0.05000000,2.0,(26|15)
0.04854369,2.0,(21|12)
0.04842615,2.0,(17|30)
0.04731861,3.0,(11|9)
0.04672897,2.0,(25|9)
0.04608295,2.0,(19|18)
0.04511278,2.0,(7|47)
0.04504504,2.0,(6|23)
0.04444445,1.0,(7|2)
0.04421769,2.0,(13|3)
0.04395605,1.0,(21|9)
0.04347826,2.0,(23|48)
0.04255319,2.0,(11|0)
0.04242424,2.0,(7|8)
0.04216867,2.0,(12|1)
0.04216867,2.0,(13|49)
0.04166667,2.0,(18|1)
0.04166667,1.0,(25|10)
0.04166667,2.0,(26|12)
0.04132231,2.0,(21|11)
0.04104478,2.0,(21|1)
0.04081633,1.0,(0|10)
0.04071247,2.0,(6|46)
0.04035874,2.0,(26|7)
0.04026845,2.0,(15|10)
0.03947368,2.0,(9|48)
0.03886926,2.0,(24|38)
0.03800000,2.0,(13|10)
0.03799655,2.0,(29|19)
0.03785489,2.0,(18|7)
0.03773585,1.0,(10|1)
0.03655914,2.0,(5|20)
0.03655914,2.0,(6|19)
0.03603604,2.0,(8|1)
0.03578947,2.0,(18|18)
0.03571429,2.0,(14|1)
0.03571429,2.0,(24|32)
0.03524229,2.0,(9|40)
0.03521127,1.0,(11|23)
0.03512015,2.0,(16|20)
0.03508772,2.0,(10|7)
0.03500000,1.0,(21|26)
0.03500000,1.0,(23|26)
0.03448276,1.0,(16|1)
0.03409091,1.0,(5|9)
0.03401361,2.0,(11|6)
0.03361345,2.0,(13|27)
0.03333334,1.0,(22|11)
0.03333334,2.0,(28|41)
0.03317536,2.0,(23|9)
0.03225806,2.0,(13|16)
0.03225806,2.0,(19|8)
0.03225806,1.0,(19|12)
0.03061225,2.0,(10|3)
0.03058104,2.0,(17|18)
0.03053435,2.0,(8|0)
0.03053435,2.0,(9|4)
0.03030303,1.0,(6|1)
0.03017241,2.0,(26|11)
0.03000000,2.0,(32|15)
0.02989130,2.0,(21|0)
0.02985075,2.0,(16|12)
0.02961276,2.0,(24|37)
0.02941176,1.0,(25|38)
0.02898551,2.0,(7|9)
0.02839117,2.0,(30|15)
0.02835052,2.0,(11|49)
0.02826087,1.0,(28|20)
0.02816901,2.0,(4|13)
0.02803738,1.0,(12|6)
0.02777778,2.0,(30|48)
0.02739726,1.0,(11|12)
0.02673797,1.0,(18|0)
0.02666667,1.0,(7|7)
0.02666667,2.0,(19|9)
0.02663438,2.0,(15|48)
0.02631579,2.0,(33|4)
0.02611940,2.0,(5|36)
0.02590674,2.0,(17|48)
0.02580645,2.0,(16|17)
0.02553191,2.0,(13|18)
0.02500000,1.0,(6|21)
0.02500000,1.0,(8|22)
0.02469136,2.0,(3|29)
0.02469136,1.0,(9|5)
0.02459016,2.0,(15|11)
0.02439024,2.0,(23|11)
0.02427184,2.0,(12|8)
0.02409638,1.0,(29|16)
0.02397260,2.0,(18|10)
0.02395210,2.0,(49|15)
0.02380952,2.0,(2|7)
0.02380952,2.0,(24|25)
0.02343750,2.0,(7|12)
0.02307692,1.0,(13|11)
0.02307692,2.0,(19|0)
0.02298851,2.0,(24|48)
0.02251407,2.0,(10|6)
0.02234637,2.0,(8|45)
0.02234637,2.0,(9|45)
0.02228412,2.0,(12|46)
0.02222222,2.0,(0|33)
0.02222222,2.0,(6|45)
0.02222222,1.0,(15|25)
0.02208835,2.0,(22|26)
0.02197802,2.0,(22|7)
0.02179177,2.0,(22|3)
0.02173913,1.0,(22|16)
0.02173913,1.0,(23|8)
0.02168022,2.0,(27|7)
0.02166065,1.0,(29|4)
0.02166065,1.0,(29|15)
0.02155172,1.0,(25|13)
0.02127660,2.0,(16|13)
0.02117647,2.0,(22|12)
0.02066116,2.0,(26|5)
0.02051282,2.0,(20|9)
0.02040816,2.0,(15|16)
0.02040816,1.0,(20|2)
0.02040816,1.0,(31|15)
0.02027027,1.0,(13|22)
0.01980198,1.0,(11|16)
0.01963746,2.0,(27|13)
0.01960784,1.0,(19|11)
0.01948052,2.0,(49|12)
0.01941748,1.0,(0|6)
0.01937984,2.0,(15|30)
0.01923077,2.0,(23|27)
0.01923077,2.0,(24|26)
0.01869159,2.0,(18|11)
0.01851852,2.0,(5|48)
0.01851852,2.0,(7|45)
0.01818182,2.0,(10|45)
0.01818182,1.0,(17|0)
0.01793722,2.0,(14|19)
0.01793722,2.0,(31|5)
0.01785714,2.0,(24|6)
0.01771337,2.0,(9|12)
0.01754386,1.0,(29|13)
0.01754386,1.0,(48|6)
0.01748252,2.0,(32|8)
0.01724138,1.0,(7|5)
0.01702128,1.0,(13|32)
0.01694915,1.0,(41|3)
0.01687764,2.0,(32|9)
0.01675978,2.0,(5|22)
0.01652892,2.0,(7|44)
0.01652892,2.0,(14|16)
0.01652892,2.0,(43|31)
0.01651376,2.0,(29|5)
0.01639344,1.0,(26|4)
0.01630435,1.0,(37|6)
0.01627486,2.0,(11|22)
0.01626016,2.0,(30|10)
0.01612903,1.0,(26|48)
0.01602262,1.0,(25|12)
0.01600000,1.0,(49|24)
0.01581028,2.0,(32|12)
0.01574803,1.0,(10|21)
0.01574803,2.0,(46|26)
0.01570681,1.0,(20|13)
0.01565558,2.0,(27|5)
0.01562500,2.0,(25|6)
0.01542111,2.0,(14|3)
0.01538462,1.0,(24|7)
0.01520913,2.0,(7|46)
0.01515152,2.0,(4|32)
0.01492537,1.0,(15|20)
0.01492537,1.0,(21|8)
0.01492537,2.0,(27|9)
0.01492537,1.0,(48|9)
0.01492537,1.0,(49|19)
0.01485149,1.0,(8|10)
0.01481481,1.0,(45|19)
0.01474926,2.0,(28|13)
0.01470588,2.0,(19|10)
0.01459854,1.0,(4|9)
0.01449275,2.0,(12|21)
0.01449275,1.0,(20|7)
0.01446281,2.0,(16|21)
0.01443001,2.0,(7|23)
0.01438849,1.0,(6|9)
0.01436782,2.0,(32|3)
0.01431981,2.0,(26|14)
0.01428571,1.0,(26|28)
0.01425439,2.0,(22|25)
0.01388889,1.0,(4|30)
0.01384083,2.0,(30|7)
0.01373626,2.0,(5|23)
0.01369863,1.0,(1|7)
0.01369863,1.0,(5|7)
0.01369863,1.0,(7|11)
0.01369863,2.0,(8|20)
0.01369863,2.0,(31|16)
0.01369863,2.0,(47|22)
0.01351351,1.0,(1|14)
0.01351351,1.0,(10|25)
0.01321586,2.0,(24|31)
0.01315789,1.0,(4|37)
0.01311475,2.0,(28|17)
0.01303538,2.0,(25|28)
0.01250000,2.0,(15|19)
0.01244813,1.0,(23|13)
0.01234568,1.0,(4|15)
0.01234568,1.0,(26|35)
0.01217862,2.0,(28|14)
0.01204819,2.0,(15|36)
0.01200000,2.0,(16|16)
0.01197605,1.0,(9|2)
0.01190476,1.0,(13|28)
0.01190476,2.0,(28|2)
0.01142857,1.0,(12|28)
0.01133144,2.0,(26|30)
0.01129944,2.0,(6|7)
0.01128668,1.0,(8|14)
0.01123596,2.0,(23|3)
0.01123596,2.0,(23|4)
0.01098901,1.0,(47|10)
0.01092896,2.0,(30|5)
0.01086957,1.0,(8|24)
0.01086957,1.0,(27|20)
0.01063830,1.0,(5|32)
0.01063830,1.0,(11|5)
0.01045296,2.0,(16|9)
0.01041667,1.0,(7|19)
0.01041667,2.0,(9|13)
0.01036269,1.0,(8|7)
0.01028278,2.0,(26|27)
0.01025641,2.0,(14|18)
0.01005025,1.0,(16|18)
0.01005025,1.0,(17|19)
0.009933775,1.0,(34|11)
0.009920635,2.0,(13|19)
0.009836066,2.0,(10|13)
0.009803922,1.0,(15|29)
0.009756098,2.0,(13|25)
0.009708738,1.0,(9|34)
0.009708738,1.0,(31|7)
0.009646302,1.0,(21|16)
0.009549796,2.0,(23|7)
0.009345794,1.0,(3|6)
0.009302326,2.0,(19|33)
0.009287925,1.0,(29|9)
0.009259259,1.0,(21|3)
0.009174312,1.0,(31|21)
0.009009009,1.0,(8|21)
0.008875740,1.0,(43|16)
0.008797654,1.0,(29|7)
0.008741259,2.0,(8|42)
0.008733625,2.0,(10|17)
0.008695652,2.0,(27|31)
0.008620690,1.0,(10|35)
0.008474576,1.0,(2|30)
0.008196721,1.0,(22|4)
0.008064516,1.0,(19|40)
0.008064516,1.0,(25|5)
0.007894737,2.0,(25|47)
0.007518797,1.0,(21|35)
0.007434944,1.0,(5|29)
0.007425743,2.0,(31|22)
0.007299270,1.0,(11|15)
0.007263923,1.0,(14|20)
0.007261411,2.0,(27|21)
0.007246377,1.0,(49|28)
0.007233273,2.0,(17|24)
0.007194245,2.0,(15|47)
0.007159905,2.0,(9|6)
0.007159905,1.0,(46|29)
0.007142857,1.0,(20|26)
0.006802721,2.0,(20|12)
0.006756757,1.0,(6|49)
0.006741573,2.0,(49|33)
0.006622517,1.0,(5|17)
0.006622517,2.0,(21|25)
0.006622517,2.0,(23|25)
0.006550218,2.0,(23|31)
0.006493506,2.0,(27|14)
0.006410256,1.0,(27|48)
0.006289308,1.0,(3|10)
0.006276151,2.0,(20|28)
0.006269592,2.0,(27|27)
0.006172840,1.0,(10|14)
0.006134969,2.0,(26|31)
0.006006006,2.0,(17|39)
0.005988024,1.0,(27|42)
0.005988024,1.0,(29|40)
0.005934718,2.0,(25|31)
0.005934718,1.0,(30|43)
0.005917160,1.0,(17|12)
0.005780347,2.0,(21|28)
0.005747126,2.0,(6|40)
0.005747126,2.0,(7|40)
0.005747126,2.0,(7|41)
0.005747126,1.0,(22|9)
0.005649718,2.0,(10|30)
0.005605381,2.0,(28|48)
0.005524862,1.0,(5|6)
0.005504587,2.0,(25|27)
0.005464481,2.0,(22|35)
0.005411256,1.0,(33|15)
0.005405406,1.0,(16|26)
0.005376344,1.0,(5|30)
0.005291005,1.0,(31|25)
0.005263158,1.0,(15|34)
0.005208333,1.0,(45|8)
0.005181347,1.0,(22|30)
0.004987531,1.0,(30|36)
0.004942339,2.0,(24|9)
0.004914005,2.0,(27|46)
0.004830918,1.0,(9|17)
0.004807692,1.0,(6|33)
0.004761905,1.0,(33|48)
0.004750594,2.0,(21|33)
0.004672897,1.0,(48|33)
0.004636785,2.0,(17|21)
0.004612546,2.0,(14|27)
0.004587156,1.0,(25|33)
0.004545454,2.0,(33|16)
0.004545454,2.0,(34|16)
0.004509583,2.0,(30|9)
0.004484305,1.0,(8|12)
0.004444445,1.0,(0|13)
0.004385965,2.0,(13|37)
0.004347826,1.0,(25|42)
0.004329004,1.0,(13|20)
0.004310345,1.0,(29|26)
0.004048583,1.0,(6|26)
0.003875969,1.0,(31|3)
0.003846154,1.0,(26|49)
0.003824092,2.0,(34|13)
0.003797468,2.0,(9|3)
0.003759399,1.0,(24|30)
0.003690037,1.0,(39|21)
0.003649635,1.0,(32|7)
0.003546099,1.0,(16|11)
0.003472222,1.0,(8|19)
0.003456221,1.0,(1|23)
0.003424658,1.0,(13|23)
