Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 52 | Personal Injury (jpg:52,idx:33)
Catgory Probability,Ex Count at BMU,BMU Map Loc
1.000000,1.0,(19|13)
1.000000,3.0,(23|10)
1.000000,3.0,(26|17)
1.000000,3.0,(27|16)
1.000000,2.0,(30|18)
1.000000,2.0,(30|19)
1.000000,2.0,(31|18)
1.000000,1.0,(34|10)
0.9988999,2.0,(30|17)
0.9921466,2.0,(29|18)
0.9886846,3.0,(29|17)
0.9852941,3.0,(28|16)
0.9778761,3.0,(27|18)
0.9770642,3.0,(27|17)
0.9770492,3.0,(28|17)
0.9752883,4.0,(24|9)
0.9666666,3.0,(28|18)
0.9563438,4.0,(23|7)
0.9526316,4.0,(24|8)
0.9239131,4.0,(23|8)
0.9166667,4.0,(22|10)
0.9130435,2.0,(26|16)
0.9076923,4.0,(24|7)
0.9047619,4.0,(22|8)
0.8984375,4.0,(25|6)
0.8862559,4.0,(23|9)
0.8717949,4.0,(21|7)
0.8516483,4.0,(22|7)
0.8504673,4.0,(25|9)
0.8392857,4.0,(24|6)
0.8163266,4.0,(24|10)
0.7934783,4.0,(20|7)
0.7886179,4.0,(23|11)
0.7878788,3.0,(23|6)
0.7804878,4.0,(22|6)
0.7647059,3.0,(17|10)
0.7586207,4.0,(22|9)
0.7419355,4.0,(20|8)
0.7313433,4.0,(21|8)
0.6875000,3.0,(21|6)
0.6625000,4.0,(19|7)
0.6451613,4.0,(25|5)
0.6446281,3.0,(26|5)
0.6385373,1.0,(30|24)
0.6333333,3.0,(22|11)
0.6190476,3.0,(17|11)
0.6190476,3.0,(18|12)
0.6000000,2.0,(6|20)
0.5384616,3.0,(17|9)
0.5000000,3.0,(24|13)
0.4903226,4.0,(19|8)
0.4833333,3.0,(26|18)
0.4764706,3.0,(23|14)
0.4657534,3.0,(18|10)
0.4615385,4.0,(5|19)
0.4545455,3.0,(21|11)
0.4347826,3.0,(20|11)
0.4285714,4.0,(5|47)
0.4088398,4.0,(6|47)
0.4042553,3.0,(24|5)
0.3823529,3.0,(19|10)
0.3736264,4.0,(21|9)
0.3650190,4.0,(20|6)
0.3548387,3.0,(19|12)
0.3333333,2.0,(13|0)
0.3333333,3.0,(19|2)
0.3333333,3.0,(23|12)
0.3230769,4.0,(8|48)
0.3133333,3.0,(19|9)
0.3106796,3.0,(21|12)
0.3076923,2.0,(26|19)
0.3033175,3.0,(24|12)
0.2962963,3.0,(12|4)
0.2871795,4.0,(20|9)
0.2845188,4.0,(13|4)
0.2727273,1.0,(24|11)
0.2715232,4.0,(10|12)
0.2684211,4.0,(17|7)
0.2580645,2.0,(24|14)
0.2551020,4.0,(13|3)
0.2500000,2.0,(21|10)
0.2386364,2.0,(18|9)
0.2299742,4.0,(17|8)
0.2299465,4.0,(23|5)
0.2255639,4.0,(7|47)
0.2211838,3.0,(12|6)
0.2191781,3.0,(11|12)
0.2108843,4.0,(11|6)
0.2000000,2.0,(18|8)
0.1981308,3.0,(18|11)
0.1979167,4.0,(18|1)
0.1954887,3.0,(13|5)
0.1928571,4.0,(7|48)
0.1855670,4.0,(8|49)
0.1666667,4.0,(0|24)
0.1666667,3.0,(16|8)
0.1636364,3.0,(12|5)
0.1612903,3.0,(5|2)
0.1588235,2.0,(24|17)
0.1554622,4.0,(10|11)
0.1529412,3.0,(19|1)
0.1451613,3.0,(12|3)
0.1428571,4.0,(16|2)
0.1403509,3.0,(5|21)
0.1395349,2.0,(49|32)
0.1379310,3.0,(25|13)
0.1371841,4.0,(18|13)
0.1333333,4.0,(5|20)
0.1333333,4.0,(6|19)
0.1272727,4.0,(17|2)
0.1269841,4.0,(5|18)
0.1263158,4.0,(16|49)
0.1262136,2.0,(0|6)
0.1250000,2.0,(24|4)
0.1238095,3.0,(11|4)
0.1232033,3.0,(27|19)
0.1220096,3.0,(13|6)
0.1217391,3.0,(15|8)
0.1198738,3.0,(11|9)
0.1176471,2.0,(1|19)
0.1114983,3.0,(16|9)
