Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 56 | Workers Compensation (jpg:56,idx:37)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.6887967,1.0,(23|13)
0.6682353,1.0,(22|12)
0.4347826,1.0,(22|13)
0.3076923,1.0,(23|12)
0.2427184,1.0,(21|12)
0.1666667,1.0,(22|11)
0.06504065,1.0,(23|11)
0.05357143,1.0,(14|1)
0.04958678,1.0,(21|11)
0.03529412,1.0,(23|14)
0.03007519,1.0,(7|47)
0.01886792,1.0,(10|1)
0.01428571,1.0,(16|2)
0.01168224,1.0,(48|33)
0.01083033,1.0,(29|4)
0.009259259,1.0,(5|48)
0.008771930,1.0,(4|11)
0.008695652,1.0,(15|8)
0.008547009,1.0,(33|13)
0.008403362,1.0,(10|11)
0.008064516,1.0,(25|5)
0.007812500,1.0,(25|6)
0.007633588,1.0,(2|23)
0.007142857,1.0,(11|3)
0.007042253,1.0,(4|13)
0.006578947,1.0,(9|48)
0.006578947,1.0,(11|10)
0.005347594,1.0,(18|0)
0.005235602,1.0,(7|34)
0.005235602,1.0,(30|14)
0.004132231,1.0,(26|5)
0.003623188,1.0,(20|7)
0.003401360,1.0,(13|3)
0.003220612,1.0,(9|12)
0.003154574,1.0,(18|7)
0.002710027,1.0,(27|7)
0.002544529,1.0,(6|46)
0.002531646,1.0,(9|3)
0.002212389,1.0,(32|14)
0.002150538,1.0,(5|20)
0.002150538,1.0,(6|19)
0.001152074,1.0,(1|23)
