Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 66 | Insurance Litigation (jpg:66,idx:46)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.7609618,2.0,(25|18)
0.7544484,1.0,(14|3)
0.6666667,1.0,(11|11)
0.6322067,1.0,(24|19)
0.6322067,1.0,(25|19)
0.5769231,1.0,(13|7)
0.5406699,1.0,(13|6)
0.5302013,2.0,(15|5)
0.4883721,1.0,(14|2)
0.4180602,2.0,(15|4)
0.4161850,2.0,(16|4)
0.4137931,2.0,(15|6)
0.4133333,2.0,(17|4)
0.4029304,2.0,(15|2)
0.3956386,1.0,(12|6)
0.3495935,1.0,(15|3)
0.3488372,2.0,(19|4)
0.3369565,2.0,(15|1)
0.3333333,1.0,(28|1)
0.3265306,1.0,(24|18)
0.3265306,1.0,(25|17)
0.3171521,1.0,(14|4)
0.3103448,2.0,(16|1)
0.2916667,2.0,(16|8)
0.2857143,1.0,(13|2)
0.2768362,2.0,(16|3)
0.2727273,1.0,(14|5)
0.2602740,2.0,(14|6)
0.2500000,1.0,(26|18)
0.2325581,2.0,(18|6)
0.2307692,2.0,(16|7)
0.2105263,2.0,(17|7)
0.2000000,1.0,(16|2)
0.1854839,2.0,(12|3)
0.1827957,2.0,(17|1)
0.1818182,2.0,(17|2)
0.1804511,1.0,(13|5)
0.1789474,2.0,(14|7)
0.1744186,2.0,(19|3)
0.1682243,2.0,(18|2)
0.1672727,1.0,(12|5)
0.1653543,2.0,(18|3)
0.1626016,2.0,(16|5)
0.1538462,2.0,(26|19)
0.1530612,2.0,(13|3)
0.1428571,2.0,(7|48)
0.1428571,2.0,(17|3)
0.1386555,2.0,(10|11)
0.1351351,2.0,(19|5)
0.1337209,2.0,(14|49)
0.1263158,2.0,(16|6)
0.1250000,2.0,(17|5)
0.1250000,2.0,(18|9)
0.1238095,2.0,(11|4)
0.1217391,2.0,(15|8)
0.1213389,2.0,(13|4)
0.1176471,2.0,(14|8)
0.1121495,2.0,(20|3)
0.1111111,2.0,(12|4)
0.1111111,2.0,(19|2)
0.1097561,2.0,(22|6)
0.1086956,2.0,(20|4)
0.1086956,2.0,(20|5)
0.1071429,2.0,(11|3)
0.1025641,2.0,(13|8)
0.1000000,1.0,(22|11)
0.09523810,2.0,(12|2)
0.09505703,2.0,(20|6)
0.09404389,1.0,(15|7)
0.09090909,2.0,(14|10)
0.09090909,2.0,(17|6)
0.09090909,1.0,(24|11)
0.08839779,2.0,(6|47)
0.07692308,1.0,(14|0)
0.07142857,1.0,(16|14)
0.07058824,1.0,(24|17)
0.06666667,1.0,(4|24)
0.06666667,1.0,(12|7)
0.06666667,1.0,(18|5)
0.06666667,1.0,(19|6)
0.06382979,1.0,(24|5)
0.06185567,2.0,(8|49)
0.06000000,2.0,(14|14)
0.06000000,2.0,(19|9)
0.05993691,2.0,(30|15)
0.05882353,2.0,(17|10)
0.05714286,1.0,(29|3)
0.05660377,2.0,(13|12)
0.05555556,1.0,(7|14)
0.05555556,1.0,(9|14)
0.05555556,1.0,(10|10)
0.05494506,2.0,(21|9)
