Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 76 | Copyrights (jp:76,idx:9)
Class Probability,Ex Count at BMU,BMU Map Loc
0.6123853,267.0,(25|33)
0.4701987,213.0,(26|33)
0.3333333,19.0,(24|33)
0.2913907,44.0,(25|34)
0.2222222,6.0,(23|36)
0.2217899,57.0,(26|34)
0.2000000,2.0,(24|39)
0.09677419,15.0,(27|34)
0.09230769,6.0,(23|49)
0.07936508,5.0,(10|32)
0.07594936,12.0,(23|37)
0.07407407,12.0,(26|35)
0.07142857,1.0,(27|33)
0.05762712,17.0,(14|47)
0.05600000,7.0,(22|36)
0.05555556,10.0,(18|41)
0.05395683,15.0,(15|47)
0.05263158,3.0,(25|35)
0.05263158,6.0,(27|35)
0.04347826,1.0,(25|46)
0.04334365,14.0,(14|43)
0.04324324,8.0,(13|43)
0.04193548,13.0,(16|41)
0.04166667,1.0,(25|10)
0.03960396,4.0,(20|0)
0.03947368,3.0,(31|11)
0.03846154,9.0,(17|42)
0.03571429,1.0,(19|49)
0.03448276,9.0,(25|32)
0.03305785,4.0,(42|11)
0.03278688,2.0,(2|8)
0.03225806,4.0,(19|40)
0.03196347,7.0,(21|39)
0.03108808,6.0,(17|48)
0.03053435,4.0,(8|41)
0.03053435,4.0,(22|37)
0.03030303,2.0,(17|6)
0.03030303,1.0,(22|38)
0.02941176,4.0,(19|10)
0.02941176,2.0,(25|38)
0.02919708,4.0,(21|41)
0.02816901,2.0,(13|45)
0.02692308,7.0,(20|39)
0.02638522,10.0,(24|35)
0.02614379,4.0,(6|44)
0.02586207,9.0,(6|40)
0.02586207,9.0,(7|40)
0.02586207,9.0,(7|41)
0.02500000,1.0,(22|0)
0.02439024,4.0,(14|42)
0.02316602,12.0,(15|41)
0.02247191,4.0,(22|43)
0.02173913,2.0,(23|48)
0.02158273,3.0,(26|32)
0.02155172,5.0,(26|11)
0.02072539,4.0,(16|43)
0.02028986,7.0,(22|39)
0.02000000,2.0,(4|43)
0.02000000,2.0,(5|44)
0.02000000,1.0,(14|14)
0.01948052,6.0,(20|40)
0.01945525,5.0,(16|44)
0.01935484,3.0,(29|41)
0.01923077,2.0,(17|47)
0.01923077,3.0,(27|48)
