Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 97 | Healthcare (jp:97,idx:17)
Class Probability,Ex Count at BMU,BMU Map Loc
0.9743590,646.0,(33|22)
0.9327252,818.0,(34|21)
0.8633093,120.0,(33|21)
0.7500000,3.0,(35|21)
0.7201166,247.0,(34|20)
0.4910394,137.0,(44|16)
0.4772727,42.0,(5|16)
0.4754098,29.0,(4|16)
0.4695652,54.0,(5|14)
0.4692308,183.0,(35|19)
0.4692308,183.0,(35|20)
0.4687500,15.0,(46|15)
0.4684210,178.0,(1|12)
0.4666667,35.0,(6|15)
0.4627249,180.0,(45|16)
0.4594595,17.0,(3|16)
0.4558823,31.0,(45|17)
0.4539007,128.0,(2|12)
0.4516129,28.0,(34|19)
0.4418605,19.0,(3|14)
0.4402421,291.0,(45|13)
0.4368231,121.0,(4|14)
0.4347826,30.0,(3|21)
0.4303030,71.0,(6|14)
0.4281437,143.0,(6|12)
0.4228395,137.0,(46|17)
0.4166667,5.0,(7|13)
0.4074074,88.0,(1|13)
0.4074074,55.0,(5|15)
0.4035088,23.0,(4|21)
0.4020618,39.0,(46|16)
0.3976378,101.0,(46|13)
0.3888889,63.0,(4|15)
0.3829787,252.0,(44|19)
0.3783784,28.0,(1|14)
0.3676880,132.0,(5|12)
0.3676880,132.0,(6|13)
0.3478261,56.0,(2|13)
0.3448276,20.0,(2|16)
0.3333333,5.0,(6|16)
0.3291925,53.0,(46|14)
0.3218391,196.0,(44|17)
0.3164557,50.0,(47|13)
0.3072626,55.0,(2|15)
0.3037037,41.0,(45|19)
0.3023256,39.0,(3|13)
0.2972973,22.0,(47|14)
0.2916667,56.0,(45|14)
0.2857143,2.0,(32|21)
0.2631579,5.0,(44|15)
0.2617801,50.0,(45|15)
0.2584270,161.0,(48|13)
0.2582781,39.0,(5|17)
0.2439024,10.0,(44|14)
0.2361111,34.0,(2|14)
0.2352941,8.0,(3|12)
0.2328042,44.0,(48|14)
0.2280702,39.0,(3|20)
0.2248521,38.0,(3|15)
0.2142857,3.0,(6|17)
0.2125000,17.0,(30|1)
0.2115385,11.0,(3|22)
0.2105263,12.0,(5|21)
0.2093023,18.0,(24|47)
0.2000000,31.0,(44|18)
0.1879195,28.0,(47|18)
0.1866667,42.0,(0|13)
0.1808511,17.0,(1|16)
0.1796875,23.0,(47|17)
0.1784141,81.0,(47|16)
0.1756757,13.0,(4|12)
0.1538462,2.0,(0|12)
0.1538462,2.0,(2|21)
0.1515152,5.0,(10|47)
0.1500000,3.0,(1|20)
0.1500000,21.0,(4|20)
0.1485149,15.0,(3|19)
0.1470588,15.0,(1|15)
0.1462451,74.0,(46|19)
0.1446541,23.0,(0|15)
0.1428571,8.0,(2|18)
0.1428571,14.0,(3|17)
0.1428571,3.0,(12|0)
0.1410256,11.0,(5|13)
0.1409396,21.0,(2|20)
0.1351351,5.0,(49|21)
0.1341463,11.0,(45|18)
0.1321839,23.0,(0|16)
0.1317829,17.0,(1|18)
0.1315790,25.0,(46|18)
0.1290323,12.0,(4|17)
0.1262136,13.0,(10|49)
0.1240310,16.0,(1|17)
0.1228070,7.0,(2|17)
0.1186441,14.0,(2|19)
0.1153846,3.0,(2|22)
0.1111111,6.0,(4|19)
0.1111111,3.0,(9|11)
0.1086956,15.0,(4|18)
0.1074380,13.0,(49|14)
0.1052632,2.0,(10|0)
0.1000000,12.0,(3|18)
0.09947644,19.0,(47|15)
0.09523810,2.0,(17|11)
0.09523810,2.0,(18|12)
0.09473684,9.0,(16|49)
0.09302326,12.0,(49|17)
0.09247312,43.0,(5|20)
0.09247312,43.0,(6|19)
0.09195402,8.0,(24|48)
0.09154929,13.0,(48|19)
0.08982036,15.0,(0|17)
0.08823530,3.0,(1|19)
0.08800000,11.0,(0|18)
0.08450704,6.0,(48|16)
0.08383234,14.0,(47|19)
0.08333334,3.0,(9|26)
0.08333334,1.0,(15|0)
0.08333334,1.0,(19|37)
0.07692308,3.0,(0|22)
0.07692308,4.0,(5|19)
0.07692308,2.0,(13|29)
0.07518797,10.0,(7|47)
0.07407407,2.0,(10|16)
0.07185629,24.0,(49|16)
