Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 221 | IP Litigation (jp:221,idx:46)
Class Probability,Ex Count at BMU,BMU Map Loc
0.1534391,29.0,(31|25)
0.05555556,3.0,(28|37)
0.03053435,4.0,(22|37)
0.01098901,1.0,(28|38)
0.009009009,1.0,(20|41)
0.007272727,2.0,(12|5)
0.006944444,2.0,(21|37)
0.005405406,1.0,(13|43)
0.005277045,2.0,(25|11)
0.004629630,1.0,(17|43)
0.003460208,1.0,(24|44)
0.001529052,1.0,(31|21)
0.001406470,1.0,(32|9)
0.0009425071,1.0,(25|12)
