Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 284 | Banking Regulatory (jp:284,idx:91)
Class Probability,Ex Count at BMU,BMU Map Loc
0.7927632,241.0,(14|24)
0.6666667,6.0,(15|24)
0.5300000,53.0,(13|24)
0.4289340,169.0,(14|25)
0.3861386,39.0,(12|24)
0.2731707,56.0,(13|25)
0.08695652,6.0,(12|23)
0.06666667,4.0,(11|37)
0.05882353,3.0,(14|23)
0.05142857,9.0,(11|27)
0.04958678,6.0,(7|44)
0.03571429,1.0,(10|22)
0.03571429,2.0,(10|26)
0.03174603,2.0,(11|29)
0.03149606,4.0,(10|21)
0.03141361,6.0,(10|27)
0.02739726,8.0,(13|23)
0.02500000,2.0,(9|21)
0.02500000,1.0,(22|0)
0.02127660,2.0,(31|48)
0.01941748,2.0,(9|34)
0.01904762,2.0,(10|33)
0.01724138,1.0,(9|20)
0.01724138,1.0,(9|25)
0.01333333,2.0,(46|31)
0.01250000,1.0,(12|25)
0.01127820,3.0,(24|30)
0.01111111,2.0,(6|45)
0.01086957,2.0,(45|24)
0.01086957,2.0,(45|25)
0.01075269,2.0,(12|49)
0.01075269,1.0,(15|23)
0.01041667,1.0,(18|1)
0.01030928,1.0,(8|49)
0.01000000,1.0,(4|43)
0.01000000,1.0,(5|44)
0.009523810,1.0,(9|46)
0.009345794,1.0,(1|32)
0.009345794,1.0,(18|2)
0.009259259,1.0,(7|45)
0.008741259,5.0,(8|42)
0.008620690,1.0,(10|35)
0.008620690,3.0,(37|5)
0.008333334,1.0,(11|24)
0.007633588,1.0,(8|41)
0.007490637,2.0,(8|16)
0.007490637,2.0,(9|16)
0.007299270,2.0,(11|15)
0.006849315,1.0,(17|37)
0.006410256,1.0,(12|33)
0.006410256,1.0,(27|48)
0.006211180,1.0,(30|4)
0.005649718,1.0,(16|39)
0.005167959,2.0,(21|23)
0.005154639,1.0,(7|42)
0.005154639,1.0,(7|43)
0.004739337,1.0,(13|40)
0.004451039,3.0,(25|31)
0.004405286,2.0,(24|49)
0.004201681,1.0,(10|11)
0.004040404,2.0,(12|35)
0.003802281,1.0,(10|23)
0.003144654,1.0,(27|15)
0.003086420,1.0,(46|17)
0.003067485,1.0,(26|31)
0.002976191,1.0,(28|2)
0.002785515,1.0,(12|46)
0.002604167,1.0,(9|13)
0.002375297,1.0,(21|33)
0.002192982,1.0,(13|37)
0.002150538,1.0,(5|20)
0.002150538,1.0,(6|19)
0.001879699,1.0,(21|35)
0.001805054,1.0,(19|36)
0.001769911,1.0,(15|32)
0.001272265,1.0,(6|46)
