Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 297 | Emp-Lit-Wage Hour (jp:297,idx:104)
Class Probability,Ex Count at BMU,BMU Map Loc
0.8837209,304.0,(8|9)
0.6956522,96.0,(7|9)
0.6875000,44.0,(8|8)
0.6485714,227.0,(9|9)
0.6137339,143.0,(9|10)
0.5990099,121.0,(8|10)
0.5212121,86.0,(7|8)
0.4866667,73.0,(7|7)
0.4561403,52.0,(7|10)
0.4532374,63.0,(6|9)
0.4523810,38.0,(6|8)
0.4166667,5.0,(10|9)
0.4142857,58.0,(9|8)
0.3989637,77.0,(8|7)
0.2542373,45.0,(6|7)
0.2456140,14.0,(7|6)
0.2054795,15.0,(7|11)
0.1578947,12.0,(6|6)
0.1333333,2.0,(12|12)
0.1182796,11.0,(5|8)
0.1093750,7.0,(48|8)
0.1076923,7.0,(3|9)
0.1034483,3.0,(6|11)
0.1000000,4.0,(6|10)
0.09589041,7.0,(5|7)
0.08730159,11.0,(31|13)
0.08620690,5.0,(0|5)
0.08620690,20.0,(5|10)
0.07777778,7.0,(4|8)
0.07575758,5.0,(6|1)
0.07547170,12.0,(3|10)
0.07462686,5.0,(7|49)
0.07368421,7.0,(30|13)
0.07291666,7.0,(18|1)
0.07142857,1.0,(16|14)
0.06948640,23.0,(30|12)
0.06875000,11.0,(15|49)
0.06349207,8.0,(47|7)
0.06250000,7.0,(0|7)
0.06000000,3.0,(5|11)
0.05882353,2.0,(1|19)
0.05882353,3.0,(4|10)
0.05681818,5.0,(5|9)
0.05555556,1.0,(31|14)
0.05454545,3.0,(3|7)
0.05128205,2.0,(1|22)
0.05128205,2.0,(4|7)
0.05000000,4.0,(49|7)
0.04901961,5.0,(3|5)
0.04854369,5.0,(0|6)
0.04761905,2.0,(1|6)
0.04605263,7.0,(9|48)
0.04545455,3.0,(13|48)
0.04255319,4.0,(11|0)
0.04201681,5.0,(48|7)
0.03846154,5.0,(49|8)
0.03787879,5.0,(49|9)
0.03773585,2.0,(10|1)
0.03645833,7.0,(9|44)
