Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 358 | Antitrust Horizontal (jp:358,idx:123)
Class Probability,Ex Count at BMU,BMU Map Loc
0.8571429,30.0,(27|1)
0.7575758,75.0,(26|2)
0.7020202,278.0,(27|0)
0.6184739,154.0,(28|0)
0.5714286,4.0,(27|2)
0.4540230,79.0,(26|0)
0.3230769,84.0,(26|49)
0.2857143,8.0,(25|0)
0.2795699,52.0,(12|49)
0.2073171,17.0,(25|2)
0.1818182,4.0,(25|3)
0.1666667,1.0,(28|49)
0.1578947,3.0,(27|49)
0.1241379,18.0,(26|1)
0.1086956,10.0,(25|1)
0.08823530,6.0,(13|1)
0.04761905,1.0,(12|0)
0.04651163,4.0,(11|47)
0.04651163,4.0,(12|48)
0.03703704,1.0,(9|35)
0.03703704,1.0,(10|34)
0.03658536,3.0,(2|9)
0.02631579,4.0,(9|48)
0.02500000,1.0,(22|0)
0.02272727,2.0,(14|36)
0.02108434,7.0,(12|1)
0.02108434,7.0,(13|49)
0.02105263,2.0,(16|49)
0.01804124,7.0,(11|49)
0.01801802,2.0,(24|1)
0.01612903,2.0,(19|40)
0.01562500,1.0,(20|37)
0.01515152,1.0,(13|48)
0.01470588,2.0,(14|29)
0.01433692,4.0,(24|0)
0.01345291,3.0,(8|12)
0.01324503,2.0,(10|12)
0.01287554,3.0,(16|38)
0.01250000,1.0,(49|7)
0.01197605,2.0,(49|15)
0.01162791,1.0,(24|47)
0.01159420,4.0,(22|39)
0.01111111,2.0,(6|45)
0.01069519,2.0,(18|0)
0.01063830,1.0,(11|0)
0.01025641,4.0,(19|0)
0.009803922,1.0,(1|15)
0.009090909,1.0,(16|28)
0.008928572,2.0,(14|45)
0.008928572,2.0,(14|46)
0.008810572,2.0,(9|40)
0.008368201,2.0,(5|39)
0.007905139,2.0,(0|14)
0.007905139,2.0,(6|18)
0.007751938,1.0,(49|17)
0.007407407,1.0,(30|44)
0.006944444,2.0,(21|37)
0.006802721,2.0,(24|2)
0.006772009,3.0,(8|14)
0.006535948,1.0,(6|44)
0.006451613,1.0,(20|35)
0.006329114,1.0,(0|20)
0.006289308,1.0,(18|38)
0.006289308,1.0,(48|18)
0.006172840,1.0,(26|35)
0.005681818,1.0,(24|42)
0.005319149,1.0,(24|28)
0.004773270,2.0,(46|29)
0.004761905,1.0,(10|2)
0.004694836,1.0,(44|26)
0.004273504,1.0,(17|46)
0.003861004,2.0,(15|41)
0.003372681,2.0,(11|20)
0.003030303,1.0,(24|29)
0.002994012,1.0,(49|16)
0.002873563,1.0,(37|5)
0.002706360,2.0,(28|14)
0.002702703,1.0,(15|38)
0.002247191,1.0,(49|33)
0.001956947,1.0,(27|5)
0.001879699,1.0,(21|35)
0.001745201,1.0,(30|14)
0.001562500,1.0,(27|32)
