Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 362 | LoanDoc-TermsTrends (jp:362,idx:127)
Class Probability,Ex Count at BMU,BMU Map Loc
0.6425121,665.0,(25|23)
0.5631229,678.0,(26|23)
0.5576923,87.0,(25|24)
0.4545455,5.0,(24|24)
0.3918919,29.0,(24|23)
0.3515151,58.0,(25|22)
0.2857143,2.0,(22|49)
0.2797203,40.0,(12|42)
0.2701422,57.0,(13|40)
0.2675439,122.0,(13|37)
0.2552301,61.0,(11|41)
0.2518519,34.0,(12|37)
0.2500000,1.0,(2|35)
0.2500000,2.0,(4|27)
0.2500000,58.0,(12|40)
0.2356322,41.0,(13|41)
0.2356322,41.0,(13|42)
0.2352941,8.0,(16|35)
0.2298851,80.0,(16|33)
0.2277228,23.0,(26|22)
0.2272727,55.0,(13|39)
0.2258064,63.0,(13|36)
0.2222222,12.0,(9|42)
0.2222222,12.0,(10|41)
0.2222222,44.0,(12|41)
0.2207792,17.0,(26|24)
0.2121212,42.0,(12|36)
0.2075472,22.0,(11|42)
0.2000000,12.0,(11|37)
0.1851852,15.0,(10|38)
0.1777778,16.0,(15|25)
0.1748466,57.0,(13|38)
0.1704545,15.0,(10|43)
0.1510791,42.0,(24|22)
0.1461988,25.0,(10|39)
0.1461539,19.0,(11|38)
0.1428571,13.0,(10|31)
0.1428571,9.0,(10|32)
0.1428571,28.0,(10|44)
0.1428571,28.0,(11|44)
0.1428571,3.0,(19|25)
0.1428571,1.0,(21|24)
0.1406250,27.0,(15|27)
0.1344538,16.0,(12|38)
0.1340580,37.0,(13|35)
0.1309524,11.0,(8|44)
0.1309524,11.0,(11|40)
0.1309524,22.0,(13|28)
0.1290323,4.0,(14|39)
0.1290323,4.0,(15|40)
0.1250000,1.0,(3|36)
0.1250000,1.0,(3|39)
0.1212121,4.0,(8|25)
0.1200000,6.0,(11|34)
0.1166667,14.0,(13|34)
0.1140351,26.0,(14|33)
0.1111111,3.0,(9|35)
0.1111111,3.0,(10|34)
0.1090909,6.0,(13|33)
0.1081081,20.0,(14|35)
0.1065574,13.0,(11|39)
0.1052632,12.0,(11|45)
0.1052632,18.0,(15|26)
0.1041667,10.0,(7|19)
0.1041667,20.0,(9|44)
0.1040000,26.0,(15|33)
0.1025641,20.0,(8|33)
0.09859155,7.0,(12|30)
0.09782609,27.0,(27|23)
0.09655172,14.0,(8|43)
0.09523810,6.0,(11|29)
0.09150327,14.0,(9|32)
0.09090909,5.0,(22|19)
0.08928572,10.0,(16|37)
0.08750000,7.0,(12|25)
0.08695652,2.0,(14|28)
0.08571429,9.0,(10|33)
0.08536585,21.0,(9|41)
0.08496732,13.0,(8|34)
0.08396947,11.0,(8|41)
0.08376963,16.0,(10|27)
0.08108108,9.0,(14|37)
0.07894737,6.0,(18|26)
0.07804878,16.0,(13|25)
0.07692308,18.0,(9|38)
0.07692308,1.0,(20|29)
0.07563026,9.0,(10|24)
0.07563026,9.0,(13|27)
0.07526882,14.0,(18|28)
0.07476635,8.0,(2|34)
0.07407407,10.0,(43|4)
0.07317073,6.0,(2|9)
0.07142857,1.0,(10|40)
0.07103321,77.0,(14|27)
0.07079646,8.0,(19|30)
0.07051282,11.0,(12|33)
0.07027027,26.0,(17|26)
0.06923077,9.0,(6|22)
0.06896552,18.0,(9|43)
0.06829268,14.0,(15|39)
0.06818182,6.0,(14|36)
0.06756756,5.0,(8|31)
0.06666667,33.0,(12|35)
0.06666667,3.0,(16|31)
0.06611570,8.0,(12|34)
0.06578948,5.0,(9|24)
0.06557377,4.0,(2|8)
0.06557377,8.0,(42|12)
0.06542056,7.0,(15|35)
0.06376812,44.0,(12|21)
0.06369427,10.0,(15|22)
0.06367041,17.0,(8|16)
0.06367041,17.0,(9|16)
0.06329114,15.0,(12|39)
0.06185567,6.0,(15|31)
0.06153846,4.0,(23|49)
0.06131387,42.0,(16|34)
0.05970149,8.0,(19|27)
0.05940594,6.0,(8|32)
0.05882353,3.0,(14|23)
0.05769231,3.0,(16|27)
0.05759162,11.0,(7|34)
0.05714286,2.0,(30|49)
0.05633803,4.0,(6|27)
0.05600000,7.0,(49|24)
0.05555556,5.0,(11|43)
0.05468750,7.0,(15|28)
0.05454545,6.0,(16|28)
0.05405406,6.0,(14|38)
0.05208333,5.0,(18|36)
0.05172414,3.0,(9|20)
0.05128205,20.0,(17|36)
0.05072464,7.0,(16|23)
0.05063291,8.0,(6|24)
0.05000000,4.0,(8|5)
0.04938272,8.0,(9|37)
0.04938272,8.0,(10|37)
0.04918033,3.0,(6|28)
0.04912281,28.0,(15|34)
0.04895105,14.0,(18|27)
0.04864865,18.0,(15|38)
0.04854369,5.0,(17|35)
0.04845815,11.0,(9|40)
0.04822335,19.0,(14|25)
0.04819277,4.0,(7|39)
0.04819277,4.0,(8|39)
0.04819277,4.0,(8|40)
0.04761905,4.0,(11|21)
0.04761905,4.0,(12|22)
0.04761905,2.0,(18|37)
0.04651163,2.0,(5|42)
0.04651163,2.0,(6|43)
0.04651163,18.0,(21|23)
0.04629629,5.0,(19|29)
0.04615385,6.0,(8|27)
0.04601770,26.0,(15|32)
0.04571429,8.0,(11|27)
0.04562738,12.0,(10|23)
0.04545455,5.0,(12|31)
0.04545455,1.0,(13|26)
0.04545455,1.0,(22|15)
0.04545455,1.0,(29|0)
0.04487180,14.0,(14|34)
0.04477612,6.0,(5|43)
0.04411765,9.0,(11|25)
0.04347826,8.0,(8|24)
0.04347826,3.0,(12|23)
0.04302325,37.0,(16|32)
0.04301075,4.0,(15|23)
