Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 366 | Class Action-TrialStrategies (jp:366,idx:131)
Class Probability,Ex Count at BMU,BMU Map Loc
0.6016260,74.0,(30|10)
0.4831858,273.0,(29|10)
0.1940299,26.0,(27|9)
0.1607143,18.0,(27|8)
0.1578947,3.0,(28|10)
0.1558442,12.0,(28|8)
0.1229947,23.0,(28|9)
0.1034483,3.0,(6|11)
0.08235294,7.0,(19|1)
0.07758620,18.0,(5|10)
0.07692308,1.0,(14|0)
0.06666667,3.0,(47|11)
0.06153846,4.0,(11|1)
0.05263158,1.0,(28|6)
0.04761905,1.0,(13|2)
0.04545455,4.0,(5|9)
0.04000000,2.0,(5|11)
0.03947368,3.0,(6|6)
0.03846154,2.0,(5|19)
0.03846154,1.0,(11|48)
0.03703704,4.0,(22|5)
0.03649635,5.0,(26|8)
0.03313253,11.0,(12|1)
0.03313253,11.0,(13|49)
0.03278688,2.0,(12|14)
0.03076923,2.0,(8|48)
0.02898551,2.0,(28|7)
0.02702703,1.0,(48|10)
0.02255639,3.0,(13|5)
0.02222222,1.0,(7|2)
0.02040816,2.0,(10|3)
0.01973684,3.0,(9|48)
0.01818182,3.0,(7|8)
0.01818182,1.0,(17|0)
0.01754386,2.0,(10|7)
0.01730104,5.0,(30|7)
0.01724138,4.0,(26|11)
0.01694915,1.0,(6|48)
0.01639344,2.0,(21|44)
0.01595745,3.0,(8|47)
0.01578947,3.0,(17|7)
0.01562500,2.0,(7|12)
0.01470588,1.0,(13|1)
0.01428571,2.0,(7|48)
0.01428571,1.0,(33|11)
0.01408451,1.0,(5|38)
0.01408451,1.0,(6|39)
0.01369863,1.0,(5|7)
0.01369863,4.0,(13|23)
0.01360544,4.0,(13|3)
0.01315789,1.0,(20|1)
0.01272265,10.0,(6|46)
0.01238390,4.0,(29|9)
0.01140684,3.0,(7|46)
0.01123596,1.0,(14|22)
0.01119403,3.0,(21|1)
0.01089918,4.0,(24|27)
0.01086957,4.0,(21|0)
0.01063830,1.0,(11|0)
0.01052632,1.0,(16|49)
0.01041667,1.0,(18|1)
0.01010101,1.0,(16|40)
0.01010101,1.0,(29|8)
0.009569378,2.0,(6|38)
0.009523810,1.0,(9|46)
0.009345794,1.0,(3|6)
0.009345794,1.0,(18|2)
0.009259259,2.0,(5|48)
0.008928572,1.0,(0|7)
0.008928572,2.0,(14|45)
0.008928572,2.0,(14|46)
0.008771930,1.0,(4|11)
0.008695652,1.0,(8|46)
0.008264462,1.0,(21|11)
0.007936508,1.0,(31|13)
0.007692308,1.0,(20|14)
0.007633588,1.0,(8|0)
0.007633588,1.0,(9|4)
0.007246377,1.0,(16|23)
0.007220217,2.0,(29|4)
0.007194245,2.0,(15|47)
0.007042253,1.0,(11|23)
0.006993007,1.0,(14|5)
0.006802721,1.0,(11|6)
0.006756757,1.0,(13|22)
0.006666667,1.0,(11|13)
0.006622517,1.0,(10|12)
0.006622517,1.0,(30|3)
0.006329114,1.0,(23|37)
0.006289308,1.0,(18|38)
0.005952381,2.0,(28|2)
0.005899705,2.0,(28|13)
0.005870841,3.0,(27|5)
0.005797102,2.0,(12|10)
0.005524862,1.0,(6|47)
0.005291005,1.0,(31|25)
0.005277045,2.0,(25|11)
0.004842615,2.0,(22|3)
0.004672897,1.0,(26|10)
0.004545454,1.0,(6|37)
0.004329004,1.0,(31|10)
0.004291845,1.0,(9|10)
0.004201681,1.0,(10|11)
0.004184100,1.0,(13|4)
0.004184100,1.0,(34|48)
0.003952569,1.0,(6|18)
0.003623188,1.0,(20|7)
0.003616637,2.0,(11|22)
0.003424658,1.0,(18|10)
0.003401360,1.0,(24|2)
0.003333333,1.0,(32|15)
0.003154574,1.0,(18|7)
0.003086420,1.0,(46|17)
0.002994012,1.0,(4|4)
0.002967359,1.0,(30|43)
0.002631579,1.0,(25|47)
0.002583979,1.0,(17|8)
0.002583979,1.0,(21|23)
0.002577320,1.0,(11|49)
0.002564103,1.0,(19|0)
0.002421308,1.0,(15|48)
0.002372479,2.0,(14|3)
0.002257336,1.0,(8|14)
0.002105263,1.0,(18|18)
0.002053388,1.0,(27|19)
0.002000000,1.0,(16|16)
0.001937984,1.0,(15|30)
0.001872659,1.0,(23|3)
0.001872659,1.0,(23|4)
0.001773050,1.0,(16|11)
0.001745201,1.0,(30|14)
0.001655629,1.0,(29|33)
0.001610306,1.0,(9|12)
0.001449275,1.0,(12|21)
0.001121076,1.0,(28|48)
