Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 369 | Class Action-Substantive-Products (jp:369,idx:134)
Class Probability,Ex Count at BMU,BMU Map Loc
0.7800586,266.0,(29|7)
0.5714286,4.0,(29|6)
0.5328720,154.0,(30|7)
0.3768116,26.0,(28|7)
0.1666667,1.0,(25|7)
0.1666667,1.0,(26|6)
0.1666667,1.0,(27|6)
0.1515152,15.0,(29|8)
0.05263158,1.0,(28|6)
0.04705882,4.0,(19|1)
0.03225806,1.0,(5|2)
0.03191489,3.0,(11|0)
0.02127660,1.0,(8|26)
0.02083333,1.0,(7|4)
0.02000000,1.0,(5|11)
0.01907357,7.0,(24|27)
0.01818182,2.0,(10|45)
0.01587302,1.0,(12|2)
0.01538462,1.0,(11|1)
0.01298701,1.0,(28|8)
0.01250000,2.0,(15|49)
0.01250000,1.0,(19|7)
0.01190476,1.0,(6|8)
0.01069519,2.0,(18|0)
0.01052632,1.0,(16|49)
0.01030928,1.0,(8|49)
0.01030928,4.0,(11|49)
0.009036144,3.0,(12|1)
0.009036144,3.0,(13|49)
0.008810572,2.0,(9|40)
0.008620690,2.0,(5|10)
0.008130081,1.0,(15|3)
0.007692308,1.0,(13|30)
0.007633588,1.0,(8|0)
0.007633588,1.0,(9|4)
0.007604563,2.0,(10|23)
0.007352941,1.0,(19|10)
0.007194245,1.0,(16|22)
0.006666667,1.0,(7|7)
0.006289308,1.0,(3|10)
0.006060606,2.0,(28|11)
0.005952381,2.0,(28|2)
0.005813953,1.0,(14|49)
0.005649718,1.0,(16|39)
0.005555556,1.0,(6|45)
0.004842615,2.0,(15|48)
0.004761905,1.0,(10|2)
0.004672897,1.0,(26|10)
0.004535147,2.0,(20|10)
0.004514673,2.0,(8|14)
0.004329004,1.0,(31|10)
0.003802281,1.0,(7|46)
0.003731343,1.0,(21|1)
0.003663004,1.0,(15|2)
0.003401360,1.0,(13|3)
0.003401360,1.0,(24|2)
0.003378378,1.0,(47|6)
0.003236246,1.0,(14|4)
0.002564103,1.0,(19|0)
0.002544529,2.0,(6|46)
0.001956947,1.0,(27|5)
0.001808318,1.0,(11|22)
0.001406470,1.0,(32|9)
