Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 378 | Environmental CERCLA (jp:378,idx:142)
Class Probability,Ex Count at BMU,BMU Map Loc
1.000000,5.0,(12|17)
0.9305556,469.0,(13|19)
0.9004329,208.0,(13|20)
0.7148936,168.0,(13|18)
0.6410257,125.0,(14|18)
0.5784754,129.0,(14|19)
0.4769976,197.0,(14|20)
0.4431818,78.0,(13|17)
0.4020618,78.0,(14|17)
0.3826087,132.0,(15|18)
0.3514644,84.0,(15|17)
0.2644628,32.0,(14|16)
0.2562500,41.0,(15|19)
0.2407407,39.0,(10|14)
0.2119816,46.0,(13|16)
0.2000000,3.0,(18|5)
0.2000000,3.0,(19|6)
0.1875000,3.0,(12|15)
0.1734694,34.0,(15|16)
0.1621622,12.0,(19|5)
0.1500000,3.0,(12|16)
0.1379310,4.0,(16|1)
0.1250000,1.0,(12|19)
0.1041667,5.0,(17|15)
0.09859155,7.0,(11|17)
0.08029197,22.0,(11|15)
0.08021390,15.0,(18|0)
0.07462686,5.0,(9|19)
0.06896552,2.0,(9|22)
0.06806283,13.0,(20|13)
0.06521739,3.0,(20|4)
0.06521739,3.0,(20|5)
0.06382979,3.0,(14|31)
0.05650685,33.0,(8|20)
0.05555556,8.0,(14|15)
0.05263158,4.0,(20|1)
0.04522613,9.0,(16|18)
0.04255319,2.0,(8|26)
0.04081633,2.0,(20|2)
0.04000000,2.0,(11|34)
0.03968254,5.0,(6|34)
0.03846154,2.0,(10|15)
0.03846154,2.0,(17|17)
0.03488372,3.0,(19|4)
0.03271028,7.0,(26|10)
0.03225806,5.0,(29|41)
0.03149606,4.0,(13|15)
0.03061225,6.0,(0|19)
0.02970297,3.0,(20|0)
0.02586207,6.0,(26|11)
0.02527076,7.0,(18|13)
0.02446483,8.0,(17|18)
0.02380952,4.0,(15|15)
0.02352941,2.0,(3|37)
0.02307692,3.0,(20|14)
0.02272727,1.0,(5|37)
0.02272727,1.0,(17|14)
0.02255639,3.0,(13|5)
0.02222222,1.0,(16|31)
0.02179177,9.0,(15|48)
0.02173913,1.0,(22|16)
0.02150538,2.0,(4|38)
0.02105263,2.0,(16|49)
0.02040816,1.0,(13|21)
0.02000000,1.0,(14|14)
0.01851852,2.0,(21|3)
0.01804124,7.0,(11|49)
0.01801802,2.0,(8|21)
0.01754386,2.0,(6|31)
0.01754386,1.0,(21|13)
0.01724138,1.0,(9|20)
0.01716738,4.0,(16|38)
