Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 399 | RP Finance-Leasing (jp:399,idx:160)
Class Probability,Ex Count at BMU,BMU Map Loc
0.7672065,379.0,(6|26)
0.5109034,164.0,(5|27)
0.4016064,100.0,(7|26)
0.3913043,45.0,(5|26)
0.3578947,34.0,(7|25)
0.3380282,24.0,(6|27)
0.3333333,1.0,(4|25)
0.3333333,1.0,(4|26)
0.1967213,36.0,(7|27)
0.1372549,35.0,(5|25)
0.08510638,4.0,(8|26)
0.08139535,7.0,(6|25)
0.07894737,3.0,(11|32)
0.07407407,2.0,(8|17)
0.07142857,1.0,(24|34)
0.05555556,2.0,(9|33)
0.05555556,13.0,(9|38)
0.04166667,4.0,(9|36)
0.04000000,2.0,(14|14)
0.03947368,3.0,(10|28)
0.03703704,3.0,(10|38)
0.03571429,2.0,(42|16)
0.03333334,2.0,(11|37)
0.03125000,4.0,(7|35)
0.03076923,4.0,(8|27)
0.03030303,1.0,(8|25)
0.02985075,6.0,(5|33)
0.02941176,1.0,(1|19)
0.02941176,1.0,(10|20)
0.02622951,8.0,(10|13)
0.02515723,4.0,(13|12)
0.02491103,7.0,(12|11)
0.02459016,6.0,(5|34)
0.02409638,4.0,(23|23)
0.02380952,3.0,(6|34)
0.02238806,6.0,(5|36)
0.02234637,4.0,(8|37)
0.02150538,4.0,(3|33)
0.02150538,2.0,(4|38)
0.02127660,4.0,(5|32)
0.02127660,1.0,(9|30)
0.02094241,4.0,(7|34)
0.02000000,3.0,(11|13)
0.01941748,2.0,(0|6)
0.01923077,4.0,(6|33)
0.01818182,1.0,(48|4)
0.01754386,2.0,(11|45)
0.01724138,1.0,(9|25)
0.01666667,2.0,(11|24)
0.01509434,4.0,(7|33)
0.01492537,1.0,(9|19)
0.01492537,2.0,(20|18)
0.01470588,2.0,(4|34)
0.01456311,3.0,(2|33)
0.01388889,4.0,(8|19)
0.01239669,3.0,(7|36)
0.01171875,3.0,(3|32)
0.01136364,1.0,(14|36)
0.01117318,2.0,(2|15)
0.01117318,2.0,(8|45)
0.01117318,2.0,(9|45)
0.01111111,1.0,(0|33)
0.01111111,2.0,(6|45)
0.01111111,1.0,(11|43)
0.01098901,2.0,(4|35)
0.01047120,2.0,(10|27)
0.01041667,4.0,(9|13)
0.01030928,2.0,(22|45)
0.01020408,2.0,(10|44)
0.01020408,2.0,(11|44)
0.01015228,2.0,(8|35)
0.009756098,2.0,(15|39)
0.009661836,2.0,(43|6)
0.009523810,1.0,(10|33)
0.009433962,1.0,(0|35)
0.009345794,1.0,(2|34)
0.009345794,1.0,(4|36)
0.009174312,1.0,(14|13)
0.008695652,1.0,(5|14)
0.008620690,1.0,(10|35)
0.008620690,2.0,(23|45)
0.008510638,2.0,(13|18)
0.008474576,1.0,(2|19)
0.008474576,3.0,(10|30)
0.008264462,1.0,(9|27)
0.008264462,1.0,(49|36)
0.008196721,2.0,(3|31)
0.008196721,1.0,(3|34)
0.007575758,1.0,(4|32)
0.007575758,2.0,(15|12)
0.007462686,1.0,(5|43)
0.007407407,2.0,(8|23)
0.007371007,3.0,(9|31)
0.006968641,2.0,(16|9)
0.006944444,1.0,(2|14)
0.006849315,2.0,(13|23)
0.006535948,2.0,(21|18)
0.006451613,1.0,(16|17)
0.006289308,1.0,(0|15)
0.006006006,2.0,(42|17)
0.005917160,1.0,(17|12)
0.005747126,1.0,(0|16)
0.005617978,1.0,(13|13)
0.005464481,1.0,(42|18)
0.005395683,3.0,(37|23)
0.005366726,3.0,(22|20)
0.005208333,1.0,(45|8)
0.005136986,3.0,(8|20)
0.005128205,1.0,(8|33)
0.005128205,2.0,(46|25)
0.005050505,1.0,(12|41)
0.004901961,1.0,(11|25)
0.004784689,1.0,(6|38)
0.004514673,2.0,(8|14)
0.004149378,1.0,(41|15)
0.004040404,2.0,(12|35)
0.004016064,1.0,(15|36)
0.003952569,1.0,(0|14)
0.003952569,1.0,(2|32)
0.003861004,1.0,(47|38)
0.003802281,1.0,(7|46)
0.003787879,1.0,(2|31)
0.003745318,1.0,(8|16)
0.003745318,1.0,(9|16)
0.003663004,1.0,(6|36)
0.003623188,1.0,(13|35)
0.003597122,1.0,(15|47)
0.003584229,1.0,(13|36)
0.003508772,1.0,(29|47)
0.003401360,1.0,(16|15)
0.003322259,2.0,(19|20)
0.003236246,1.0,(7|31)
0.003164557,1.0,(22|23)
0.002898551,1.0,(12|10)
0.002873563,1.0,(6|40)
0.002873563,1.0,(7|40)
0.002873563,1.0,(7|41)
0.002702703,1.0,(17|26)
0.002702703,1.0,(18|16)
0.002638523,1.0,(24|35)
0.002544529,2.0,(6|46)
0.002538071,1.0,(14|25)
0.002439024,1.0,(36|19)
0.002150538,1.0,(5|20)
0.002150538,1.0,(6|19)
0.002105263,1.0,(18|18)
0.002008032,1.0,(22|26)
0.002000000,1.0,(16|16)
0.001901141,1.0,(19|28)
0.001869159,1.0,(19|15)
0.001848429,1.0,(16|20)
0.001769911,1.0,(15|32)
0.001754386,1.0,(15|34)
0.001490313,1.0,(38|23)
0.001443001,1.0,(7|23)
0.001410437,1.0,(19|31)
0.0009891196,1.0,(20|24)
