Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 407 | Tax Law-Invest-Vehicles (jp:407,idx:166)
Class Probability,Ex Count at BMU,BMU Map Loc
0.5186289,348.0,(38|23)
0.4638695,199.0,(38|24)
0.3884892,216.0,(37|23)
0.2592593,35.0,(37|24)
0.2053571,23.0,(37|22)
0.1600000,4.0,(39|23)
0.1333333,20.0,(38|22)
0.1333333,2.0,(41|14)
0.1184669,34.0,(1|38)
0.1184669,34.0,(2|38)
0.1104295,18.0,(1|41)
0.1083032,30.0,(36|23)
0.1071429,6.0,(42|16)
0.07407407,2.0,(8|17)
0.07317073,3.0,(49|35)
0.06666667,1.0,(48|34)
0.06557377,4.0,(2|8)
0.06250000,2.0,(48|35)
0.05319149,10.0,(2|39)
0.04716981,5.0,(0|35)
0.04081633,2.0,(7|16)
0.03883495,4.0,(9|34)
0.03773585,2.0,(36|45)
0.03750000,3.0,(12|20)
0.03658536,6.0,(2|41)
0.03571429,1.0,(10|22)
0.03521127,5.0,(0|36)
0.03517588,7.0,(47|48)
0.03472222,5.0,(36|22)
0.03448276,1.0,(8|15)
0.03389831,2.0,(9|23)
0.03389831,4.0,(41|5)
0.03301887,7.0,(1|37)
0.03260870,3.0,(38|16)
0.03254438,11.0,(43|16)
0.03246753,5.0,(1|40)
0.03174603,4.0,(48|39)
0.03086420,5.0,(10|14)
0.03053435,4.0,(36|5)
0.03045685,6.0,(1|49)
0.02941176,1.0,(10|20)
0.02857143,2.0,(43|13)
0.02623907,9.0,(43|1)
0.02608696,3.0,(1|36)
0.02597403,4.0,(9|18)
0.02597403,2.0,(42|3)
0.02597403,2.0,(45|26)
0.02590674,5.0,(22|30)
0.02493766,10.0,(3|42)
0.02439024,2.0,(2|9)
0.02439024,2.0,(37|46)
0.02439024,7.0,(46|22)
0.02409638,4.0,(46|39)
0.02380952,2.0,(1|1)
0.02325581,1.0,(36|4)
0.02307692,3.0,(38|27)
0.02272727,3.0,(1|21)
0.02272727,4.0,(1|42)
0.02272727,2.0,(14|36)
0.02255639,3.0,(8|18)
0.02222222,3.0,(43|4)
0.02158273,3.0,(4|45)
0.02142857,3.0,(7|38)
0.02112676,3.0,(1|35)
0.02092050,5.0,(34|48)
0.02083333,2.0,(49|49)
0.02006689,6.0,(3|40)
0.02000000,2.0,(3|49)
0.01941748,2.0,(17|35)
0.01886792,3.0,(1|46)
0.01851852,2.0,(45|5)
0.01801802,2.0,(43|14)
0.01796407,3.0,(49|15)
0.01785714,1.0,(3|38)
0.01763224,7.0,(3|41)
0.01763224,7.0,(4|42)
0.01754386,2.0,(4|11)
0.01748252,10.0,(8|42)
0.01673640,4.0,(1|47)
0.01639344,2.0,(11|39)
0.01639344,2.0,(42|12)
0.01626016,2.0,(37|45)
0.01612903,3.0,(0|42)
0.01587302,2.0,(6|34)
0.01578947,3.0,(36|3)
0.01562500,1.0,(33|46)
0.01562500,1.0,(37|25)
0.01550388,2.0,(47|34)
0.01544402,4.0,(2|36)
0.01519757,5.0,(49|40)
0.01515152,3.0,(12|36)
0.01515152,2.0,(48|44)
0.01503759,4.0,(1|39)
0.01503759,2.0,(45|23)
0.01498127,4.0,(8|16)
0.01498127,4.0,(9|16)
0.01492537,1.0,(9|19)
0.01492537,2.0,(20|18)
0.01492537,2.0,(41|10)
0.01459854,4.0,(38|48)
0.01449275,2.0,(43|9)
0.01438849,2.0,(2|48)
0.01408451,1.0,(44|33)
0.01401869,3.0,(26|10)
0.01388889,3.0,(34|46)
0.01369863,4.0,(43|48)
0.01351351,1.0,(24|23)
0.01342282,4.0,(2|27)
0.01333333,4.0,(48|46)
0.01315789,1.0,(33|4)
0.01298701,2.0,(36|24)
0.01298701,3.0,(41|0)
0.01287554,3.0,(46|23)
0.01282051,2.0,(12|33)
0.01265823,1.0,(39|22)
0.01255230,3.0,(2|44)
0.01250000,1.0,(8|5)
0.01250000,1.0,(33|3)
0.01230769,4.0,(0|37)
0.01180438,7.0,(11|20)
0.01176471,1.0,(3|37)
0.01149425,2.0,(37|43)
0.01142857,4.0,(38|12)
0.01139601,4.0,(39|12)
0.01129944,2.0,(16|39)
0.01111111,1.0,(15|25)
0.01102941,3.0,(4|40)
0.01102941,3.0,(5|40)
0.01102941,3.0,(5|41)
0.01092896,2.0,(42|18)
0.01081081,2.0,(2|42)
0.01081081,2.0,(37|47)
0.01075269,2.0,(34|1)
0.01058201,2.0,(44|24)
0.01058201,2.0,(47|0)
0.01041667,3.0,(8|19)
0.01041667,1.0,(9|36)
0.01041667,1.0,(18|36)
0.01041667,2.0,(44|23)
0.01025641,4.0,(46|25)
0.009950249,2.0,(5|33)
0.009677419,3.0,(45|36)
0.009569378,2.0,(4|46)
0.009569378,2.0,(44|49)
0.009433962,1.0,(6|42)
0.009433962,1.0,(39|13)
0.009216590,2.0,(1|48)
0.009025271,5.0,(19|36)
0.009009009,3.0,(22|29)
0.009009009,3.0,(42|17)
0.008849557,1.0,(37|42)
0.008620690,1.0,(21|19)
0.008474576,1.0,(44|45)
0.008403362,1.0,(44|48)
0.008333334,1.0,(2|25)
0.008264462,1.0,(38|1)
0.008264462,1.0,(49|36)
0.008130081,1.0,(44|30)
0.008064516,1.0,(11|18)
0.008032128,2.0,(39|49)
0.007905139,2.0,(47|41)
0.007874016,1.0,(10|21)
0.007751938,2.0,(38|49)
0.007692308,3.0,(17|36)
0.007692308,2.0,(48|37)
0.007662835,2.0,(9|43)
0.007633588,2.0,(49|39)
0.007604563,2.0,(45|42)
0.007547170,2.0,(42|44)
0.007547170,2.0,(48|2)
0.007518797,1.0,(37|2)
0.007462686,2.0,(5|36)
0.007462686,1.0,(48|32)
0.007407407,1.0,(5|15)
0.007326007,2.0,(6|36)
0.007299270,1.0,(21|41)
0.007272727,2.0,(47|1)
0.007220217,2.0,(47|49)
0.007194245,1.0,(6|30)
0.007117438,2.0,(38|46)
0.007067138,2.0,(39|46)
0.006896552,1.0,(8|43)
0.006896552,2.0,(44|6)
0.006849315,2.0,(13|23)
