Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 410 | Emp-Comp-Competition/Trade Secrets (jp:410,idx:169)
Class Probability,Ex Count at BMU,BMU Map Loc
0.3805310,172.0,(32|14)
0.1666667,3.0,(31|14)
0.07142857,1.0,(10|40)
0.05970149,4.0,(32|13)
0.03960396,4.0,(8|4)
0.03333334,1.0,(22|11)
0.03225806,3.0,(4|38)
0.03030303,2.0,(6|1)
0.02702703,1.0,(4|5)
0.02222222,1.0,(28|12)
0.02197802,2.0,(3|11)
0.02189781,3.0,(4|9)
0.02040816,1.0,(0|10)
0.01960784,1.0,(4|10)
0.01694915,1.0,(6|48)
0.01587302,1.0,(12|2)
0.01562500,2.0,(7|12)
0.01369863,1.0,(1|7)
0.01351351,1.0,(4|12)
0.01257862,2.0,(3|10)
0.01136364,1.0,(14|36)
0.009463723,3.0,(30|15)
0.009259259,1.0,(7|45)
0.008928572,1.0,(27|3)
0.007936508,1.0,(31|13)
0.007142857,1.0,(11|3)
0.006849315,2.0,(31|16)
0.006756757,1.0,(6|49)
0.006493506,1.0,(16|36)
0.006250000,1.0,(15|49)
0.006211180,1.0,(7|3)
0.005813953,1.0,(20|44)
0.005617978,1.0,(13|13)
0.005464481,1.0,(10|18)
0.005319149,1.0,(8|47)
0.004819277,2.0,(17|40)
0.004504505,1.0,(8|1)
0.004405286,1.0,(24|31)
0.003773585,1.0,(25|49)
0.003623188,1.0,(15|1)
0.003610108,1.0,(29|4)
0.003289474,1.0,(27|11)
0.002967359,2.0,(25|31)
0.002375297,1.0,(21|33)
0.002083333,1.0,(32|6)
0.001862197,1.0,(25|28)
0.001745201,1.0,(30|14)
