Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 411 | Emp-Comp-Privacy (jp:411,idx:170)
Class Probability,Ex Count at BMU,BMU Map Loc
0.5743590,112.0,(34|15)
0.2352941,4.0,(34|14)
0.2000000,4.0,(8|6)
0.02985075,2.0,(32|13)
0.02500000,2.0,(49|7)
0.02158273,3.0,(6|9)
0.02105263,2.0,(30|13)
0.01923077,1.0,(2|11)
0.01680672,2.0,(48|7)
0.01562500,1.0,(20|37)
0.01562500,1.0,(48|8)
0.01538462,2.0,(0|9)
0.01459854,2.0,(4|9)
0.01428571,2.0,(7|48)
0.01369863,1.0,(1|7)
0.01324503,2.0,(10|12)
0.01129944,2.0,(6|7)
0.01104972,2.0,(5|6)
0.01075269,1.0,(5|8)
0.01052632,2.0,(17|7)
0.009501188,4.0,(21|33)
0.008695652,1.0,(6|3)
0.008042895,3.0,(8|3)
0.007692308,1.0,(49|8)
0.007604563,2.0,(7|46)
0.007425743,3.0,(1|10)
0.006756757,2.0,(47|6)
0.006637168,3.0,(32|14)
0.006410256,1.0,(6|4)
0.005952381,1.0,(2|10)
0.005319149,1.0,(5|32)
0.005235602,3.0,(30|14)
0.005235602,1.0,(45|15)
0.005181347,1.0,(17|48)
0.004065040,1.0,(9|41)
0.003861004,2.0,(15|41)
0.003610108,1.0,(29|4)
0.003220612,2.0,(9|12)
0.003154574,1.0,(30|15)
0.003067485,1.0,(26|31)
0.003021148,1.0,(30|12)
0.002898551,1.0,(22|39)
0.002702703,1.0,(15|38)
0.002493766,1.0,(32|4)
0.001834862,1.0,(29|5)
