Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 434 | Tax Law-Trusts-and-Estates (jp:434,idx:185)
Class Probability,Ex Count at BMU,BMU Map Loc
0.5450450,121.0,(38|25)
0.07142857,1.0,(38|26)
0.05263158,1.0,(47|28)
0.02941176,1.0,(43|15)
0.02919708,4.0,(48|27)
0.01843318,4.0,(48|29)
0.01801802,2.0,(32|48)
0.01418440,2.0,(42|14)
0.01169591,2.0,(48|31)
0.007633588,1.0,(2|23)
0.007434944,2.0,(49|22)
0.007042253,1.0,(46|4)
0.005555556,1.0,(6|45)
0.004975124,1.0,(49|23)
0.004842615,2.0,(15|48)
0.004494382,2.0,(49|33)
