Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 442 | Trademarks-Enforcement (jp:442,idx:193)
Class Probability,Ex Count at BMU,BMU Map Loc
0.4550725,157.0,(22|39)
0.3019480,93.0,(23|39)
0.1515152,5.0,(22|38)
0.06101695,18.0,(14|47)
0.05936073,13.0,(21|39)
0.05263158,6.0,(22|40)
0.02941176,2.0,(10|36)
0.02439024,2.0,(2|9)
0.01927711,8.0,(17|40)
0.01857585,6.0,(14|43)
0.01724138,2.0,(10|35)
0.01694915,1.0,(0|11)
0.01307190,2.0,(6|44)
0.01176471,2.0,(21|40)
0.01136364,1.0,(14|36)
0.01010101,1.0,(31|47)
0.009756098,2.0,(13|25)
0.009677419,3.0,(16|41)
0.009433962,1.0,(6|42)
0.009009009,1.0,(24|1)
0.007915568,3.0,(24|35)
0.007722008,4.0,(15|41)
0.007633588,1.0,(8|41)
0.007633588,1.0,(22|37)
0.006369427,1.0,(4|33)
0.006211180,1.0,(6|32)
0.006024096,1.0,(14|44)
0.005813953,1.0,(14|49)
0.005617978,1.0,(22|43)
0.005555556,1.0,(18|41)
0.005181347,1.0,(17|48)
0.005154639,1.0,(7|42)
0.005154639,1.0,(7|43)
0.005128205,2.0,(46|25)
0.004878049,1.0,(15|42)
0.004694836,1.0,(17|41)
0.004694836,1.0,(18|40)
0.004629630,1.0,(17|43)
0.004608295,1.0,(21|46)
0.004273504,1.0,(17|42)
0.003802281,1.0,(10|23)
0.003759399,1.0,(16|42)
0.003745318,1.0,(18|42)
0.003623188,1.0,(19|38)
0.003460208,1.0,(19|46)
0.002994012,1.0,(6|12)
0.002873563,1.0,(6|40)
0.002873563,1.0,(7|40)
0.002873563,1.0,(7|41)
0.002785515,1.0,(5|12)
0.002785515,1.0,(6|13)
0.002710027,1.0,(27|7)
0.001805054,1.0,(19|36)
0.001748252,1.0,(8|42)
