Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 477 | Patent-Prosecution-International (jp:477,idx:212)
Class Probability,Ex Count at BMU,BMU Map Loc
0.5000000,1.0,(18|49)
0.2595870,88.0,(18|48)
0.1646778,69.0,(18|47)
0.1036585,34.0,(19|48)
0.07476635,16.0,(18|46)
0.06521739,18.0,(19|47)
0.06410257,15.0,(17|46)
0.05555556,1.0,(16|46)
0.03846154,4.0,(17|47)
0.02816901,2.0,(13|45)
0.02334630,6.0,(16|44)
0.02325581,1.0,(5|42)
0.02325581,1.0,(6|43)
0.02127660,2.0,(31|48)
0.02020202,2.0,(16|40)
0.02017291,7.0,(16|45)
0.01734104,3.0,(17|44)
0.01384083,4.0,(19|46)
0.01290323,2.0,(17|45)
0.01219512,2.0,(14|42)
0.01162791,2.0,(20|44)
0.01086957,1.0,(23|48)
0.009756098,2.0,(15|42)
0.009389671,2.0,(17|41)
0.009259259,2.0,(17|43)
0.008620690,1.0,(21|45)
0.008130081,2.0,(18|44)
0.006734007,2.0,(15|44)
0.006472492,2.0,(18|15)
0.006191950,2.0,(14|43)
0.006024096,1.0,(14|44)
0.005813953,1.0,(14|49)
0.005791506,3.0,(15|41)
0.005649718,1.0,(16|39)
0.005571031,2.0,(12|46)
0.005464481,2.0,(22|35)
0.004975124,1.0,(18|45)
0.004784689,1.0,(6|38)
0.003846154,1.0,(20|39)
0.003831418,1.0,(25|32)
0.003759399,1.0,(16|42)
0.003676471,1.0,(4|40)
0.003676471,1.0,(5|40)
0.003676471,1.0,(5|41)
0.003623188,1.0,(19|38)
0.003597122,1.0,(15|47)
0.003508772,1.0,(29|47)
0.002873563,1.0,(6|40)
0.002873563,1.0,(7|40)
0.002873563,1.0,(7|41)
0.002439024,1.0,(47|9)
0.002024292,1.0,(49|10)
0.001890359,1.0,(24|45)
0.001584786,1.0,(19|42)
0.001272265,1.0,(6|46)
