Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 3 | Bankruptcy (jpg:3,idx:2)
Catgory Probability,Ex Count at BMU,BMU Map Loc
1.000000,1.0,(9|49)
1.000000,1.0,(10|48)
1.000000,2.0,(12|43)
0.8928571,7.0,(11|30)
0.8910714,5.0,(20|26)
0.8807340,6.0,(13|31)
0.8727273,7.0,(12|31)
0.8720000,4.0,(18|29)
0.8702929,3.0,(20|28)
0.8633540,2.0,(18|24)
0.8529412,5.0,(19|26)
0.8521401,4.0,(20|25)
0.8502674,5.0,(18|25)
0.8476756,5.0,(20|24)
0.8333333,7.0,(11|31)
0.8326996,4.0,(19|28)
0.8275862,4.0,(20|27)
0.8181818,2.0,(11|36)
0.7941176,7.0,(19|24)
0.7862069,5.0,(16|29)
0.7794760,5.0,(17|25)
0.7619048,6.0,(17|29)
0.7611941,5.0,(19|27)
0.7594936,1.0,(17|24)
0.7573529,7.0,(14|29)
0.7553763,5.0,(28|23)
0.7401960,6.0,(15|29)
0.7355372,5.0,(17|27)
0.7167832,4.0,(18|27)
0.7108434,8.0,(17|28)
0.6860465,4.0,(15|30)
0.6640625,5.0,(15|28)
0.6533333,8.0,(12|32)
0.6451613,5.0,(14|30)
0.6382979,6.0,(13|32)
0.6344086,7.0,(18|28)
0.6190476,3.0,(19|25)
0.6069869,7.0,(11|33)
0.5636364,6.0,(16|28)
0.5536723,7.0,(10|30)
0.5454546,3.0,(12|29)
0.5263158,7.0,(11|32)
0.5106383,4.0,(9|30)
0.5000000,1.0,(45|34)
0.4987893,5.0,(17|30)
0.4868421,4.0,(18|26)
0.4299754,7.0,(9|31)
0.4297297,6.0,(17|26)
0.4038461,4.0,(16|27)
0.3846154,7.0,(13|30)
0.3750000,4.0,(16|30)
0.3612565,1.0,(16|25)
0.3428572,7.0,(10|33)
0.3296703,6.0,(10|31)
0.3272727,5.0,(13|33)
0.3239437,6.0,(12|30)
0.3111111,4.0,(11|43)
0.3090909,5.0,(11|35)
0.3086420,6.0,(9|37)
0.3086420,6.0,(10|37)
0.3000000,6.0,(11|37)
0.2941177,5.0,(10|36)
0.2719298,6.0,(11|45)
0.2608696,2.0,(14|28)
0.2553191,6.0,(14|31)
0.2469136,2.0,(16|24)
0.2456140,5.0,(15|26)
0.2436975,6.0,(10|24)
0.2371795,5.0,(12|33)
0.2343750,4.0,(15|27)
0.2307692,4.0,(14|32)
0.2166667,3.0,(13|34)
0.2153846,4.0,(11|38)
0.2142857,4.0,(9|1)
0.2100840,1.0,(17|23)
0.2068966,5.0,(9|25)
0.2066116,5.0,(12|34)
0.2063492,5.0,(10|32)
0.2057143,5.0,(12|28)
0.2028985,4.0,(16|23)
0.2000000,2.0,(4|23)
0.2000000,3.0,(12|26)
0.2000000,2.0,(16|26)
0.1923077,6.0,(6|22)
0.1875000,3.0,(16|47)
0.1875000,3.0,(16|48)
0.1818182,1.0,(1|34)
0.1818182,4.0,(12|36)
0.1818182,2.0,(22|15)
0.1756757,4.0,(10|25)
0.1724138,6.0,(10|35)
0.1666667,1.0,(7|17)
0.1666667,3.0,(9|26)
0.1607143,2.0,(13|28)
0.1574074,6.0,(7|45)
0.1555556,4.0,(12|37)
0.1547619,4.0,(8|44)
0.1547619,4.0,(11|40)
0.1538462,2.0,(10|46)
0.1538462,2.0,(13|29)
0.1481481,2.0,(9|11)
0.1428571,1.0,(21|24)
0.1379310,1.0,(9|22)
0.1358025,3.0,(10|38)
0.1333333,1.0,(20|19)
0.1326531,4.0,(10|44)
0.1326531,4.0,(11|44)
0.1290323,2.0,(14|39)
0.1290323,2.0,(15|40)
0.1285714,6.0,(10|2)
0.1264368,6.0,(13|41)
0.1264368,6.0,(13|42)
0.1258741,2.0,(12|42)
0.1257485,5.0,(9|2)
0.1239669,5.0,(7|44)
0.1229508,3.0,(11|39)
0.1212121,3.0,(10|47)
0.1184211,3.0,(4|37)
0.1145374,5.0,(9|40)
0.1111111,3.0,(9|33)
0.1111111,3.0,(9|35)
0.1111111,3.0,(10|34)
0.1111111,2.0,(11|29)
0.1097561,3.0,(2|9)
0.1092437,4.0,(12|38)
0.1085714,6.0,(11|27)
0.1075269,3.0,(15|23)
0.1068702,4.0,(8|0)
0.1068702,4.0,(9|4)
0.1034483,3.0,(23|24)
0.1020408,3.0,(13|21)
0.09635416,5.0,(9|13)
0.09150327,6.0,(9|32)
0.09137056,4.0,(8|35)
0.09090909,2.0,(8|25)
0.09090909,3.0,(10|43)
0.08888889,3.0,(16|31)
0.08719346,5.0,(24|27)
0.08571429,3.0,(22|24)
0.08368201,4.0,(11|41)
0.08333334,3.0,(9|36)
0.08196721,1.0,(28|3)
0.08196721,1.0,(29|2)
0.07843138,2.0,(18|19)
0.07692308,2.0,(13|7)
0.07692308,1.0,(16|7)
0.07500000,1.0,(6|21)
0.07482993,3.0,(11|6)
0.07456140,3.0,(14|33)
0.07407407,1.0,(8|17)
0.07407407,2.0,(19|29)
0.07291666,5.0,(8|19)
0.07262570,4.0,(8|37)
0.07236842,4.0,(11|10)
0.07216495,3.0,(15|31)
0.07042254,5.0,(11|23)
0.06976745,3.0,(21|4)
0.06837607,4.0,(9|38)
0.06756756,3.0,(8|31)
0.06756756,1.0,(19|5)
0.06666667,1.0,(12|7)
0.06666667,4.0,(19|0)
0.06635071,3.0,(13|40)
0.06557377,2.0,(2|8)
0.06521739,4.0,(8|24)
0.06521739,1.0,(22|16)
0.06521739,3.0,(25|1)
0.06509946,6.0,(11|22)
0.06329114,3.0,(12|39)
0.06250000,4.0,(7|12)
0.06217616,4.0,(17|48)
0.06201550,4.0,(47|34)
0.06172840,4.0,(10|14)
0.06164384,3.0,(29|49)
0.06153846,2.0,(8|48)
0.06060606,4.0,(12|41)
0.06060606,2.0,(17|6)
0.05952381,3.0,(11|21)
