Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 20 | Corporate Finance (jpg:20,idx:16)
Catgory Probability,Ex Count at BMU,BMU Map Loc
1.000000,1.0,(27|24)
0.9525090,3.0,(27|25)
0.9466667,1.0,(28|25)
0.8571429,2.0,(26|26)
0.8505850,3.0,(25|25)
0.8422847,3.0,(18|31)
0.7888999,3.0,(26|25)
0.7884344,3.0,(19|31)
0.6740332,3.0,(20|30)
0.6700337,3.0,(20|31)
0.6666667,2.0,(44|13)
0.5916230,3.0,(20|32)
0.5416667,3.0,(17|31)
0.5416667,3.0,(18|30)
0.5384616,2.0,(20|29)
0.5324675,2.0,(26|24)
0.5185185,1.0,(16|24)
0.5132743,3.0,(19|30)
0.5000000,2.0,(31|49)
0.4928571,2.0,(27|26)
0.4279476,3.0,(21|31)
0.3901515,3.0,(19|32)
0.3814433,3.0,(4|41)
0.3666667,3.0,(38|22)
0.3612565,2.0,(16|25)
0.3333333,2.0,(32|46)
0.3206107,3.0,(8|41)
0.3125000,3.0,(7|19)
0.3076923,2.0,(30|42)
0.2962963,2.0,(8|17)
0.2883895,3.0,(8|16)
0.2883895,3.0,(9|16)
0.2857143,1.0,(21|24)
0.2830189,3.0,(11|42)
0.2800000,2.0,(39|23)
0.2761733,3.0,(19|36)
0.2666667,2.0,(48|34)
0.2605042,2.0,(13|27)
0.2543353,3.0,(21|32)
0.2375000,3.0,(12|25)
0.2318841,1.0,(28|24)
0.2287582,3.0,(21|30)
0.2244898,3.0,(7|16)
0.2222222,2.0,(15|24)
0.2222222,2.0,(26|47)
0.2204724,3.0,(46|26)
0.2200000,2.0,(10|29)
0.2023810,1.0,(24|25)
0.2000000,1.0,(12|26)
0.1979695,3.0,(8|35)
0.1973684,3.0,(9|24)
0.1953488,3.0,(19|33)
0.1932773,2.0,(17|23)
0.1923077,3.0,(13|11)
0.1923077,2.0,(18|32)
0.1912568,3.0,(3|35)
0.1875000,1.0,(3|28)
0.1875000,3.0,(18|36)
0.1825397,3.0,(21|29)
0.1762114,3.0,(9|40)
0.1750000,1.0,(6|21)
0.1724138,3.0,(19|35)
0.1718750,3.0,(9|44)
0.1714286,2.0,(43|13)
0.1636364,3.0,(13|33)
0.1615385,2.0,(6|22)
0.1612903,2.0,(14|39)
0.1612903,2.0,(15|40)
0.1603774,3.0,(6|42)
0.1600000,2.0,(20|15)
0.1567568,3.0,(15|38)
0.1562500,2.0,(4|22)
0.1558442,3.0,(45|26)
0.1546392,3.0,(7|42)
0.1546392,3.0,(7|43)
0.1538462,2.0,(14|32)
0.1538462,3.0,(22|31)
0.1538462,2.0,(25|24)
0.1513513,3.0,(16|26)
0.1470588,3.0,(16|35)
0.1454545,3.0,(11|35)
0.1441441,2.0,(8|21)
0.1441441,3.0,(14|38)
0.1438356,2.0,(29|49)
0.1437909,3.0,(8|34)
0.1428571,2.0,(10|40)
0.1428571,1.0,(23|28)
0.1422764,2.0,(9|41)
0.1415094,2.0,(1|37)
0.1400000,3.0,(4|43)
0.1400000,3.0,(5|44)
0.1379310,1.0,(23|24)
0.1351351,3.0,(2|36)
0.1315790,3.0,(11|10)
0.1315790,3.0,(17|34)
0.1313131,2.0,(11|28)
0.1307692,3.0,(17|36)
0.1261261,3.0,(6|23)
0.1250000,1.0,(4|27)
0.1250000,3.0,(10|43)
0.1250000,3.0,(11|24)
0.1219512,2.0,(7|18)
0.1219512,3.0,(22|27)
0.1208226,4.0,(26|27)
0.1200000,2.0,(12|28)
0.1197772,4.0,(12|46)
0.1182796,3.0,(4|38)
0.1180723,3.0,(17|40)
0.1176471,3.0,(10|36)
0.1176471,2.0,(43|15)
0.1169591,3.0,(15|26)
0.1164659,3.0,(15|36)
0.1163793,3.0,(12|40)
0.1162791,3.0,(5|42)
0.1162791,3.0,(6|43)
0.1158798,3.0,(16|38)
0.1157895,3.0,(18|14)
0.1153846,3.0,(13|30)
0.1142857,2.0,(8|30)
0.1135531,3.0,(6|36)
0.1129944,3.0,(16|39)
0.1125000,1.0,(9|21)
0.1125000,3.0,(12|20)
0.1111111,3.0,(4|39)
0.1111111,1.0,(9|26)
0.1111111,3.0,(15|25)
0.1111111,2.0,(18|23)
0.1101695,3.0,(43|17)
0.1089744,3.0,(12|33)
0.1084337,3.0,(7|39)
0.1084337,3.0,(8|39)
0.1084337,3.0,(8|40)
0.1076923,2.0,(23|49)
0.1076923,3.0,(48|37)
0.1071429,1.0,(10|26)
0.1071429,1.0,(16|30)
0.1060606,2.0,(1|21)
0.1052632,2.0,(0|48)
0.1045752,3.0,(6|44)
0.1025641,2.0,(20|36)
0.1015228,2.0,(1|49)
0.1013986,3.0,(8|42)
0.1000000,3.0,(22|0)
0.09870849,3.0,(14|27)
0.09815951,3.0,(13|38)
0.09740259,3.0,(9|18)
0.09523810,1.0,(11|29)
0.09426229,3.0,(5|34)
0.09411765,2.0,(3|37)
0.09375000,2.0,(20|20)
0.09364548,2.0,(3|40)
0.09302326,2.0,(8|29)
0.09210526,3.0,(25|47)
0.09154929,3.0,(4|13)
0.09090909,1.0,(12|29)
0.09090909,2.0,(22|15)
0.09090909,2.0,(22|32)
0.09090909,3.0,(28|9)
0.09090909,1.0,(43|21)
0.09000000,2.0,(47|39)
0.08955224,3.0,(5|43)
0.08955224,3.0,(48|9)
0.08888889,2.0,(47|11)
0.08854166,3.0,(15|27)
0.08823530,1.0,(10|20)
0.08805031,3.0,(18|38)
0.08786611,3.0,(5|39)
0.08695652,2.0,(1|36)
0.08695652,3.0,(5|35)
0.08695652,3.0,(14|11)
0.08695652,1.0,(14|28)
0.08695652,2.0,(16|23)
0.08494784,3.0,(38|23)
0.08450704,2.0,(1|35)
0.08411215,2.0,(15|35)
0.08333334,2.0,(2|37)
0.08333334,1.0,(7|17)
0.08333334,3.0,(17|33)
0.08333334,3.0,(17|38)
0.08333334,3.0,(23|43)
0.08314607,3.0,(49|33)
0.08264463,2.0,(49|36)
0.08196721,3.0,(3|34)
0.08080808,2.0,(12|36)
0.08045977,3.0,(37|5)
0.08045977,2.0,(49|34)
0.07954545,2.0,(1|42)
0.07894737,2.0,(18|26)
0.07837838,1.0,(17|26)
0.07795699,3.0,(15|37)
0.07792208,3.0,(16|36)
0.07692308,2.0,(21|27)
0.07692308,2.0,(37|4)
0.07602339,2.0,(48|31)
0.07594936,3.0,(22|23)
0.07586207,2.0,(6|35)
0.07567567,2.0,(2|42)
0.07538803,3.0,(26|46)
0.07518797,2.0,(8|18)
0.07500000,2.0,(8|22)
0.07438017,2.0,(12|34)
0.07432432,3.0,(13|22)
0.07407407,1.0,(2|5)
0.07407407,1.0,(9|11)
0.07407407,2.0,(9|42)
0.07407407,2.0,(10|41)
0.07407407,1.0,(28|44)
0.07377049,3.0,(11|39)
0.07352941,3.0,(19|34)
0.07279693,3.0,(9|43)
0.07272727,2.0,(10|19)
0.07262570,3.0,(5|22)
0.07244094,3.0,(12|27)
0.07207207,2.0,(14|37)
0.07142857,3.0,(6|34)
0.07142857,3.0,(24|32)
0.07142857,2.0,(42|16)
0.07103825,2.0,(42|18)
0.07051282,3.0,(27|48)
0.07042254,3.0,(0|36)
0.07042254,2.0,(5|38)
0.07042254,2.0,(6|39)
0.07017544,2.0,(5|28)
0.06930693,3.0,(11|16)
0.06896552,3.0,(6|41)
0.06802721,3.0,(11|6)
0.06779661,2.0,(29|43)
0.06756756,2.0,(0|40)
0.06722689,2.0,(34|32)
0.06666667,2.0,(11|8)
0.06666667,2.0,(13|34)
0.06666667,2.0,(22|24)
0.06666667,2.0,(30|44)
0.06639004,2.0,(41|15)
0.06635071,3.0,(13|40)
0.06632653,2.0,(10|44)
0.06632653,2.0,(11|44)
0.06609195,3.0,(6|40)
0.06609195,3.0,(7|40)
0.06609195,3.0,(7|41)
0.06603774,3.0,(30|45)
0.06557377,1.0,(2|8)
0.06498195,3.0,(36|23)
0.06461538,2.0,(0|37)
0.06451613,2.0,(11|18)
0.06451613,1.0,(19|12)
0.06451613,3.0,(20|35)
0.06410257,3.0,(5|13)
0.06410257,2.0,(20|34)
0.06382979,3.0,(2|39)
0.06382979,1.0,(14|31)
0.06382979,2.0,(31|48)
0.06363636,2.0,(16|28)
0.06269593,3.0,(27|27)
0.06250000,2.0,(8|19)
0.06250000,2.0,(48|35)
0.06217616,3.0,(22|30)
0.06172840,1.0,(10|38)
0.06153846,2.0,(11|38)
0.06140351,3.0,(14|33)
0.06122449,1.0,(13|21)
0.06112469,3.0,(7|32)
0.06060606,2.0,(22|1)
0.06060606,2.0,(31|47)
0.06034483,2.0,(10|35)
0.06000000,3.0,(8|28)
0.06000000,3.0,(13|24)
0.05994551,4.0,(24|27)
0.05970149,2.0,(9|19)
0.05952381,1.0,(13|28)
0.05925926,2.0,(43|4)
0.05882353,2.0,(4|34)
0.05882353,1.0,(14|23)
0.05882353,2.0,(28|47)
0.05882353,2.0,(45|32)
0.05797102,3.0,(9|12)
0.05797102,3.0,(45|31)
0.05785124,3.0,(7|36)
0.05759162,3.0,(10|27)
0.05737705,2.0,(42|12)
0.05714286,2.0,(26|28)
0.05714286,2.0,(30|49)
0.05699482,2.0,(48|36)
0.05691057,2.0,(0|41)
0.05607476,2.0,(1|32)
0.05600000,2.0,(15|33)
0.05555556,3.0,(5|4)
0.05555556,1.0,(10|10)
0.05555556,3.0,(36|22)
0.05459770,3.0,(32|3)
0.05439331,2.0,(34|48)
0.05434782,2.0,(8|24)
0.05429864,3.0,(25|26)
0.05405406,1.0,(10|25)
0.05357143,1.0,(3|38)
0.05329949,3.0,(14|25)
0.05298013,2.0,(1|2)
0.05281690,3.0,(20|33)
0.05263158,1.0,(11|32)
0.05263158,1.0,(21|49)
0.05194805,3.0,(42|15)
0.05185185,1.0,(12|37)
0.05172414,2.0,(9|20)
0.05172414,3.0,(25|13)
0.05042017,2.0,(12|38)
0.05017921,3.0,(13|36)
0.04938272,2.0,(27|45)
0.04938272,1.0,(42|19)
0.04918033,2.0,(34|5)
0.04914005,3.0,(9|31)
0.04878049,1.0,(44|14)
0.04878049,2.0,(44|30)
0.04878049,1.0,(49|35)
0.04854369,2.0,(17|35)
0.04824561,2.0,(13|37)
0.04819277,3.0,(23|23)
0.04819277,2.0,(46|39)
0.04807692,2.0,(23|27)
0.04807692,2.0,(24|26)
0.04804805,3.0,(22|21)
0.04804805,2.0,(22|29)
0.04785894,3.0,(3|41)
0.04785894,3.0,(4|42)
0.04784689,3.0,(6|38)
0.04779412,2.0,(4|40)
0.04779412,2.0,(5|40)
0.04779412,2.0,(5|41)
0.04778761,3.0,(15|32)
0.04761905,2.0,(8|44)
0.04761905,3.0,(9|46)
0.04761905,1.0,(10|32)
0.04761905,2.0,(11|40)
0.04761905,2.0,(18|35)
0.04761905,2.0,(18|37)
0.04761905,3.0,(19|21)
0.04761905,1.0,(19|25)
0.04724409,2.0,(10|21)
0.04721030,1.0,(27|47)
