Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 38 | Family Law (jpg:38,idx:24)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.9867159,1.0,(39|20)
0.9836066,1.0,(40|20)
0.9683656,1.0,(37|19)
0.9657143,1.0,(38|20)
0.9583333,1.0,(39|19)
0.9277108,1.0,(41|20)
0.9124294,1.0,(38|18)
0.9124294,1.0,(38|19)
0.9055118,1.0,(41|19)
0.8450184,1.0,(39|21)
0.7674419,1.0,(40|21)
0.5063291,1.0,(39|22)
0.5000000,1.0,(45|34)
0.4545455,1.0,(42|21)
0.4426230,1.0,(26|4)
0.4000000,1.0,(41|21)
0.3000000,1.0,(40|22)
0.2429907,1.0,(25|4)
0.2405063,1.0,(3|25)
0.2211350,1.0,(27|5)
0.2142857,1.0,(5|47)
0.2000000,1.0,(4|24)
0.2000000,1.0,(42|20)
0.1724138,1.0,(25|13)
0.1696429,1.0,(27|3)
0.1666667,1.0,(37|20)
0.1562500,1.0,(41|22)
0.1428571,1.0,(38|21)
0.1404959,1.0,(26|5)
0.1336516,1.0,(46|29)
0.1221374,1.0,(2|23)
0.1173469,1.0,(45|30)
0.1165049,1.0,(21|12)
0.1142857,1.0,(47|29)
0.1052632,1.0,(45|29)
0.1052632,1.0,(47|30)
0.09523810,1.0,(43|30)
0.08695652,1.0,(20|11)
0.08695652,1.0,(22|13)
0.08035714,1.0,(24|6)
0.07415731,1.0,(49|33)
0.07142857,1.0,(19|49)
0.07065217,1.0,(21|0)
0.07017544,1.0,(5|21)
0.06666667,1.0,(49|31)
0.06122449,1.0,(48|26)
0.05882353,1.0,(18|0)
0.05645161,1.0,(25|5)
0.05454545,1.0,(17|0)
0.05263158,1.0,(21|49)
0.05223881,1.0,(48|32)
0.04972376,1.0,(6|47)
0.04819277,1.0,(29|16)
0.04761905,1.0,(19|25)
0.04615385,1.0,(19|0)
0.04580153,1.0,(8|0)
0.04580153,1.0,(9|4)
0.04575163,1.0,(19|24)
0.04545455,1.0,(5|46)
0.04493088,1.0,(1|23)
0.04132231,1.0,(43|31)
0.03968254,1.0,(5|18)
0.03854875,1.0,(20|10)
0.03846154,1.0,(5|45)
0.03809524,1.0,(10|2)
0.03723404,1.0,(11|5)
0.03703704,1.0,(12|4)
0.03636364,1.0,(10|45)
0.03623188,1.0,(49|28)
0.03610108,1.0,(18|13)
0.03571429,1.0,(11|21)
0.03571429,1.0,(12|22)
0.03482587,1.0,(49|23)
0.03393025,1.0,(25|12)
0.03355705,1.0,(15|10)
0.03200000,1.0,(49|24)
0.03157895,1.0,(16|49)
0.03147700,1.0,(15|48)
0.03125000,1.0,(0|23)
0.03125000,1.0,(43|29)
0.03115265,1.0,(12|6)
0.03082192,1.0,(18|10)
0.03010753,1.0,(5|20)
0.03010753,1.0,(6|19)
0.02923977,1.0,(48|31)
0.02877698,1.0,(46|34)
0.02798982,1.0,(6|46)
0.02764977,1.0,(48|29)
0.02739726,1.0,(1|24)
0.02702703,1.0,(39|25)
0.02631579,1.0,(33|4)
0.02564103,1.0,(23|12)
0.02500000,1.0,(33|3)
0.02479339,1.0,(21|11)
0.02374670,1.0,(24|35)
0.02352941,1.0,(0|28)
0.02325581,1.0,(14|2)
0.02325581,1.0,(49|32)
0.02272727,1.0,(5|9)
0.02238806,1.0,(21|1)
0.02222222,1.0,(3|26)
0.02222222,1.0,(19|2)
0.02205882,1.0,(4|34)
