Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 41 | Elder Law (jpg:41,idx:26)
Catgory Probability,Ex Count at BMU,BMU Map Loc
1.000000,1.0,(1|28)
1.000000,1.0,(47|32)
0.9239631,1.0,(1|23)
0.9054054,1.0,(3|23)
0.8873518,1.0,(3|24)
0.8375000,1.0,(0|23)
0.7372881,1.0,(2|24)
0.7152778,1.0,(49|26)
0.6666667,1.0,(0|22)
0.6467662,1.0,(49|23)
0.6431227,1.0,(49|22)
0.5954198,1.0,(2|23)
0.5693431,1.0,(48|27)
0.5306122,1.0,(48|26)
0.5000000,1.0,(48|28)
0.5000000,1.0,(49|29)
0.4823529,1.0,(0|28)
0.4615385,1.0,(2|22)
0.4589041,1.0,(1|24)
0.4380952,1.0,(46|32)
0.4210526,1.0,(47|30)
0.4000000,1.0,(2|25)
0.3846154,1.0,(1|22)
0.3713080,1.0,(3|25)
0.3666667,1.0,(0|24)
0.3142857,1.0,(0|25)
0.3134328,1.0,(48|32)
0.2903226,1.0,(1|25)
0.2753623,1.0,(49|28)
0.2702703,1.0,(0|27)
0.2678571,1.0,(0|26)
0.2500000,1.0,(49|27)
0.2388060,1.0,(49|25)
0.2311111,1.0,(3|26)
0.2000000,1.0,(4|23)
0.1923077,1.0,(5|45)
0.1900826,1.0,(2|26)
0.1896552,1.0,(48|23)
0.1843318,1.0,(48|29)
0.1730769,1.0,(3|22)
0.1646342,1.0,(48|22)
0.1428571,1.0,(47|27)
0.1295681,1.0,(1|26)
0.1250000,1.0,(47|31)
0.1250000,1.0,(48|30)
0.1228070,1.0,(47|26)
0.1214953,1.0,(25|4)
0.1081081,1.0,(48|25)
0.1081081,1.0,(49|21)
0.1052632,1.0,(0|21)
0.09523810,1.0,(5|18)
0.07692308,1.0,(5|19)
0.07031250,1.0,(1|27)
0.06735751,1.0,(47|23)
0.06666667,1.0,(4|24)
0.06557377,1.0,(26|4)
0.06400000,1.0,(49|24)
0.06375839,1.0,(2|27)
0.06060606,1.0,(5|46)
0.05825243,1.0,(21|12)
0.05521473,1.0,(48|24)
0.05468750,1.0,(25|6)
0.05235602,1.0,(47|24)
0.05136986,1.0,(47|22)
0.04444445,1.0,(19|2)
0.04255319,1.0,(9|30)
0.04093567,1.0,(48|31)
0.03797468,1.0,(49|30)
0.03571429,1.0,(5|47)
0.03333334,1.0,(10|2)
0.03311258,1.0,(5|17)
0.03225806,1.0,(19|12)
0.02649007,1.0,(33|44)
0.02500000,1.0,(41|21)
0.02285714,1.0,(11|27)
0.02255639,1.0,(7|47)
0.02252252,1.0,(38|25)
0.02173913,1.0,(22|13)
0.02173913,1.0,(37|6)
0.02142857,1.0,(7|48)
0.02110818,1.0,(24|35)
0.02000000,1.0,(47|25)
0.01805054,1.0,(18|13)
0.01754386,1.0,(21|13)
0.01742160,1.0,(46|22)
0.01538462,1.0,(19|0)
0.01449275,1.0,(40|2)
0.01382488,1.0,(43|26)
0.01273885,1.0,(15|22)
0.01272265,1.0,(6|46)
0.01204819,1.0,(41|20)
0.01190476,1.0,(11|21)
0.01190476,1.0,(12|22)
0.01158301,1.0,(2|36)
0.01127214,1.0,(9|12)
0.01083033,1.0,(29|15)
0.01069519,1.0,(28|9)
0.01063830,1.0,(1|16)
0.01047120,1.0,(20|13)
0.01041667,1.0,(18|1)
0.01020408,1.0,(20|12)
0.009900990,1.0,(20|0)
0.009803922,1.0,(1|8)
0.008620690,1.0,(37|5)
0.008438818,1.0,(34|49)
0.008356546,1.0,(12|46)
0.008174387,1.0,(24|27)
0.008130081,1.0,(23|11)
0.007905139,1.0,(6|18)
0.007352941,1.0,(19|10)
0.007317073,1.0,(36|19)
0.007299270,1.0,(30|2)
0.007142857,1.0,(33|49)
0.006622517,1.0,(1|2)
0.006622517,1.0,(22|33)
0.006451613,1.0,(5|20)
0.006451613,1.0,(6|19)
0.006250000,1.0,(15|49)
0.006211180,1.0,(44|2)
0.006172840,1.0,(4|15)
0.006024096,1.0,(12|1)
0.006024096,1.0,(13|49)
0.005882353,1.0,(23|14)
0.005747126,1.0,(22|9)
0.005494506,1.0,(22|7)
0.005347594,1.0,(18|0)
0.005319149,1.0,(8|47)
0.005277045,1.0,(25|11)
0.004878049,1.0,(13|25)
0.004842615,1.0,(22|3)
0.004683841,1.0,(23|32)
0.004555809,1.0,(24|37)
0.004545454,1.0,(6|37)
0.004524887,1.0,(34|44)
0.004514673,1.0,(8|14)
0.004454343,1.0,(40|1)
0.004310345,1.0,(40|4)
0.004291845,1.0,(46|23)
0.004149378,1.0,(23|13)
0.003875969,1.0,(31|3)
0.003773585,1.0,(48|2)
0.003558719,1.0,(12|11)
0.003267974,1.0,(19|24)
0.003154574,1.0,(35|4)
0.003134796,1.0,(21|36)
0.003039514,1.0,(46|0)
0.003030303,1.0,(24|29)
0.002873563,1.0,(6|40)
0.002873563,1.0,(7|40)
0.002873563,1.0,(7|41)
0.002793296,1.0,(35|22)
0.002702703,1.0,(17|26)
0.002631579,1.0,(46|24)
0.002583979,1.0,(17|8)
0.002493766,1.0,(32|4)
0.002475247,1.0,(1|10)
0.002421308,1.0,(15|48)
0.002375297,1.0,(21|33)
0.002352941,1.0,(22|12)
0.002267574,1.0,(20|10)
0.001879699,1.0,(21|35)
0.001869159,1.0,(19|15)
0.001795332,1.0,(6|29)
0.001773050,1.0,(16|11)
0.001449275,1.0,(12|21)
